Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Paralog count	Ortholog count	
PBANKA_0106800	PBANKA_0106800.1	Plasmodium berghei ANKA	PbANKA_01_v3:277,341..278,201(-)	conserved Plasmodium protein, unknown function	PF3D7_0608200	0	46	
PBANKA_0106900	PBANKA_0106900.1	Plasmodium berghei ANKA	PbANKA_01_v3:278,666..281,917(+)	heptatricopeptide repeat-containing protein, putative	PF3D7_0608300	0	34	
PBANKA_0106950	PBANKA_0106950.1	Plasmodium berghei ANKA	PbANKA_01_v3:282,506..283,870(+)	sorting assembly machinery 50 kDa subunit, putative	PF3D7_0608310	0	45	
PBANKA_0107000	PBANKA_0107000.1	Plasmodium berghei ANKA	PbANKA_01_v3:284,338..284,748(-)	conserved Plasmodium protein, unknown function	PF3D7_0608400	0	46	
PBANKA_0107100	PBANKA_0107100.1	Plasmodium berghei ANKA	PbANKA_01_v3:285,801..286,753(-)	proteasome subunit alpha type-2, putative	PF3D7_0608500	0	44	
PBANKA_0107300	PBANKA_0107300.1	Plasmodium berghei ANKA	PbANKA_01_v3:291,081..292,796(+)	T-complex protein 1 subunit zeta, putative	PF3D7_0608700	0	44	
PBANKA_0107400	PBANKA_0107400.1	Plasmodium berghei ANKA	PbANKA_01_v3:294,827..296,071(+)	ornithine aminotransferase, putative	PF3D7_0608800	0	46	
PBANKA_0107700	PBANKA_0107700.1	Plasmodium berghei ANKA	PbANKA_01_v3:318,879..320,670(-)	zinc transporter ZIP1	PF3D7_0609100	0	47	
PBANKA_0107800	PBANKA_0107800.1	Plasmodium berghei ANKA	PbANKA_01_v3:322,206..323,736(+)	citrate synthase-like protein, putative	PF3D7_0609200	0	45	
PBANKA_0108000	PBANKA_0108000.1	Plasmodium berghei ANKA	PbANKA_01_v3:327,781..329,589(-)	mitochondrial cardiolipin synthase, putative	PF3D7_0609400	0	46	
PBANKA_0108100	PBANKA_0108100.1	Plasmodium berghei ANKA	PbANKA_01_v3:330,792..335,330(+)	conserved Plasmodium protein, unknown function	PF3D7_0609500	0	47	
PBANKA_0108200	PBANKA_0108200.1	Plasmodium berghei ANKA	PbANKA_01_v3:337,150..342,054(+)	protein KIC6, putative	PF3D7_0609700	0	43	
PBANKA_0108300	PBANKA_0108300.1	Plasmodium berghei ANKA	PbANKA_01_v3:343,077..344,303(-)	palmitoyltransferase DHHC2	PF3D7_0528400,PF3D7_0609800,PF3D7_1115900	2	138	
PBANKA_0108500	PBANKA_0108500.1	Plasmodium berghei ANKA	PbANKA_01_v3:353,132..354,372(+)	ribosomal protein L19, mitochondrial, putative	PF3D7_0610000	0	45	
PBANKA_0108600	PBANKA_0108600.1	Plasmodium berghei ANKA	PbANKA_01_v3:354,635..356,417(-)	pre-mRNA-splicing factor SLU7, putative	PF3D7_0610100	0	45	
PBANKA_0108800	PBANKA_0108800.1	Plasmodium berghei ANKA	PbANKA_01_v3:363,203..363,613(+)	histone H3, putative	PF3D7_0610400,PF3D7_0617900	1	89	
PBANKA_0108900	PBANKA_0108900.1	Plasmodium berghei ANKA	PbANKA_01_v3:364,126..364,699(-)	peptidyl-tRNA hydrolase PTRHD1, putative	PF3D7_0610500	0	44	
PBANKA_0109000	PBANKA_0109000.1	Plasmodium berghei ANKA	PbANKA_01_v3:366,467..367,448(+)	conserved Plasmodium protein, unknown function	PF3D7_0610700	0	42	
PBANKA_0109100	PBANKA_0109100.1	Plasmodium berghei ANKA	PbANKA_01_v3:367,720..369,732(+)	transketolase, putative	PF3D7_0610800	0	45	
PBANKA_0109200	PBANKA_0109200.1	Plasmodium berghei ANKA	PbANKA_01_v3:370,462..373,986(-)	transcription elongation factor SPT5, putative	PF3D7_0610900	2	47	
PBANKA_0109300	PBANKA_0109300.1	Plasmodium berghei ANKA	PbANKA_01_v3:375,602..376,720(-)	SNARE associated Golgi protein, putative	PF3D7_0611000	0	46	
PBANKA_0109400	PBANKA_0109400.1	Plasmodium berghei ANKA	PbANKA_01_v3:378,228..378,494(-)	succinate dehydrogenase subunit 3, putative	PF3D7_0611100	0	45	
PBANKA_0109500	PBANKA_0109500.1	Plasmodium berghei ANKA	PbANKA_01_v3:379,499..380,595(+)	AP2 domain transcription factor, putative	PF3D7_0611200	0	43	
PBANKA_0109600	PBANKA_0109600.1	Plasmodium berghei ANKA	PbANKA_01_v3:381,814..382,954(+)	ATP synthase-associated protein, putative	PF3D7_0611300	0	45	
PBANKA_0109700	PBANKA_0109700.1	Plasmodium berghei ANKA	PbANKA_01_v3:383,303..385,711(-)	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative	PF3D7_0611400	0	45	
PBANKA_0109800	PBANKA_0109800.1	Plasmodium berghei ANKA	PbANKA_01_v3:392,770..393,882(-)	conserved protein, unknown function	PF3D7_0611500	0	45	
PBANKA_0109900	PBANKA_0109900.1	Plasmodium berghei ANKA	PbANKA_01_v3:395,262..397,115(-)	basal complex transmembrane protein 1, putative	PF3D7_0215600	7	148	
PBANKA_0110000	PBANKA_0110000.1	Plasmodium berghei ANKA	PbANKA_01_v3:398,398..398,874(-)	60S ribosomal protein L39, putative	PF3D7_0611700	0	42	
PBANKA_0110200	PBANKA_0110200.1	Plasmodium berghei ANKA	PbANKA_01_v3:411,711..412,630(+)	lsm12, putative	PF3D7_0611900	0	45	
PBANKA_0110300	PBANKA_0110300.1	Plasmodium berghei ANKA	PbANKA_01_v3:413,202..413,673(-)	conserved Plasmodium protein, unknown function	PF3D7_0612000	0	43	
PBANKA_0110400	PBANKA_0110400.1	Plasmodium berghei ANKA	PbANKA_01_v3:414,620..416,326(-)	eukaryotic translation initiation factor 3 subunit L, putative	PF3D7_0612100	0	44	
PBANKA_0110600	PBANKA_0110600.1	Plasmodium berghei ANKA	PbANKA_01_v3:425,950..426,303(+)	transmembrane protein 234, putative	PF3D7_0612300	0	39	
PBANKA_0110700	PBANKA_0110700.1	Plasmodium berghei ANKA	PbANKA_01_v3:426,330..427,034(+)	conserved Plasmodium protein, unknown function	PF3D7_0612400	0	44	
PBANKA_0110800	PBANKA_0110800.1	Plasmodium berghei ANKA	PbANKA_01_v3:427,379..427,738(-)	conserved Plasmodium protein, unknown function	PF3D7_0612500	0	44	
PBANKA_0110900	PBANKA_0110900.1	Plasmodium berghei ANKA	PbANKA_01_v3:428,391..429,608(-)	cytoplasmic tRNA 2-thiolation protein 1, putative	PF3D7_0612600	0	46	
PBANKA_0111000	PBANKA_0111000.1	Plasmodium berghei ANKA	PbANKA_01_v3:430,565..431,569(-)	6-cysteine protein P12, putative	PF3D7_0208900,PF3D7_0404900,PF3D7_0508000,PF3D7_0612700	3	180	
PBANKA_0111100	PBANKA_0111100.1	Plasmodium berghei ANKA	PbANKA_01_v3:432,195..433,178(-)	6-cysteine protein	PF3D7_0612800	0	45	
PBANKA_0111200	PBANKA_0111200.1	Plasmodium berghei ANKA	PbANKA_01_v3:435,297..437,330(+)	nucleolar GTP-binding protein 1, putative	PF3D7_0612900	0	46	
PBANKA_0111300	PBANKA_0111300.1	Plasmodium berghei ANKA	PbANKA_01_v3:438,265..440,094(-)	conserved Plasmodium protein, unknown function	PF3D7_0613000	0	51	
PBANKA_0111300	PBANKA_0111300.2	Plasmodium berghei ANKA	PbANKA_01_v3:438,265..440,094(-)	conserved Plasmodium protein, unknown function	PF3D7_0613000	0	51	
PBANKA_0111400	PBANKA_0111400.1	Plasmodium berghei ANKA	PbANKA_01_v3:442,214..442,980(+)	conserved Plasmodium protein, unknown function	PF3D7_0613100	0	43	
PBANKA_0111500	PBANKA_0111500.1	Plasmodium berghei ANKA	PbANKA_01_v3:443,993..444,279(+)	conserved Plasmodium protein, unknown function	PF3D7_0613200	0	43	
PBANKA_0111600	PBANKA_0111600.1	Plasmodium berghei ANKA	PbANKA_01_v3:444,999..448,675(-)	rhoptry protein ROP14, putative	PF3D7_0613300	0	44	
PBANKA_0111700	PBANKA_0111700.1	Plasmodium berghei ANKA	PbANKA_01_v3:450,549..451,316(+)	50S ribosomal protein L18, apicoplast, putative	PF3D7_0613400	0	45	
PBANKA_0111800	PBANKA_0111800.1	Plasmodium berghei ANKA	PbANKA_01_v3:451,528..454,530(-)	AP-3 complex subunit beta, putative	PF3D7_0613500	0	46	
PBANKA_0111900	PBANKA_0111900.1	Plasmodium berghei ANKA	PbANKA_01_v3:457,092..459,260(+)	conserved Plasmodium protein, unknown function	PF3D7_0526600,PF3D7_0613600	0	102	
PBANKA_0112000	PBANKA_0112000.1	Plasmodium berghei ANKA	PbANKA_01_v3:459,663..461,609(-)	syntaxin-binding protein, putative	PF3D7_0613700	0	43	
PBANKA_0112200	PBANKA_0112200.1	Plasmodium berghei ANKA	PbANKA_01_v3:473,752..479,628(-)	myosin E	PF3D7_0613900	0	45	
PBANKA_0112300	PBANKA_0112300.1	Plasmodium berghei ANKA	PbANKA_01_v3:482,503..485,040(-)	filamin domain-containing protein, putative	PF3D7_0614100	0	43	
PBANKA_0112400	PBANKA_0112400.1	Plasmodium berghei ANKA	PbANKA_01_v3:486,084..488,519(-)	cytosolic Fe-S cluster assembly factor NAR1, putative	PF3D7_0614200	0	44	
PBANKA_0112500	PBANKA_0112500.1	Plasmodium berghei ANKA	PbANKA_01_v3:489,776..492,033(-)	major facilitator superfamily-related transporter, putative	PF3D7_0614300	0	45	
PBANKA_0112661	PBANKA_0112661.1	Plasmodium berghei ANKA	PbANKA_01_v3:502,777..504,218(-)	fam-a protein	PF3D7_1463500	36	793	
PBANKA_0112661	PBANKA_0112661.2	Plasmodium berghei ANKA	PbANKA_01_v3:502,777..504,218(-)	fam-a protein	PF3D7_1463500	36	793	
PBANKA_0112701	PBANKA_0112701.1	Plasmodium berghei ANKA	PbANKA_01_v3:510,565..512,140(-)	fam-a protein	PF3D7_1463500	37	793	
PBANKA_0200400	PBANKA_0200400.1	Plasmodium berghei ANKA	PbANKA_02_v3:2,320..3,535(+)	Plasmodium exported protein, unknown function	PF3D7_0831300	0	33	
PBANKA_0200600	PBANKA_0200600.1	Plasmodium berghei ANKA	PbANKA_02_v3:9,308..10,851(+)	fam-a protein	PF3D7_1463500	37	793	
PBANKA_0200650	PBANKA_0200650.1	Plasmodium berghei ANKA	PbANKA_02_v3:12,310..13,879(+)	fam-a protein	PF3D7_1463500	37	793	
PBANKA_0201300	PBANKA_0201300.1	Plasmodium berghei ANKA	PbANKA_02_v3:53,529..54,899(+)	lysophospholipase, putative	PF3D7_0702200,PF3D7_0709700,PF3D7_0936700,PF3D7_0937200,PF3D7_1038900,PF3D7_1252600,PF3D7_1401500,PF3D7_1476700,PF3D7_1476800	3	460	
PBANKA_0201500	PBANKA_0201500.1	Plasmodium berghei ANKA	PbANKA_02_v3:68,633..69,502(-)	Plasmodium exported protein, unknown function	PF3D7_1148800	0	35	
PBANKA_0201700	PBANKA_0201700.1	Plasmodium berghei ANKA	PbANKA_02_v3:82,166..82,423(-)	conserved Plasmodium protein, unknown function	PF3D7_0112100	0	42	
PBANKA_0201800	PBANKA_0201800.1	Plasmodium berghei ANKA	PbANKA_02_v3:83,766..85,672(+)	TatD-like deoxyribonuclease	PF3D7_0112000	0	44	
PBANKA_0201900	PBANKA_0201900.1	Plasmodium berghei ANKA	PbANKA_02_v3:85,816..86,292(+)	conserved protein, unknown function	PF3D7_0111900	0	42	
PBANKA_0202000	PBANKA_0202000.1	Plasmodium berghei ANKA	PbANKA_02_v3:87,321..89,778(-)	eukaryotic translation initiation factor 4E, putative	PF3D7_0111800	0	46	
PBANKA_0202100	PBANKA_0202100.1	Plasmodium berghei ANKA	PbANKA_02_v3:90,934..91,284(+)	conserved protein, unknown function	PF3D7_0111700	0	44	
PBANKA_0202200	PBANKA_0202200.1	Plasmodium berghei ANKA	PbANKA_02_v3:91,557..92,360(+)	conserved Plasmodium protein, unknown function	PF3D7_0111600	0	43	
PBANKA_0202300	PBANKA_0202300.1	Plasmodium berghei ANKA	PbANKA_02_v3:92,992..94,572(+)	UMP-CMP kinase, putative	PF3D7_0111500	0	45	
PBANKA_0202500	PBANKA_0202500.1	Plasmodium berghei ANKA	PbANKA_02_v3:99,350..102,481(+)	P-loop containing nucleoside triphosphate hydrolase, putative	PF3D7_0111300	0	45	
PBANKA_0202600	PBANKA_0202600.1	Plasmodium berghei ANKA	PbANKA_02_v3:103,116..103,799(+)	conserved protein, unknown function	PF3D7_0111200	0	45	
PBANKA_0202700	PBANKA_0202700.1	Plasmodium berghei ANKA	PbANKA_02_v3:104,935..109,753(+)	kinesin-8B	PF3D7_0111000	1	49	
PBANKA_0202800	PBANKA_0202800.1	Plasmodium berghei ANKA	PbANKA_02_v3:110,329..110,934(+)	adenylate kinase-like protein 1, putative	PF3D7_0110900	0	45	
PBANKA_0202900	PBANKA_0202900.1	Plasmodium berghei ANKA	PbANKA_02_v3:111,256..112,556(-)	transcription initiation factor TFIIB, putative	PF3D7_0110800	0	47	
PBANKA_0203000	PBANKA_0203000.1	Plasmodium berghei ANKA	PbANKA_02_v3:115,741..117,081(+)	chromatin assembly factor 1 subunit C, putative	PF3D7_0110700,PF3D7_1433300	1	90	
PBANKA_0203100	PBANKA_0203100.1	Plasmodium berghei ANKA	PbANKA_02_v3:118,344..122,675(-)	phosphatidylinositol-4-phosphate 5-kinase, putative	PF3D7_0110600	0	44	
PBANKA_0203200	PBANKA_0203200.1	Plasmodium berghei ANKA	PbANKA_02_v3:124,260..127,716(-)	bromodomain protein 3, putative	PF3D7_0110500	0	21	
PBANKA_0203300	PBANKA_0203300.1	Plasmodium berghei ANKA	PbANKA_02_v3:128,960..129,845(+)	DNA-directed RNA polymerase II subunit RPB9, putative	PF3D7_0110400	0	45	
PBANKA_0203400	PBANKA_0203400.1	Plasmodium berghei ANKA	PbANKA_02_v3:130,246..130,665(-)	FAD-linked sulfhydryl oxidase ERV1, putative	PF3D7_0110200	0	44	
PBANKA_0203500	PBANKA_0203500.1	Plasmodium berghei ANKA	PbANKA_02_v3:131,598..133,697(+)	selenocysteine-specific elongation factor, putative	PF3D7_0110100	0	43	
PBANKA_0203600	PBANKA_0203600.1	Plasmodium berghei ANKA	PbANKA_02_v3:133,870..134,559(-)	conserved Plasmodium protein, unknown function	PF3D7_0110000	0	42	
PBANKA_0203650	PBANKA_0203650.1	Plasmodium berghei ANKA	PbANKA_02_v3:135,119..136,236(-)	conserved protein, unknown function	PF3D7_0109950	0	41	
PBANKA_0203750	PBANKA_0203750.1	Plasmodium berghei ANKA	PbANKA_02_v3:136,373..139,623(-)	phosphatidate cytidylyltransferase, putative	PF3D7_0109850	0	42	
PBANKA_0203800	PBANKA_0203800.1	Plasmodium berghei ANKA	PbANKA_02_v3:140,319..141,986(-)	phenylalanine--tRNA ligase alpha subunit, putative	PF3D7_0109800	0	45	
PBANKA_0203900	PBANKA_0203900.1	Plasmodium berghei ANKA	PbANKA_02_v3:143,027..143,869(+)	rRNA biogenesis protein RRP36, putative	PF3D7_0109700	0	44	
PBANKA_0204000	PBANKA_0204000.1	Plasmodium berghei ANKA	PbANKA_02_v3:144,591..145,226(+)	cold-shock protein, putative	PF3D7_0109600	0	45	
PBANKA_0204100	PBANKA_0204100.1	Plasmodium berghei ANKA	PbANKA_02_v3:145,808..146,458(+)	N-acetyltransferase, GNAT family, putative	PF3D7_0109500	0	45	
PBANKA_0204200	PBANKA_0204200.1	Plasmodium berghei ANKA	PbANKA_02_v3:147,507..148,166(+)	tubulin-specific chaperone a, putative	PF3D7_0109400	0	45	
PBANKA_0204400	PBANKA_0204400.1	Plasmodium berghei ANKA	PbANKA_02_v3:150,672..151,397(+)	cleavage and polyadenylation specificity factor subunit 5, putative	PF3D7_0109200	0	44	
PBANKA_0204500	PBANKA_0204500.1	Plasmodium berghei ANKA	PbANKA_02_v3:151,574..154,801(-)	LCCL domain-containing protein, putative	PF3D7_0109100,PF3D7_1451600	1	90	
PBANKA_0204600	PBANKA_0204600.1	Plasmodium berghei ANKA	PbANKA_02_v3:156,215..156,883(-)	photosensitized INA-labeled protein PHIL1	PF3D7_0109000	0	43	
PBANKA_0204700	PBANKA_0204700.1	Plasmodium berghei ANKA	PbANKA_02_v3:158,791..161,234(-)	mitochondrial carrier protein, putative	PF3D7_0108800	0	43	
PBANKA_0204900	PBANKA_0204900.1	Plasmodium berghei ANKA	PbANKA_02_v3:166,232..168,005(+)	DnaJ domain-containing protein, putative	PF3D7_0108600	0	45	
PBANKA_0205100	PBANKA_0205100.1	Plasmodium berghei ANKA	PbANKA_02_v3:170,399..172,540(+)	mitochondrial carrier protein, putative	PF3D7_0108400	0	49	
PBANKA_0205300	PBANKA_0205300.1	Plasmodium berghei ANKA	PbANKA_02_v3:181,697..183,685(-)	conserved protein, unknown function	PF3D7_0108100	0	45	
PBANKA_0205400	PBANKA_0205400.1	Plasmodium berghei ANKA	PbANKA_02_v3:184,766..185,813(+)	proteasome subunit beta type-3, putative	PF3D7_0108000	0	46	
PBANKA_0205500	PBANKA_0205500.1	Plasmodium berghei ANKA	PbANKA_02_v3:186,553..187,332(+)	conserved Plasmodium protein, unknown function	PF3D7_0107900	0	40	
PBANKA_0205600	PBANKA_0205600.1	Plasmodium berghei ANKA	PbANKA_02_v3:187,342..190,494(-)	double-strand break repair protein MRE11	PF3D7_0107800	0	45	
PBANKA_0205700	PBANKA_0205700.1	Plasmodium berghei ANKA	PbANKA_02_v3:191,198..192,460(-)	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	PF3D7_0107700	0	44	
PBANKA_0206000	PBANKA_0206000.1	Plasmodium berghei ANKA	PbANKA_02_v3:211,994..212,503(-)	ATP synthase-associated protein, putative	PF3D7_0107400	0	45	
PBANKA_0206100	PBANKA_0206100.1	Plasmodium berghei ANKA	PbANKA_02_v3:213,722..215,716(-)	CCR4 domain-containing protein 3, putative	PF3D7_0107200	0	44	
PBANKA_0206200	PBANKA_0206200.1	Plasmodium berghei ANKA	PbANKA_02_v3:216,165..217,598(+)	conserved protein, unknown function	PF3D7_0107100	0	40	
PBANKA_0206300	PBANKA_0206300.1	Plasmodium berghei ANKA	PbANKA_02_v3:217,848..219,296(-)	centrin-1, putative	PF3D7_0107000,PF3D7_1446600	1	89	
