"# Program:featureCounts v2.0.0; Command:""featureCounts"" ""-T"" ""2"" ""-a"" ""/home/mahogny/mystore/ref_genome/pberghei/PlasmoDB-46_PbergheiANKA.gtf"" ""-o"" ""count.csv"" ""samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam""";;;;;;;;;;;;;;;;;;;;;;;
Geneid;Chr;Start;End;Strand;Length;samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam
PBANKA_0001401;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"41897;42039;43017";"41914;42926;43091";"+;+;+";981;320;108;8;104;32;81;123;8;50;26;2;0;0;0;0;0;0;0
PBANKA_0001501;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"45928;46051;46961";"45942;46845;47041";"+;+;+";891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0001601;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"48795;49123;49440;49713;49878;50287";"48965;49356;49543;49782;50145;50417";"-;-;-;-;-;-";978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006300;"PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1;PbANKA_00_v3_archived_contig_1";"53843;53985;54945";"53857;54854;55016";"+;+;+";957;1248;235;220;260;156;263;120;133;232;159;10;0;0;0;0;0;2;0
PBANKA_0006401;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"733;895;1065;1375";"804;1062;1372;1555";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006501;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"3023;3185;3355;3665";"3094;3352;3662;3845";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006600;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"5313;5475;5645;5955";"5384;5642;5952;6135";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006701;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"7603;7765;7935;8245";"7674;7932;8242;8428";"-;-;-;-";732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006800;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"9893;10055;10225;10535";"9964;10222;10532;10715";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0006900;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"12183;12345;12515;12825";"12254;12512;12822;13005";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007000;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"14473;14635;14805;15115";"14544;14802;15112;15292";"-;-;-;-";726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007100;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"16763;16925;17095;17405";"16834;17092;17402;17585";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007200;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"19053;19215;19385;19695";"19124;19382;19692;19875";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007300;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"21343;21505;21675;21985";"21414;21672;21982;22165";"-;-;-;-";729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007401;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"23498;23663;24694";"23572;24568;24711";"-;-;-";999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007501;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"28137;28409;28772;29011;29198;29589";"28267;28676;28841;29114;29431;29759";"+;+;+;+;+;+";978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007601;"PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2";"31539;31709;32612";"31619;32503;32626";"-;-;-";891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007701;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"1120;1182;1407;1758;1894;1926;2592";"1180;1405;1756;1891;1924;2502;2672";"+;+;+;+;+;+;+";1458;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PBANKA_0001200;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"3461;3629;3951;4225;4391;4779";"3484;3829;4027;4294;4623;4899";"-;-;-;-;-;-";726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007801;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"6017;6256;6621";"6085;6618;6911";"+;+;+";723;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0007901;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"9729;9871;10849";"9743;10758;10923";"+;+;+";978;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
PBANKA_0008001;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"13760;13883;14767";"13774;14677;14847";"+;+;+";891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008101;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"16627;16946;17263;17536;17701;18110";"16788;17179;17366;17605;17968;18240";"-;-;-;-;-;-";969;178;28;38;31;18;0;25;39;8;13;0;0;0;0;0;0;4;0
PBANKA_0008201;"PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3;PbANKA_00_v3_archived_contig_3";"21666;21809;22805";"21683;22714;22876";"+;+;+";996;268;40;24;46;10;12;44;27;72;18;2;0;0;0;0;0;0;0
PBANKA_0008301;"PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4";"403;549;706";"546;704;888";"+;+;+";483;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008401;"PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4";"2673;2858;3023;3191;3422";"2855;3020;3188;3332;3454";"+;+;+;+;+";687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008501;"PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4";"4997;5149;5304;5477;5703";"5143;5301;5475;5613;5774";"+;+;+;+;+";681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008601;"PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4";"7228;7586;7973";"7584;7882;8044";"+;+;+";726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008701;"PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4;PbANKA_00_v3_archived_contig_4";"9538;9618;9838";"9615;9836;9984";"+;+;+";444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008801;"PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5";"11;291;665";"289;575;697";"+;+;+";597;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0008901;"PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5";"2241;2351;2387;2795;2956";"2348;2383;2792;2865;2994";"+;+;+;+;+";657;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0009101;"PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5;PbANKA_00_v3_archived_contig_5";"4502;4633;4949;5065;5215";"4631;4946;5062;5124;5286";"+;+;+;+;+";690;4;3;2;1;1;12;7;0;5;2;0;0;0;0;0;0;0;0
PBANKA_0100021;"PbANKA_01_v3;PbANKA_01_v3";"1098;1979";"1805;2047";"-;-";777;72;54;34;4;36;69;67;18;101;8;8;0;0;0;0;0;0;0
PBANKA_0100041;PbANKA_01_v3;8896;14118;+;5223;200;42;14;1;56;45;10;11;14;24;0;0;0;83;32;8;55;1
PBANKA_0100061;"PbANKA_01_v3;PbANKA_01_v3";"21970;22516";"22347;22548";"-;-";411;208;51;67;21;46;67;53;33;26;4;7;0;0;0;5;2;2;0
PBANKA_0100081;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"24218;24366;24449;24715;24979;25272";"24277;24446;24713;24977;25170;25286";"-;-;-;-;-;-";876;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0100100;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"26371;26676;26992;27221;27435;27860";"26459;26910;27061;27330;27668;27916";"+;+;+;+;+;+";795;45;11;8;44;63;0;58;8;23;24;0;0;0;0;0;0;2;0
PBANKA_0100200;"PbANKA_01_v3;PbANKA_01_v3";"29285;29544";"29371;30482";"+;+";1026;104;29;38;18;2;16;6;2;4;10;0;0;0;4;0;0;0;0
PBANKA_0100300;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"33270;33320;33411;33452;33639;33857;33929";"33317;33409;33449;33637;33854;33926;34584";"+;+;+;+;+;+;+";1305;51;0;0;0;0;60;2;3;18;0;0;0;0;0;0;0;0;0
PBANKA_0100400;"PbANKA_01_v3;PbANKA_01_v3";"36844;36997";"36898;38783";"+;+";1842;564;134;124;98;111;235;120;52;142;50;6;0;0;0;0;0;0;0
PBANKA_0100500;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"40052;40304;41475";"40126;41275;41483";"-;-;-";1056;1229;244;216;114;249;196;223;98;196;150;15;0;2;0;0;2;0;0
PBANKA_0100600;PbANKA_01_v3;42789;43271;+;483;624;117;133;130;53;175;156;55;128;91;6;0;0;2;1;2;2;0
PBANKA_0100700;"PbANKA_01_v3;PbANKA_01_v3";"45315;45586";"45392;46473";"+;+";966;1591;118;394;236;137;278;185;119;262;96;2;0;0;0;6;8;4;0
PBANKA_0100800;PbANKA_01_v3;47559;51707;-;4149;4087;534;400;776;666;692;516;305;624;383;27;0;6;0;20;6;10;4
PBANKA_0100900;"PbANKA_01_v3;PbANKA_01_v3";"56253;60138";"60019;60273";"+;+";3903;5912;512;1092;1033;406;1032;621;287;705;371;18;0;14;51;64;64;77;6
PBANKA_0101000;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"61396;62165;62562";"61961;62282;62666";"+;+;+";789;1037;86;220;272;175;233;109;56;284;25;10;0;2;34;25;9;33;4
PBANKA_0101100;PbANKA_01_v3;63665;64618;+;954;871;38;155;116;67;137;166;79;158;65;0;0;9;9;10;0;10;2
PBANKA_0101200;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"65221;65401;65683;65873";"65300;65493;65770;68380";"-;-;-;-";2769;3239;396;359;390;402;512;363;219;508;220;11;0;20;58;46;26;75;6
PBANKA_0101300;PbANKA_01_v3;69076;70230;+;1155;984;200;52;126;111;266;158;74;233;57;8;0;6;10;6;4;38;7
PBANKA_0101400;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"70637;71048;71765;72215;72753";"70826;71523;72028;72561;75081";"-;-;-;-;-";3606;2904;371;265;415;285;318;342;128;422;183;31;0;31;45;14;24;58;7
PBANKA_0101500;PbANKA_01_v3;77684;79087;-;1404;511;123;10;62;68;39;126;27;105;42;8;0;36;6;2;4;7;0
PBANKA_0101600;PbANKA_01_v3;79755;81779;+;2025;401;68;102;94;164;173;71;94;109;46;6;0;25;14;10;8;8;2
PBANKA_0101700;"PbANKA_01_v3;PbANKA_01_v3";"82175;82700";"82577;83622";"-;-";1326;1267;23;69;178;143;161;183;50;41;53;9;0;5;8;14;6;15;7
PBANKA_0101800;PbANKA_01_v3;85535;87034;+;1500;404;47;116;152;73;162;119;84;157;35;8;0;7;30;22;14;24;7
PBANKA_0101900;PbANKA_01_v3;88330;89766;-;1437;1384;304;125;100;201;301;151;41;183;151;6;0;7;9;9;7;12;6
PBANKA_0102000;PbANKA_01_v3;92030;93454;+;1425;2299;211;226;358;217;313;212;90;247;138;8;0;0;30;18;21;23;8
PBANKA_0102100;PbANKA_01_v3;94042;95595;-;1554;1679;186;240;307;267;195;123;155;187;83;16;0;6;13;10;6;24;4
PBANKA_0102200;PbANKA_01_v3;96818;99523;-;2706;648;188;66;53;156;285;149;75;82;36;10;0;4;44;28;32;72;12
PBANKA_0102300;PbANKA_01_v3;102681;104003;+;1323;1417;117;114;291;211;147;204;84;172;87;13;2;11;31;18;17;23;4
PBANKA_0102400;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"104749;105013;108654";"104898;108378;110663";"-;-;-";5526;1495;121;144;361;253;297;319;118;243;210;10;0;4;12;4;4;8;0
PBANKA_0102500;PbANKA_01_v3;112462;113895;+;1434;965;100;132;120;127;67;76;49;82;54;0;0;4;5;8;8;18;6
PBANKA_0102600;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"113956;114169;114468;114675;115101;117024;117853;118186;118416;118615;118938;119181;119651;119935;120180;120560;120894;121096;121337;121593";"114018;114332;114558;114947;116913;117753;118026;118283;118487;118792;119073;119532;119842;120032;120431;120783;120988;121235;121471;121877";"-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-";5565;1951;318;342;323;273;308;443;98;495;213;9;0;15;20;11;16;27;3
PBANKA_0102700;PbANKA_01_v3;122663;123781;-;1119;200;10;34;62;67;26;9;10;48;3;0;0;1;2;0;0;4;0
PBANKA_0102800;PbANKA_01_v3;125050;129579;-;4530;433;136;44;178;146;266;112;73;110;87;2;0;3;17;14;7;13;2
PBANKA_0102900;PbANKA_01_v3;130777;136563;-;5787;1161;155;210;194;171;214;214;87;138;96;9;0;16;10;9;1;0;0
PBANKA_0103000;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"140282;140695;140924";"140417;140759;141004";"+;+;+";282;49;52;22;7;81;57;31;23;29;25;1;1;7;8;7;4;6;0
PBANKA_0103100;PbANKA_01_v3;141669;143660;+;1992;444;98;100;31;77;135;79;33;46;36;4;0;2;9;24;12;15;8
PBANKA_0103200;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"144470;145009;145176;145552";"144858;145085;145241;145601";"+;+;+;+";582;60;79;12;0;20;28;51;30;40;21;2;0;0;2;0;0;2;0
PBANKA_0103300;"PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3";"148463;154403;154645;154859";"154295;154453;154718;155002";"+;+;+;+";6102;1159;165;199;222;210;340;272;133;143;119;3;0;14;105;46;60;130;20
