Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
WD40 proteins as platforms of protein-protein interactions	0.11964045301690684	17	1	0.5329026774684629	PBANKA_1226800
Potential models for lncRNA-TARE at chromosome ends	0.13159988083405327	18	1	0.5329026774684629	PBANKA_1343800
CLAG3 contribution to increased permeability of infected erythrocytes	0.13423495474110902	4	0	0.5329026774684629	
Exported parasite proteins associated with Maurer�s clefts	0.13423495474110902	4	0	0.5329026774684629	
MSP1 as an anchor in merozoite invasion	0.13423495474110902	4	0	0.5329026774684629	
Genes of the apicoplast genome	0.13423495474110902	4	0	0.5329026774684629	
Evolution of parasite resistance to antifolates	0.13423495474110902	4	0	0.5329026774684629	
Oxysterol binding protein (OSBP) structure and function	0.13423495474110902	4	0	0.5329026774684629	
KEOPS complex	0.13423495474110902	4	0	0.5329026774684629	
Hypothetical routes to sexual differentiation	0.13423495474110902	4	0	0.5329026774684629	
Lysine metabolism	0.13423495474110902	4	0	0.5329026774684629	
The Clp complex is a master regulator of apicoplast biology	0.13423495474110902	4	0	0.5329026774684629	
Involvement of GTP-binding proteins and ribosomes in amino acid shortage	0.13423495474110902	4	0	0.5329026774684629	
Assembly of the retromer complex	0.13423495474110902	4	0	0.5329026774684629	
Roles of rhoptry neck proteins during invasion	0.13423495474110902	4	0	0.5329026774684629	
Shikimate biosynthesis	0.13423495474110902	4	0	0.5329026774684629	
Role of the PfRh5/PfRipr/CyRPA Complex during Invasion of Erythrocytes	0.13423495474110902	4	0	0.5329026774684629	
Proteins with conserved phosphatase related superfamily domains	0.14127499489002382	37	2	0.5542806780498423	PBANKA_0910200, PBANKA_0408400
CCR4 � NOT complex	0.14381903956975073	19	1	0.5542806780498423	PBANKA_0806100
Phosphatidylcholine metabolism	0.14381903956975073	19	1	0.5542806780498423	PBANKA_1001500
cGMP/PKG signalling in egress/invasion	0.14381903956975073	19	1	0.5542806780498423	PBANKA_0408200
Hsp90-associated multiprotein complex (R2TP-Hsp90 complex)	0.14963809396346683	38	2	0.5653597013629014	PBANKA_0920100, PBANKA_1010500
Glutathione metabolism	0.1562649258719826	20	1	0.5653597013629014	PBANKA_1111800
Pyruvate metabolism	0.1562649258719826	20	1	0.5653597013629014	PBANKA_1446900
Calcium � calmodulin activation of protein kinases	0.1562649258719826	20	1	0.5653597013629014	PBANKA_0408200
Proteins containing histone post translational modification-binding modules	0.1562649258719826	20	1	0.5653597013629014	PBANKA_1428900
Phosphoinositides and membrane traffic	0.1562649258719826	20	1	0.5653597013629014	PBANKA_0516600
Enzyme involved in protein degradation within mitochondria	0.1562649258719826	20	1	0.5653597013629014	PBANKA_1236400
Roles of carbon metabolism proteins in the apicoplast	0.16489657956417958	5	0	0.5653597013629014	
Proteolytic processing of the MSP1/6/7 complex	0.16489657956417958	5	0	0.5653597013629014	
Hemozoin and b-hematin formation	0.16489657956417958	5	0	0.5653597013629014	
Role of perforin 1 in merozoite egress	0.16489657956417958	5	0	0.5653597013629014	
Modification of the wobble position uridine (U34) in Lys, Glu, Gln, Leu and Arg tRNAs	0.16489657956417958	5	0	0.5653597013629014	
Proteins associated with detergent-resistant membrane (DRM)	0.16489657956417958	5	0	0.5653597013629014	
Location and function of the six HSP70s in infected erythrocytes	0.16489657956417958	5	0	0.5653597013629014	
Apicoplast DNA	0.16489657956417958	5	0	0.5653597013629014	
Apicoplast Kae1api-protein interactions	0.16489657956417958	5	0	0.5653597013629014	
Pathways of peptide export from the mitochondrion	0.16489657956417958	5	0	0.5653597013629014	
m6A Effectors: Writers, Erasers, and Readers	0.16890651747581287	21	1	0.568042300810377	PBANKA_0621400
Genes coding for GPI-anchored membrane proteins	0.16890651747581287	21	1	0.568042300810377	PBANKA_1359700
Histone mRNA degradation	0.16890651747581287	21	1	0.568042300810377	PBANKA_1233800
Chloramphenicol - effect of drug on gene transcription	0.1752098773469133	62	3	0.577232482917873	PBANKA_1218100, PBANKA_0414900, PBANKA_1446900
Plasmodium falciparum chromatin landscape	0.18171467585975232	22	1	0.577232482917873	PBANKA_1343800
Encoded proteins that could be constituents of P-bodies	0.18455473537755873	42	2	0.577232482917873	PBANKA_0806100, PBANKA_0408400
Proteins predicted to be involved in cell cycle regulatory network	0.19360290302726146	43	2	0.577232482917873	PBANKA_0808900, PBANKA_1226800
RNA exosome-mediated ns-ncRNAs degradation	0.1944795789626823	6	0	0.577232482917873	
Catabolism of polyphosphates	0.1944795789626823	6	0	0.577232482917873	
Model for assembly of a signaling complex during RBC invasion	0.1944795789626823	6	0	0.577232482917873	
Putative regulatory functions of nascent ncRNAs	0.1944795789626823	6	0	0.577232482917873	
a-Linolenic acid (ALA) pathway	0.1944795789626823	6	0	0.577232482917873	
ER protein VAP establish membrane contact sites	0.1944795789626823	6	0	0.577232482917873	
Putative role of PfSR25 in activation of Ca2+ signaling and stress survival	0.1944795789626823	6	0	0.577232482917873	
Histone modification cross-talk	0.1944795789626823	6	0	0.577232482917873	
Subunit composition of the yeast OST (oligosaccharyltransferase) complex	0.1944795789626823	6	0	0.577232482917873	
Model for merozoite invasion	0.1944795789626823	6	0	0.577232482917873	
tRNA-wybutosine biosynthesis	0.1944795789626823	6	0	0.577232482917873	
Clp proteases and the translocon of exported proteins	0.1944795789626823	6	0	0.577232482917873	
Pyridoxal phosphate (Vitamin B6) metabolism	0.19466205335899978	23	1	0.577232482917873	PBANKA_1411100
Tubulin and microtubules	0.2077230043456636	24	1	0.577232482917873	PBANKA_1343800
Inositol Phosphate metabolism	0.2077230043456636	24	1	0.577232482917873	PBANKA_0918600
Phosphatome - Phosphatases of Plasmodium falciparum	0.21157183684252856	67	3	0.577232482917873	PBANKA_0910200, PBANKA_0806100, PBANKA_0408400
Methyl�Methanesulfonate  - effect of drug on gene transcription	0.212017538799822	45	2	0.577232482917873	PBANKA_0936900, PBANKA_1238200
Putative SUMO substrates	0.22087350041797205	25	1	0.577232482917873	PBANKA_0717200
Organellar ribosome assembly proteins  and their predicted targeting	0.22087350041797205	25	1	0.577232482917873	PBANKA_1127800
Histone chaperones	0.22087350041797205	25	1	0.577232482917873	PBANKA_1007200
ER-to Golgi, translocation and quality control	0.2213660927239709	46	2	0.577232482917873	PBANKA_1223200, PBANKA_0418300
Reduced Kelch13 activity leads to ART resistance	0.22302164112736	7	0	0.577232482917873	
U5 snRNP biogenesis	0.22302164112736	7	0	0.577232482917873	
DNA�protein crosslink repair	0.22302164112736	7	0	0.577232482917873	
Clp chaperones and proteases	0.22302164112736	7	0	0.577232482917873	
Protein-lysine methylation and demethylation	0.22302164112736	7	0	0.577232482917873	
Regulation microneme secretion and invasion	0.22302164112736	7	0	0.577232482917873	
Components of translation machinery in apicoplast	0.22302164112736	7	0	0.577232482917873	
The HSP70 chaperone cycle	0.22302164112736	7	0	0.577232482917873	
Phenylalanine and Tyrosine metabolism	0.22302164112736	7	0	0.577232482917873	
The Atg8 and Atg12 ubiquitin-like conjugation systems	0.22302164112736	7	0	0.577232482917873	
DNA binding proteins with AP2 domain(s)	0.22302164112736	7	0	0.577232482917873	
Possible regulators of gene regulation during commitment and gametocytogenesis	0.22302164112736	7	0	0.577232482917873	
Possible reasons for increased permeability of host cell membrane	0.22302164112736	7	0	0.577232482917873	
Endocytosis	0.22302164112736	7	0	0.577232482917873	
SR (Ser�Arg) proteins	0.22302164112736	7	0	0.577232482917873	
Mechanism of resistance to artemisinin	0.22302164112736	7	0	0.577232482917873	
The SNARE conformational cycle during vesicle docking and fusion	0.22302164112736	7	0	0.577232482917873	
Apicoplast putative membrane proteins	0.22302164112736	7	0	0.577232482917873	
Sterol transport and phosphatidylinositol 4-phosphate transfer between endoplasmic reticulum and Golgi membranes	0.22302164112736	7	0	0.577232482917873	
Plasmodium falciparum histone acetylation and methylation	0.22302164112736	7	0	0.577232482917873	
Various features of C/D and H/ACA snoRNAs	0.22302164112736	7	0	0.577232482917873	
tRNA thiolation	0.22302164112736	7	0	0.577232482917873	
Molecular motor prototypes	0.23079712022964316	47	2	0.5827983668300903	PBANKA_0414900, PBANKA_0504400
Differentially expressed genes in 3D7 strain treated for 5h with melatonin	0.23169634838808617	93	4	0.5827983668300903	PBANKA_0621800, PBANKA_1353300, PBANKA_0938500, PBANKA_1356600
Genes coding for enzymes/proteins involved in DNA replication	0.23434176257634176	70	3	0.5827983668300903	PBANKA_0104600, PBANKA_1226800, PBANKA_1007200
Drug targets	0.23821097064293995	118	5	0.5827983668300903	PBANKA_0817000, PBANKA_1446900, PBANKA_1428800, PBANKA_0518200, PBANKA_0816000
P. falciparum genes harboring G-quadruplexes	0.24517506584073556	270	11	0.5827983668300903	PBANKA_0808700, PBANKA_0817000, PBANKA_1356600, PBANKA_1446900, PBANKA_0911300, PBANKA_0408400, PBANKA_1422700, PBANKA_1116300, PBANKA_1007200, PBANKA_0816000, PBANKA_1226800
The ATG autophagic pathway	0.24735461792771885	27	1	0.5827983668300903	PBANKA_0408200
IMC (inner membrane complex) proteins	0.24987257520494843	49	2	0.5827983668300903	PBANKA_1120400, PBANKA_0707100
CoA biosynthesis	0.25055914634551235	8	0	0.5827983668300903	
Ribosome recycling and mRNA surveillance	0.25055914634551235	8	0	0.5827983668300903	
Post-translational modifications identified of histones	0.25055914634551235	8	0	0.5827983668300903	
Histone post-translational modifications landscape	0.25055914634551235	8	0	0.5827983668300903	
Nucleosome occupancy and gametocyte commitment	0.25055914634551235	8	0	0.5827983668300903	
Model for signal processing in the ER	0.25055914634551235	8	0	0.5827983668300903	
mRNA 5' capping	0.25055914634551235	8	0	0.5827983668300903	
Glyoxalase metabolism	0.25055914634551235	8	0	0.5827983668300903	
Eukaryotic fMet/N-End Rule Pathway	0.25055914634551235	8	0	0.5827983668300903	
Lysine Methylation Regulators	0.25055914634551235	8	0	0.5827983668300903	
Post-translational modification of elongation factor 2	0.25055914634551235	8	0	0.5827983668300903	
Events in merozoite egress	0.25055914634551235	8	0	0.5827983668300903	
Nicotinate and nicotinamide metabolism	0.25055914634551235	8	0	0.5827983668300903	
MSPDBL and MSP1 mediate merozoite invasion	0.25055914634551235	8	0	0.5827983668300903	
Asparagine and Aspartate metabolism	0.25055914634551235	8	0	0.5827983668300903	
Postulated artemisinins� modes of action	0.25055914634551235	8	0	0.5827983668300903	
Protein phosphorylation	0.25767768000250446	73	3	0.5931910622129306	PBANKA_0910200, PBANKA_1460500, PBANKA_0616700
Model for ubiquitin-mediated regulation of Ras	0.25950045613428174	50	2	0.5931910622129306	PBANKA_0808700, PBANKA_1106300
Quality control in mRNA biogenesis	0.26064455763901495	28	1	0.5931910622129306	PBANKA_0717500
Histone acetylation	0.26064455763901495	28	1	0.5931910622129306	PBANKA_1343800
Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	0.26064455763901495	28	1	0.5931910622129306	PBANKA_1238200
Parasite proteins that form complexes with natural products	0.2739425345902544	29	1	0.5972374202529018	PBANKA_1411100
Proteins and complexes that are involved in protein transport into the endoplasmic reticulum	0.2739425345902544	29	1	0.5972374202529018	PBANKA_1127800
Posttranslational translocation in eukaryotes	0.2739425345902544	29	1	0.5972374202529018	PBANKA_1127800
Signaling machinery in malaria parasites	0.2739425345902544	29	1	0.5972374202529018	PBANKA_0408200
Mitochondria copper homeostasis	0.27712721204916846	9	0	0.5972374202529018	
Post-translational modification �SUMOylation	0.27712721204916846	9	0	0.5972374202529018	
Parasite invasion ligands and human erythrocyte receptors	0.27712721204916846	9	0	0.5972374202529018	
Subcellular localization of exported proteins	0.27712721204916846	9	0	0.5972374202529018	
Enhanced protein degradation by branched ubiquitin chains	0.27712721204916846	9	0	0.5972374202529018	
Translation in mitochondrion	0.27712721204916846	9	0	0.5972374202529018	
Telomerase and some telomerase associated proteins	0.27712721204916846	9	0	0.5972374202529018	
Protein N-terminal acetylation	0.27712721204916846	9	0	0.5972374202529018	
Nitrogen metabolism	0.27712721204916846	9	0	0.5972374202529018	
Chromatin modifying proteins	0.2872314619445895	30	1	0.616496796368875	PBANKA_1343800
Artemisinin - effect of drug on gene transcription	0.28946668151368293	77	3	0.6172090379432937	PBANKA_1104200, PBANKA_1218100, PBANKA_0414900
DNA mismatch repair system	0.30049543568829384	31	1	0.6172090379432937	PBANKA_1007200
Utilization of phospholipids	0.30049543568829384	31	1	0.6172090379432937	PBANKA_1001500
Pentose Phosphate Cycle	0.3027597364153657	10	0	0.6172090379432937	
Model for metabolic compartmentalization of PI biosynthesis	0.3027597364153657	10	0	0.6172090379432937	
Packaging of remodeled GPI-anchored proteins into COPII coated transport vesicles	0.3027597364153657	10	0	0.6172090379432937	
Interactions between modified host cell membrane and endothelial cell	0.3027597364153657	10	0	0.6172090379432937	
Lsm proteins and RNA processing	0.3027597364153657	10	0	0.6172090379432937	
Proteins of the parasitophorous vacuolar membrane	0.3027597364153657	10	0	0.6172090379432937	
Topogenesis of the Rieske FeS protein	0.3027597364153657	10	0	0.6172090379432937	
