Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Network analysis of drCDC-UNK proteins and their potential protein interactions	0.010222348665395953	151	9	0.19089076661681653	PBANKA_0805900, PBANKA_1012400, PBANKA_0908500, PBANKA_1030100, PBANKA_0310000, PBANKA_0615200, PBANKA_1034400, PBANKA_0409400, PBANKA_0202700
Glycolysis	0.010879904365050375	31	3	0.19089076661681653	PBANKA_1210900, PBANKA_1340400, PBANKA_1441100
RNA exosome-mediated ns-ncRNAs degradation	0.011207601827881275	6	1	0.19089076661681653	PBANKA_0811100
Putative regulatory functions of nascent ncRNAs	0.011207601827881275	6	1	0.19089076661681653	PBANKA_0811100
Putative Golgi disassembly and reassembly mechanisms	0.01346864138770254	18	2	0.21673731830808052	PBANKA_0824400, PBANKA_1359600
Protein-Protein Interactions between Human Erythrocytes and Plasmodium falciparum	0.013546082394255032	33	3	0.21673731830808052	PBANKA_1034400, PBANKA_1216800, PBANKA_1414700
Genes coding for enzymes/proteins involved in DNA replication	0.01399547708967186	70	5	0.2173415265690218	PBANKA_0312700, PBANKA_1349400, PBANKA_1034100, PBANKA_0940200, PBANKA_1402400
The HSP70 chaperone cycle	0.015400099030344117	7	1	0.22978439299876538	PBANKA_0310000
CCR4 � NOT complex	0.015667117704461275	19	2	0.22978439299876538	PBANKA_1010800, PBANKA_0517700
Post-translational modification of elongation factor 2	0.020154106748396572	8	1	0.2723902883810921	PBANKA_0106600
Nicotinate and nicotinamide metabolism	0.020154106748396572	8	1	0.2723902883810921	PBANKA_0827500
PfWDR genes	0.020342593784146157	76	5	0.2723902883810921	PBANKA_0106600, PBANKA_0203000, PBANKA_0929300, PBANKA_1018300, PBANKA_0510600
Genes coding for GPI-anchored membrane proteins	0.020635627907658494	21	2	0.2723902883810921	PBANKA_1119200, PBANKA_1359600
ATP-dependent chromatin remodeling complexes	0.021921923387416498	38	3	0.2823115987452661	PBANKA_1135500, PBANKA_0102400, PBANKA_1030100
Nitrogen metabolism	0.02543477705093755	9	1	0.2893970894000451	PBANKA_1010800
HSP90-R2TP complex (yeast)	0.02543477705093755	9	1	0.2893970894000451	PBANKA_0832500
Subcellular localization of exported proteins	0.02543477705093755	9	1	0.2893970894000451	PBANKA_0310000
Geldanamycin - effect of drug on gene transcription	0.02599189495675358	40	3	0.2893970894000451	PBANKA_0933600, PBANKA_0902600, PBANKA_0310000
Protein kinase coding genes	0.028415714468749464	82	5	0.2893970894000451	PBANKA_0824400, PBANKA_1362100, PBANKA_0615200, PBANKA_0933700, PBANKA_0409400
Regulation of Sexual Commitment	0.028501228501519593	1	0	0.2893970894000451	
N-end rule is highly regulated protein degradation pathway	0.028501228501519593	1	0	0.2893970894000451	
The conoid complex in apicomplexan zoite forms	0.028501228501519593	1	0	0.2893970894000451	
Malaria infection disrupts nitric oxide metabolism	0.028501228501519593	1	0	0.2893970894000451	
Protein nitrosylation and denitrosylation	0.028501228501519593	1	0	0.2893970894000451	
Protein export in gametocytes	0.028501228501519593	1	0	0.2893970894000451	
Pentose Phosphate Cycle	0.031208762879229135	10	1	0.3051523481524626	PBANKA_1210900
Interactions between modified host cell membrane and endothelial cell	0.031208762879229135	10	1	0.3051523481524626	PBANKA_0310000
Putative SUMO substrates	0.03287355640449474	25	2	0.3155861414831495	PBANKA_0203000, PBANKA_1119200
Molecular targets of and mechanisms of resistance to major antimalarial drugs	0.03744416191626421	11	1	0.35304495521049106	PBANKA_1034400
Helicases	0.038790599558689465	66	4	0.3593234485436498	PBANKA_0940200, PBANKA_0811100, PBANKA_1034100, PBANKA_0312700
Localization and function of some Hsp40s and Hsp70s	0.044110462514716064	12	1	0.394751257758815	PBANKA_0310000
RNA Channeling in the Exosome-Ski Assembly during mRNA degradation	0.044110462514716064	12	1	0.394751257758815	PBANKA_0811100
Tafenoquine - effect of drug on gene transcription	0.04611117675131926	92	5	0.4057783554116095	PBANKA_1216800, PBANKA_0404300, PBANKA_1212600, PBANKA_0510600, PBANKA_0409400
Differentially expressed genes in 3D7 strain treated for 5h with melatonin	0.04818805834546602	93	5	0.4126873582181069	PBANKA_1101500, PBANKA_0312700, PBANKA_0832500, PBANKA_0929300, PBANKA_1030800
SRP independent translocation of GPI anchored proteins	0.05117849142523956	13	1	0.4126873582181069	PBANKA_0310000
Subcellular location of exported proteins	0.05117849142523956	13	1	0.4126873582181069	PBANKA_0310000
Double strand break repair and homologous recombination	0.05117849142523956	13	1	0.4126873582181069	PBANKA_1034100
Structure of the nuclear pore	0.05117849142523956	13	1	0.4126873582181069	PBANKA_1430900
Proteins targeted by the thioredoxin superfamily enzymes	0.05282241053654513	50	3	0.4126873582181069	PBANKA_1034400, PBANKA_1030100, PBANKA_1235600
Possible trafficking pathways for STEVOR and RIFIN proteins	0.056196941822523216	2	0	0.4126873582181069	
cAMP-mediated regulation of NPP activity in gametocytes	0.056196941822523216	2	0	0.4126873582181069	
Rosette formation between normal and infected RBC	0.056196941822523216	2	0	0.4126873582181069	
Redox-based regulation of S-nitrosylation by Trx1	0.056196941822523216	2	0	0.4126873582181069	
Stage-specific involvement of cyclic nucleotide signaling components and calcium-dependent protein kinases	0.058620363383253826	14	1	0.4126873582181069	PBANKA_0615200
Histone lysine methylation	0.058620363383253826	14	1	0.4126873582181069	PBANKA_1030400
O-GlcNAcylated proteins identified by mass spectrometry	0.058620363383253826	14	1	0.4126873582181069	PBANKA_1030100
Folate biosynthesis	0.058620363383253826	14	1	0.4126873582181069	PBANKA_1441100
Mitochondrial dynamics: overview of molecular mechanisms	0.058620363383253826	14	1	0.4126873582181069	PBANKA_1030100
Nuclear export of tRNA	0.06640943235545604	15	1	0.4388192867251859	PBANKA_1414400
Oxidative protein folding in the endoplasmic reticulum	0.06640943235545604	15	1	0.4388192867251859	PBANKA_0820300
Fumarate metabolism	0.06640943235545604	15	1	0.4388192867251859	PBANKA_1340400
Centrosome proteins	0.06688149343194238	101	5	0.4388192867251859	PBANKA_1216800, PBANKA_0933600, PBANKA_1018300, PBANKA_0708100, PBANKA_0405600
Regulated splicing through controlling the assembly of the core splicing machinery	0.074520244631881	16	1	0.4388192867251859	PBANKA_0716500
Karyopherin/exportin-mediated nuclear export pathways	0.074520244631881	16	1	0.4388192867251859	PBANKA_1414400
Sugar nucleotide biosynthesis pathways	0.074520244631881	16	1	0.4388192867251859	PBANKA_1210900
Chaperone-mediated modulation of nucleosome-histone interactions	0.074520244631881	16	1	0.4388192867251859	PBANKA_0203000
The different RNA export pathways	0.074520244631881	16	1	0.4388192867251859	PBANKA_1414400
Chaperones associate with proteins in various iRBC locations	0.08163243051680746	36	2	0.4388192867251859	PBANKA_1034400, PBANKA_0310000
Parasite proteins co-exported  with Hsp70x	0.08163243051680746	36	2	0.4388192867251859	PBANKA_1034400, PBANKA_0310000
Proteins of erythrocyte-derived microvesicles	0.08292849336062558	17	1	0.4388192867251859	PBANKA_1030100
Phosphatidylinositol 3-kinase (PI3K)-controlled endocytosis of host cell hemoglobin	0.08310971339492157	3	0	0.4388192867251859	
Model for the regulation of commitment and gametocytogenesis	0.08310971339492157	3	0	0.4388192867251859	
The basal complex	0.08310971339492157	3	0	0.4388192867251859	
Different kinesins with different roles	0.08310971339492157	3	0	0.4388192867251859	
Function of Sortilin in the regulated secretory pathway	0.08310971339492157	3	0	0.4388192867251859	
Models for selenocysteine incorporation	0.08310971339492157	3	0	0.4388192867251859	
Structure of telomere and sub-telomeric regions	0.08310971339492157	3	0	0.4388192867251859	
Mechanisms of artemisinin activation and resistance	0.08310971339492157	3	0	0.4388192867251859	
Model of reaction schemes showing possible ADP-ribosylation and deacetylation outcomes of the sirtuin reaction	0.08310971339492157	3	0	0.4388192867251859	
eIF5A Functions globally in translation elongation and termination	0.08310971339492157	3	0	0.4388192867251859	
Activation of eiF5A	0.08310971339492157	3	0	0.4388192867251859	
14-3-3 protein	0.08310971339492157	3	0	0.4388192867251859	
Riboflavin metabolism and Flavin-containing proteins	0.08310971339492157	3	0	0.4388192867251859	
Proteins with conserved phosphatase related superfamily domains	0.08706670154551999	37	2	0.45516057837657975	PBANKA_1441100, PBANKA_0604700
Translocon of exported proteins (PTEX)	0.09161097486347614	18	1	0.4671568777828355	PBANKA_0310000
Potential PKG substrates in  schizonts	0.09837940556578373	39	2	0.4671568777828355	PBANKA_0307800, PBANKA_0414500
Transfer of polyubiquinated proteins to the 26S proteasome	0.09837940556578373	39	2	0.4671568777828355	PBANKA_0517700, PBANKA_1359600
Exported proteins of Plasmodium falciparum with confirmed location	0.10054554629835022	19	1	0.4671568777828355	PBANKA_0310000
Proguanil - effect of drug on gene transcription	0.10424866318465176	40	2	0.4671568777828355	PBANKA_0933600, PBANKA_0310000
Shikimate biosynthesis	0.10926148945771297	4	0	0.4671568777828355	
Epigenetic regulation of specific genes and gene families in Plasmodium falciparum	0.10926148945771297	4	0	0.4671568777828355	
Transcription in prokaryotes	0.10926148945771297	4	0	0.4671568777828355	
Exported parasite proteins associated with Maurer�s clefts	0.10926148945771297	4	0	0.4671568777828355	
Involvement of GTP-binding proteins and ribosomes in amino acid shortage	0.10926148945771297	4	0	0.4671568777828355	
Roles of rhoptry neck proteins during invasion	0.10926148945771297	4	0	0.4671568777828355	
Role of the PfRh5/PfRipr/CyRPA Complex during Invasion of Erythrocytes	0.10926148945771297	4	0	0.4671568777828355	
Assembly of the retromer complex	0.10926148945771297	4	0	0.4671568777828355	
Lysine metabolism	0.10926148945771297	4	0	0.4671568777828355	
CLAG3 contribution to increased permeability of infected erythrocytes	0.10926148945771297	4	0	0.4671568777828355	
Evolution of parasite resistance to antifolates	0.10926148945771297	4	0	0.4671568777828355	
The Clp complex is a master regulator of apicoplast biology	0.10926148945771297	4	0	0.4671568777828355	
MSP1 as an anchor in merozoite invasion	0.10926148945771297	4	0	0.4671568777828355	
Genes of the apicoplast genome	0.10926148945771297	4	0	0.4671568777828355	
KEOPS complex	0.10926148945771297	4	0	0.4671568777828355	
Oxysterol binding protein (OSBP) structure and function	0.10926148945771297	4	0	0.4671568777828355	
Cooperation and competition of splicing factors in regulated splicing	0.10971108493384774	20	1	0.4671568777828355	PBANKA_0716500
Proteins containing histone post translational modification-binding modules	0.10971108493384774	20	1	0.4671568777828355	PBANKA_0203000
Genes up and down regulated in response to ER stress	0.1125186302975435	90	4	0.47527869437682374	PBANKA_1441100, PBANKA_1402400, PBANKA_0310000, PBANKA_0312700
Co-translational capturing of selected ribosomal proteins by their dedicated chaperones	0.11908744883750266	21	1	0.4912357264546985	PBANKA_1216800
m6A Effectors: Writers, Erasers, and Readers	0.11908744883750266	21	1	0.4912357264546985	PBANKA_1030800
Distinct H3/H4 � histone chaperone complexes are marked by specific H3/H4 posttranslational modifications	0.11908744883750266	21	1	0.4912357264546985	PBANKA_0203000
Proteins released from infected cells during rupture	0.1273399241400306	176	7	0.4969567380255011	PBANKA_1441100, PBANKA_1235600, PBANKA_0203000, PBANKA_1030100, PBANKA_0827500, PBANKA_1210900, PBANKA_1034400
Candidate genes related to virulence	0.12865543884152797	22	1	0.4969567380255011	PBANKA_1216800
Methionine and Polyamine metabolism	0.12865543884152797	22	1	0.4969567380255011	PBANKA_1235600
Apicoplast Kae1api-protein interactions	0.13467360633006664	5	0	0.4969567380255011	
Location and function of the six HSP70s in infected erythrocytes	0.13467360633006664	5	0	0.4969567380255011	
Modification of the wobble position uridine (U34) in Lys, Glu, Gln, Leu and Arg tRNAs	0.13467360633006664	5	0	0.4969567380255011	
Plasmodium falciparum R2TP complex	0.13467360633006664	5	0	0.4969567380255011	
Pathways of peptide export from the mitochondrion	0.13467360633006664	5	0	0.4969567380255011	
Apicoplast DNA	0.13467360633006664	5	0	0.4969567380255011	
Heterochromatin structure of the telomeric and subtelomeric regions	0.13467360633006664	5	0	0.4969567380255011	
Roles of carbon metabolism proteins in the apicoplast	0.13467360633006664	5	0	0.4969567380255011	
Proteins associated with detergent-resistant membrane (DRM)	0.13467360633006664	5	0	0.4969567380255011	
Compartmentalization of transcription site in the nucleus	0.13467360633006664	5	0	0.4969567380255011	
Role of perforin 1 in merozoite egress	0.13467360633006664	5	0	0.4969567380255011	
Proteolytic processing of the MSP1/6/7 complex	0.13467360633006664	5	0	0.4969567380255011	
Functions of the ER�Mitochondrial contacts	0.13553365582513666	45	2	0.4969567380255011	PBANKA_0414500, PBANKA_1030100
Repetitive sequences in�P. falciparum�proteins	0.1383967619985843	23	1	0.4970985737092008	PBANKA_1216800
Pellicle formation in the merozoite	0.1383967619985843	23	1	0.4970985737092008	PBANKA_1441100
Hemoglobin digestion	0.1383967619985843	23	1	0.4970985737092008	PBANKA_1034400
Effects of small metabolites on gene expression	0.14829399621784978	24	1	0.5005744351243807	PBANKA_1030400
Genomic landscape of splicing regulators	0.15833055619905168	25	1	0.5005744351243807	PBANKA_0716500
Histone chaperones	0.15833055619905168	25	1	0.5005744351243807	PBANKA_0203000
Clp proteases and the translocon of exported proteins	0.15936680723766894	6	0	0.5005744351243807	
Bulk mRNA transport through the nuclear pore	0.15936680723766894	6	0	0.5005744351243807	
Model for merozoite invasion	0.15936680723766894	6	0	0.5005744351243807	
a-Linolenic acid (ALA) pathway	0.15936680723766894	6	0	0.5005744351243807	
Putative role of PfSR25 in activation of Ca2+ signaling and stress survival	0.15936680723766894	6	0	0.5005744351243807	
tRNA-wybutosine biosynthesis	0.15936680723766894	6	0	0.5005744351243807	
ER protein VAP establish membrane contact sites	0.15936680723766894	6	0	0.5005744351243807	
Catabolism of polyphosphates	0.15936680723766894	6	0	0.5005744351243807	
Subunit composition of the yeast OST (oligosaccharyltransferase) complex	0.15936680723766894	6	0	0.5005744351243807	
Histone modification cross-talk	0.15936680723766894	6	0	0.5005744351243807	
Model for assembly of a signaling complex during RBC invasion	0.15936680723766894	6	0	0.5005744351243807	
Myristoylated proteins	0.1625950281034636	49	2	0.5005744351243807	PBANKA_1034400, PBANKA_0615200
tRNA modifications	0.1696017909205254	50	2	0.5005744351243807	PBANKA_1012400, PBANKA_1356200
Artemisinin - effect of drug on gene transcription	0.1756843516074894	77	3	0.5005744351243807	PBANKA_0933600, PBANKA_1300500, PBANKA_1216800
Base excision repair of AP sites	0.1787593001873775	27	1	0.5005744351243807	PBANKA_1034100
Plasmodium falciparum histone acetylation and methylation	0.18336125860806096	7	0	0.5005744351243807	
DNA�protein crosslink repair	0.18336125860806096	7	0	0.5005744351243807	
Sterol transport and phosphatidylinositol 4-phosphate transfer between endoplasmic reticulum and Golgi membranes	0.18336125860806096	7	0	0.5005744351243807	
Components of translation machinery in apicoplast	0.18336125860806096	7	0	0.5005744351243807	
Protein-lysine methylation and demethylation	0.18336125860806096	7	0	0.5005744351243807	
Clp chaperones and proteases	0.18336125860806096	7	0	0.5005744351243807	
Various features of C/D and H/ACA snoRNAs	0.18336125860806096	7	0	0.5005744351243807	
DNA binding proteins with AP2 domain(s)	0.18336125860806096	7	0	0.5005744351243807	
The Atg8 and Atg12 ubiquitin-like conjugation systems	0.18336125860806096	7	0	0.5005744351243807	
U5 snRNP biogenesis	0.18336125860806096	7	0	0.5005744351243807	
The SNARE conformational cycle during vesicle docking and fusion	0.18336125860806096	7	0	0.5005744351243807	
Possible regulators of gene regulation during commitment and gametocytogenesis	0.18336125860806096	7	0	0.5005744351243807	
tRNA thiolation	0.18336125860806096	7	0	0.5005744351243807	
Cellular responses to endoplasmic reticulum stress	0.18336125860806096	7	0	0.5005744351243807	
Reduced Kelch13 activity leads to ART resistance	0.18336125860806096	7	0	0.5005744351243807	
Phenylalanine and Tyrosine metabolism	0.18336125860806096	7	0	0.5005744351243807	
SR (Ser�Arg) proteins	0.18336125860806096	7	0	0.5005744351243807	
Possible reasons for increased permeability of host cell membrane	0.18336125860806096	7	0	0.5005744351243807	
Regulation microneme secretion and invasion	0.18336125860806096	7	0	0.5005744351243807	
Endocytosis	0.18336125860806096	7	0	0.5005744351243807	
Acetyl-CoA production in the mitochondrion	0.18336125860806096	7	0	0.5005744351243807	
Exported proteins containing a PHIST domain	0.18336125860806096	7	0	0.5005744351243807	
Apicoplast putative membrane proteins	0.18336125860806096	7	0	0.5005744351243807	
Mechanism of resistance to artemisinin	0.18336125860806096	7	0	0.5005744351243807	
Potential Farnesylated proteins	0.18359207172480718	106	4	0.5005744351243807	PBANKA_1034400, PBANKA_1224100, PBANKA_1340400, PBANKA_1012400
HP1 enrichment values	0.18912220754578968	28	1	0.5005744351243807	PBANKA_1216800
Quality control in mRNA biogenesis	0.18912220754578968	28	1	0.5005744351243807	PBANKA_0811100
Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	0.18912220754578968	28	1	0.5005744351243807	PBANKA_1216800
The 35 most abundant proteins	0.19956582734413264	29	1	0.5005744351243807	PBANKA_1030100
Enzymes involved in vthe metabolism of various sugar derivatives	0.19956582734413264	29	1	0.5005744351243807	PBANKA_1210900
Signaling machinery in malaria parasites	0.19956582734413264	29	1	0.5005744351243807	PBANKA_0615200
Parasite proteins that form complexes with natural products	0.19956582734413264	29	1	0.5005744351243807	PBANKA_1235600
Posttranslational translocation in eukaryotes	0.19956582734413264	29	1	0.5005744351243807	PBANKA_0820300
Post-translational modifications identified of histones	0.20667656601726325	8	0	0.5005744351243807	
Model for signal processing in the ER	0.20667656601726325	8	0	0.5005744351243807	
Asparagine and Aspartate metabolism	0.20667656601726325	8	0	0.5005744351243807	
Chromatin dynamics controlling temporal regulation of var gene expression	0.20667656601726325	8	0	0.5005744351243807	
Events in merozoite egress	0.20667656601726325	8	0	0.5005744351243807	
MSPDBL and MSP1 mediate merozoite invasion	0.20667656601726325	8	0	0.5005744351243807	
Reactions and transformations of the superoxide anion	0.20667656601726325	8	0	0.5005744351243807	
Lysine Methylation Regulators	0.20667656601726325	8	0	0.5005744351243807	
mRNA 5' capping	0.20667656601726325	8	0	0.5005744351243807	
Nucleosome occupancy and gametocyte commitment	0.20667656601726325	8	0	0.5005744351243807	
Lipoic acid metabolism	0.20667656601726325	8	0	0.5005744351243807	
Postulated artemisinins� modes of action	0.20667656601726325	8	0	0.5005744351243807	
Eukaryotic fMet/N-End Rule Pathway	0.20667656601726325	8	0	0.5005744351243807	
The chaperone cycle of Hsp90	0.20667656601726325	8	0	0.5005744351243807	
Lysine 2-hydroxyisobutyrylation and crotonylation	0.20667656601726325	8	0	0.5005744351243807	
Histone post-translational modifications landscape	0.20667656601726325	8	0	0.5005744351243807	
Ribosome recycling and mRNA surveillance	0.20667656601726325	8	0	0.5005744351243807	
Mannose and Fructose metabolism	0.20667656601726325	8	0	0.5005744351243807	
CoA biosynthesis	0.20667656601726325	8	0	0.5005744351243807	
Glyoxalase metabolism	0.20667656601726325	8	0	0.5005744351243807	
mRNA degradation	0.21007728803012327	30	1	0.5041854912722958	PBANKA_0811100
Chromatin modifying proteins	0.21007728803012327	30	1	0.5041854912722958	PBANKA_0312700
Classical COPI-mediated vesicular transport	0.22064437439652473	31	1	0.5204329509556206	PBANKA_1414700
Regulators of alternative splicing	0.22064437439652473	31	1	0.5204329509556206	PBANKA_0716500
Sulfenylated proteins  identified  by  mass  spectrometry	0.2241682593528811	114	4	0.5204329509556206	PBANKA_1034400, PBANKA_1441100, PBANKA_1336500, PBANKA_0827500
Properties of�proteins exported to erythrocyte	0.22933178962687184	9	0	0.5204329509556206	
Parasite invasion ligands and human erythrocyte receptors	0.22933178962687184	9	0	0.5204329509556206	
Post-translational modification �SUMOylation	0.22933178962687184	9	0	0.5204329509556206	
Protein N-terminal acetylation	0.22933178962687184	9	0	0.5204329509556206	
Translation in mitochondrion	0.22933178962687184	9	0	0.5204329509556206	
Mitochondria copper homeostasis	0.22933178962687184	9	0	0.5204329509556206	
Telomerase and some telomerase associated proteins	0.22933178962687184	9	0	0.5204329509556206	
Glycine and Serine metabolism	0.22933178962687184	9	0	0.5204329509556206	
Interactions of HDAC1 with other proteins	0.23125550120165106	32	1	0.5204329509556206	PBANKA_1441100
Gene expression affected by lumefantrine	0.24005069913166188	117	4	0.5204329509556206	PBANKA_0824400, PBANKA_1034400, PBANKA_0615200, PBANKA_0310000
LysoPC depletion induces gene activity	0.2418996876352102	33	1	0.5204329509556206	PBANKA_1235600
Prenylated proteins	0.2418996876352102	33	1	0.5204329509556206	PBANKA_0908500
Components of exosomes	0.2418996876352102	33	1	0.5204329509556206	PBANKA_1030100
Proteins interacting with histone deacetylase	0.2418996876352102	33	1	0.5204329509556206	PBANKA_1441100
Organization of chaperone pathways in the cytosol	0.2418996876352102	33	1	0.5204329509556206	PBANKA_0310000
Exportome - compiled from various sources	0.24760826907685995	89	3	0.5204329509556206	PBANKA_0310000, PBANKA_1030100, PBANKA_1414700
Aminosugars metabolism	0.2513454592683395	10	0	0.5204329509556206	
Lsm proteins and RNA processing	0.2513454592683395	10	0	0.5204329509556206	
Protein acetylation and lysine aminoacylation	0.2513454592683395	10	0	0.5204329509556206	
Packaging of remodeled GPI-anchored proteins into COPII coated transport vesicles	0.2513454592683395	10	0	0.5204329509556206	
K13-mediated resistance to artemisinins in mutated K13	0.2513454592683395	10	0	0.5204329509556206	
Parasitophorous vacuole proteins	0.2513454592683395	10	0	0.5204329509556206	
Dolichol metabolism	0.2513454592683395	10	0	0.5204329509556206	
RNA polymerase I transcribes rRNA	0.2513454592683395	10	0	0.5204329509556206	
Structure and organization of centromeric chromatin	0.2513454592683395	10	0	0.5204329509556206	
Mechanisms of crosstalk between autophagy and double-strand break repair	0.2513454592683395	10	0	0.5204329509556206	
Topogenesis of the Rieske FeS protein	0.2513454592683395	10	0	0.5204329509556206	
Proteins of the parasitophorous vacuolar membrane	0.2513454592683395	10	0	0.5204329509556206	
Crosstalk  between  metabolic  intermediates,  epigenetic  regulators  and transcriptional  induction	0.2513454592683395	10	0	0.5204329509556206	
Ubiquinone metabolism	0.2513454592683395	10	0	0.5204329509556206	
Model for metabolic compartmentalization of PI biosynthesis	0.2513454592683395	10	0	0.5204329509556206	
Merozoite egress	0.2513454592683395	10	0	0.5204329509556206	
Transcriptomic response of dihydroartemisinin (DHA) treated K1 strain trophozoites	0.2591043233395163	62	2	0.5255634707795986	PBANKA_1441100, PBANKA_1224100
Chloramphenicol - effect of drug on gene transcription	0.2591043233395163	62	2	0.5255634707795986	PBANKA_0604700, PBANKA_0405600
4-hydroxynonenal-modified proteins	0.2727355890030493	11	0	0.5255634707795986	
Arginine and proline metabolism	0.2727355890030493	11	0	0.5255634707795986	
Mitochondrial disulfide relay system	0.2727355890030493	11	0	0.5255634707795986	
Binding modes of methyllysine readers	0.2727355890030493	11	0	0.5255634707795986	
Nuclear architecture	0.2727355890030493	11	0	0.5255634707795986	
Rab GTPase regulation of membrane identity	0.2727355890030493	11	0	0.5255634707795986	
Essential plastid biogenesis genes	0.2727355890030493	11	0	0.5255634707795986	
Cotranslational cleavage of N-terminal methionine residues and N-terminal acetylation	0.2727355890030493	11	0	0.5255634707795986	
CUL3 ubiquitin ligase is regulated by a calcium-dependent co-adaptor	0.2727355890030493	11	0	0.5255634707795986	
One-carbon enzyme systems serine hydroxymethyltransferase and glycine-cleavage complex	0.2727355890030493	11	0	0.5255634707795986	
Intracellular distribution of phosphoinositides and small GTPases involved in membrane traffic	0.2727355890030493	11	0	0.5255634707795986	
Assisted assembly of Sm-class snRNPs	0.2727355890030493	11	0	0.5255634707795986	
A Model for Hrd1-Mediated Retrotranslocation in ERAD	0.2727355890030493	11	0	0.5255634707795986	
