Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Quality control in mRNA biogenesis	0.01440738447045209	28	1	0.19337397562711606	PBANKA_0811100
Protein kinase coding genes	0.016275701889601257	82	2	0.19337397562711606	PBANKA_1362100, PBANKA_0616700
mRNA degradation	0.01644556918893425	30	1	0.19337397562711606	PBANKA_0811100
Regulators of alternative splicing	0.017508409696555982	31	1	0.19337397562711606	PBANKA_0716500
Phosphatidylinositol 3-kinase (PI3K)-controlled endocytosis of host cell hemoglobin	0.0197748128716545	3	0	0.19337397562711606	
Model of reaction schemes showing possible ADP-ribosylation and deacetylation outcomes of the sirtuin reaction	0.0197748128716545	3	0	0.19337397562711606	
Mechanisms of artemisinin activation and resistance	0.0197748128716545	3	0	0.19337397562711606	
Structure of telomere and sub-telomeric regions	0.0197748128716545	3	0	0.19337397562711606	
The basal complex	0.0197748128716545	3	0	0.19337397562711606	
Different kinesins with different roles	0.0197748128716545	3	0	0.19337397562711606	
Models for selenocysteine incorporation	0.0197748128716545	3	0	0.19337397562711606	
14-3-3 protein	0.0197748128716545	3	0	0.19337397562711606	
eIF5A Functions globally in translation elongation and termination	0.0197748128716545	3	0	0.19337397562711606	
Activation of eiF5A	0.0197748128716545	3	0	0.19337397562711606	
Model for the regulation of commitment and gametocytogenesis	0.0197748128716545	3	0	0.19337397562711606	
Function of Sortilin in the regulated secretory pathway	0.0197748128716545	3	0	0.19337397562711606	
Riboflavin metabolism and Flavin-containing proteins	0.0197748128716545	3	0	0.19337397562711606	
Tafenoquine - effect of drug on gene transcription	0.022087905824026532	92	2	0.19337397562711606	PBANKA_1024600, PBANKA_1212600
Peptides with confirmed methylated lysine residues	0.025529808600577963	259	4	0.19337397562711606	PBANKA_0716500, PBANKA_1422100, PBANKA_1212600, PBANKA_0811100
Lysine metabolism	0.026282331944253	4	0	0.19337397562711606	
Evolution of parasite resistance to antifolates	0.026282331944253	4	0	0.19337397562711606	
The Clp complex is a master regulator of apicoplast biology	0.026282331944253	4	0	0.19337397562711606	
Oxysterol binding protein (OSBP) structure and function	0.026282331944253	4	0	0.19337397562711606	
KEOPS complex	0.026282331944253	4	0	0.19337397562711606	
Shikimate biosynthesis	0.026282331944253	4	0	0.19337397562711606	
Hypothetical routes to sexual differentiation	0.026282331944253	4	0	0.19337397562711606	
Exported parasite proteins associated with Maurer�s clefts	0.026282331944253	4	0	0.19337397562711606	
Role of the PfRh5/PfRipr/CyRPA Complex during Invasion of Erythrocytes	0.026282331944253	4	0	0.19337397562711606	
Involvement of GTP-binding proteins and ribosomes in amino acid shortage	0.026282331944253	4	0	0.19337397562711606	
Genes of the apicoplast genome	0.026282331944253	4	0	0.19337397562711606	
Assembly of the retromer complex	0.026282331944253	4	0	0.19337397562711606	
MSP1 as an anchor in merozoite invasion	0.026282331944253	4	0	0.19337397562711606	
Epigenetic regulation of specific genes and gene families in Plasmodium falciparum	0.026282331944253	4	0	0.19337397562711606	
Roles of rhoptry neck proteins during invasion	0.026282331944253	4	0	0.19337397562711606	
Transcription in prokaryotes	0.026282331944253	4	0	0.19337397562711606	
CLAG3 contribution to increased permeability of infected erythrocytes	0.026282331944253	4	0	0.19337397562711606	
RNA Degradation Factors	0.029647184728518683	41	1	0.19337397562711606	PBANKA_0811100
Transporters of the mitochondrial and apicoplast membranes	0.031003724313256598	42	1	0.19337397562711606	PBANKA_1422100
Encoded proteins that could be constituents of P-bodies	0.031003724313256598	42	1	0.19337397562711606	PBANKA_0716500
Roles of carbon metabolism proteins in the apicoplast	0.032748238730015755	5	0	0.19337397562711606	
Location and function of the six HSP70s in infected erythrocytes	0.032748238730015755	5	0	0.19337397562711606	
Heterochromatin structure of the telomeric and subtelomeric regions	0.032748238730015755	5	0	0.19337397562711606	
Role of perforin 1 in merozoite egress	0.032748238730015755	5	0	0.19337397562711606	
Plasmodium falciparum R2TP complex	0.032748238730015755	5	0	0.19337397562711606	
Pathways of peptide export from the mitochondrion	0.032748238730015755	5	0	0.19337397562711606	
Proteins associated with detergent-resistant membrane (DRM)	0.032748238730015755	5	0	0.19337397562711606	
Apicoplast Kae1api-protein interactions	0.032748238730015755	5	0	0.19337397562711606	
Hemozoin and b-hematin formation	0.032748238730015755	5	0	0.19337397562711606	
Proteolytic processing of the MSP1/6/7 complex	0.032748238730015755	5	0	0.19337397562711606	
Modification of the wobble position uridine (U34) in Lys, Glu, Gln, Leu and Arg tRNAs	0.032748238730015755	5	0	0.19337397562711606	
Apicoplast DNA	0.032748238730015755	5	0	0.19337397562711606	
Compartmentalization of transcription site in the nucleus	0.032748238730015755	5	0	0.19337397562711606	
Molecular motor prototypes	0.03814623411475471	47	1	0.19337397562711606	PBANKA_0805900
Subunit composition of the yeast OST (oligosaccharyltransferase) complex	0.03917278918560274	6	0	0.19337397562711606	
ER protein VAP establish membrane contact sites	0.03917278918560274	6	0	0.19337397562711606	
Model for merozoite invasion	0.03917278918560274	6	0	0.19337397562711606	
Histone modification cross-talk	0.03917278918560274	6	0	0.19337397562711606	
Clp proteases and the translocon of exported proteins	0.03917278918560274	6	0	0.19337397562711606	
Putative role of PfSR25 in activation of Ca2+ signaling and stress survival	0.03917278918560274	6	0	0.19337397562711606	
Catabolism of polyphosphates	0.03917278918560274	6	0	0.19337397562711606	
tRNA-wybutosine biosynthesis	0.03917278918560274	6	0	0.19337397562711606	
a-Linolenic acid (ALA) pathway	0.03917278918560274	6	0	0.19337397562711606	
Model for assembly of a signaling complex during RBC invasion	0.03917278918560274	6	0	0.19337397562711606	
Bulk mRNA transport through the nuclear pore	0.03917278918560274	6	0	0.19337397562711606	
Putative organization of the kinetochore	0.04270699849950055	50	1	0.19337397562711606	PBANKA_0616700
Endocytosis	0.04555623767836181	7	0	0.19337397562711606	
Plasmodium falciparum histone acetylation and methylation	0.04555623767836181	7	0	0.19337397562711606	
The HSP70 chaperone cycle	0.04555623767836181	7	0	0.19337397562711606	
SR (Ser�Arg) proteins	0.04555623767836181	7	0	0.19337397562711606	
Mechanism of resistance to artemisinin	0.04555623767836181	7	0	0.19337397562711606	
Possible reasons for increased permeability of host cell membrane	0.04555623767836181	7	0	0.19337397562711606	
Various features of C/D and H/ACA snoRNAs	0.04555623767836181	7	0	0.19337397562711606	
Phenylalanine and Tyrosine metabolism	0.04555623767836181	7	0	0.19337397562711606	
Acetyl-CoA production in the mitochondrion	0.04555623767836181	7	0	0.19337397562711606	
tRNA thiolation	0.04555623767836181	7	0	0.19337397562711606	
Cellular responses to endoplasmic reticulum stress	0.04555623767836181	7	0	0.19337397562711606	
Reduced Kelch13 activity leads to ART resistance	0.04555623767836181	7	0	0.19337397562711606	
Regulation microneme secretion and invasion	0.04555623767836181	7	0	0.19337397562711606	
The SNARE conformational cycle during vesicle docking and fusion	0.04555623767836181	7	0	0.19337397562711606	
DNA�protein crosslink repair	0.04555623767836181	7	0	0.19337397562711606	
Clp chaperones and proteases	0.04555623767836181	7	0	0.19337397562711606	
Protein-lysine methylation and demethylation	0.04555623767836181	7	0	0.19337397562711606	
U5 snRNP biogenesis	0.04555623767836181	7	0	0.19337397562711606	
Components of translation machinery in apicoplast	0.04555623767836181	7	0	0.19337397562711606	
The Atg8 and Atg12 ubiquitin-like conjugation systems	0.04555623767836181	7	0	0.19337397562711606	
Sterol transport and phosphatidylinositol 4-phosphate transfer between endoplasmic reticulum and Golgi membranes	0.04555623767836181	7	0	0.19337397562711606	
DNA binding proteins with AP2 domain(s)	0.04555623767836181	7	0	0.19337397562711606	
Possible regulators of gene regulation during commitment and gametocytogenesis	0.04555623767836181	7	0	0.19337397562711606	
Exported proteins containing a PHIST domain	0.04555623767836181	7	0	0.19337397562711606	
Apicoplast putative membrane proteins	0.04555623767836181	7	0	0.19337397562711606	
Lysine Methylation Regulators	0.05189883713542376	8	0	0.19337397562711606	
Model for signal processing in the ER	0.05189883713542376	8	0	0.19337397562711606	
mRNA 5' capping	0.05189883713542376	8	0	0.19337397562711606	
Nucleosome occupancy and gametocyte commitment	0.05189883713542376	8	0	0.19337397562711606	
Lipoic acid metabolism	0.05189883713542376	8	0	0.19337397562711606	
Events in merozoite egress	0.05189883713542376	8	0	0.19337397562711606	
Mannose and Fructose metabolism	0.05189883713542376	8	0	0.19337397562711606	
Eukaryotic fMet/N-End Rule Pathway	0.05189883713542376	8	0	0.19337397562711606	
Ribosome recycling and mRNA surveillance	0.05189883713542376	8	0	0.19337397562711606	
The chaperone cycle of Hsp90	0.05189883713542376	8	0	0.19337397562711606	
CoA biosynthesis	0.05189883713542376	8	0	0.19337397562711606	
MSPDBL and MSP1 mediate merozoite invasion	0.05189883713542376	8	0	0.19337397562711606	
Reactions and transformations of the superoxide anion	0.05189883713542376	8	0	0.19337397562711606	
Glyoxalase metabolism	0.05189883713542376	8	0	0.19337397562711606	
Post-translational modification of elongation factor 2	0.05189883713542376	8	0	0.19337397562711606	
Histone post-translational modifications landscape	0.05189883713542376	8	0	0.19337397562711606	
Asparagine and Aspartate metabolism	0.05189883713542376	8	0	0.19337397562711606	
Chromatin dynamics controlling temporal regulation of var gene expression	0.05189883713542376	8	0	0.19337397562711606	
Post-translational modifications identified of histones	0.05189883713542376	8	0	0.19337397562711606	
Lysine 2-hydroxyisobutyrylation and crotonylation	0.05189883713542376	8	0	0.19337397562711606	
Regulation of spindle microtubule dynamics	0.052405328596460854	56	1	0.19337397562711606	PBANKA_0805900
Protein N-terminal acetylation	0.058200838950788314	9	0	0.19337397562711606	
Properties of�proteins exported to erythrocyte	0.058200838950788314	9	0	0.19337397562711606	
HSP90-R2TP complex (yeast)	0.058200838950788314	9	0	0.19337397562711606	
Telomerase and some telomerase associated proteins	0.058200838950788314	9	0	0.19337397562711606	
Parasite invasion ligands and human erythrocyte receptors	0.058200838950788314	9	0	0.19337397562711606	
Enhanced protein degradation by branched ubiquitin chains	0.058200838950788314	9	0	0.19337397562711606	
Mitochondria copper homeostasis	0.058200838950788314	9	0	0.19337397562711606	
Post-translational modification �SUMOylation	0.058200838950788314	9	0	0.19337397562711606	
Nitrogen metabolism	0.058200838950788314	9	0	0.19337397562711606	
Glycine and Serine metabolism	0.058200838950788314	9	0	0.19337397562711606	
Translation in mitochondrion	0.058200838950788314	9	0	0.19337397562711606	
Subcellular localization of exported proteins	0.058200838950788314	9	0	0.19337397562711606	
The molecular machinery of translational regulation	0.05927012077158844	60	1	0.19337397562711606	PBANKA_0811100
Kinetochores power chromosome movements in mitosis	0.061033358219149125	61	1	0.19337397562711606	PBANKA_0805900
Merozoite egress	0.0644624930665414	10	0	0.19337397562711606	
Structure and organization of centromeric chromatin	0.0644624930665414	10	0	0.19337397562711606	
Packaging of remodeled GPI-anchored proteins into COPII coated transport vesicles	0.0644624930665414	10	0	0.19337397562711606	
Mechanisms of crosstalk between autophagy and double-strand break repair	0.0644624930665414	10	0	0.19337397562711606	
RNA polymerase I transcribes rRNA	0.0644624930665414	10	0	0.19337397562711606	
Ubiquinone metabolism	0.0644624930665414	10	0	0.19337397562711606	
Aminosugars metabolism	0.0644624930665414	10	0	0.19337397562711606	
Model for metabolic compartmentalization of PI biosynthesis	0.0644624930665414	10	0	0.19337397562711606	
Proteins of the parasitophorous vacuolar membrane	0.0644624930665414	10	0	0.19337397562711606	
Interactions between modified host cell membrane and endothelial cell	0.0644624930665414	10	0	0.19337397562711606	
Dolichol metabolism	0.0644624930665414	10	0	0.19337397562711606	
Pentose Phosphate Cycle	0.0644624930665414	10	0	0.19337397562711606	
K13-mediated resistance to artemisinins in mutated K13	0.0644624930665414	10	0	0.19337397562711606	
Lsm proteins and RNA processing	0.0644624930665414	10	0	0.19337397562711606	
Parasitophorous vacuole proteins	0.0644624930665414	10	0	0.19337397562711606	
Topogenesis of the Rieske FeS protein	0.0644624930665414	10	0	0.19337397562711606	
Protein acetylation and lysine aminoacylation	0.0644624930665414	10	0	0.19337397562711606	
Crosstalk  between  metabolic  intermediates,  epigenetic  regulators  and transcriptional  induction	0.0644624930665414	10	0	0.19337397562711606	
Helicases	0.07011674722914885	66	1	0.19337397562711606	PBANKA_0811100
A Model for Hrd1-Mediated Retrotranslocation in ERAD	0.07068404790915417	11	0	0.19337397562711606	
Binding modes of methyllysine readers	0.07068404790915417	11	0	0.19337397562711606	
Intracellular distribution of phosphoinositides and small GTPases involved in membrane traffic	0.07068404790915417	11	0	0.19337397562711606	
Acetylation recognition by the bromodomain and other modules	0.07068404790915417	11	0	0.19337397562711606	
Rab GTPase regulation of membrane identity	0.07068404790915417	11	0	0.19337397562711606	
Nuclear architecture	0.07068404790915417	11	0	0.19337397562711606	
Working model for recognition of a stalled ribosome by recycling factors	0.07068404790915417	11	0	0.19337397562711606	
Arginine and proline metabolism	0.07068404790915417	11	0	0.19337397562711606	
CUL3 ubiquitin ligase is regulated by a calcium-dependent co-adaptor	0.07068404790915417	11	0	0.19337397562711606	
Schematic representations of protein S-acyl transferases and their salient protein features	0.07068404790915417	11	0	0.19337397562711606	
One-carbon enzyme systems serine hydroxymethyltransferase and glycine-cleavage complex	0.07068404790915417	11	0	0.19337397562711606	
Essential plastid biogenesis genes	0.07068404790915417	11	0	0.19337397562711606	
Assisted assembly of Sm-class snRNPs	0.07068404790915417	11	0	0.19337397562711606	
4-hydroxynonenal-modified proteins	0.07068404790915417	11	0	0.19337397562711606	
Anaphase promoting complex ubiquitin-ligase	0.07068404790915417	11	0	0.19337397562711606	
The structure of translation initiation factor 3	0.07068404790915417	11	0	0.19337397562711606	
Molecular targets of and mechanisms of resistance to major antimalarial drugs	0.07068404790915417	11	0	0.19337397562711606	
Cotranslational cleavage of N-terminal methionine residues and N-terminal acetylation	0.07068404790915417	11	0	0.19337397562711606	
Mitochondrial disulfide relay system	0.07068404790915417	11	0	0.19337397562711606	
Recruitment of the exosome to mRNA substrates	0.07686575047971766	12	0	0.19863581109054085	
Lipolytic enzymes	0.07686575047971766	12	0	0.19863581109054085	
Domain structures of the putative lipolytic enzymes	0.07686575047971766	12	0	0.19863581109054085	
Microtubule organization at the centrosome	0.07686575047971766	12	0	0.19863581109054085	
gp78 and Hrd1-mediated ERAD pathways	0.07686575047971766	12	0	0.19863581109054085	
Selenocysteine biosynthesis	0.07686575047971766	12	0	0.19863581109054085	
Localization and function of some Hsp40s and Hsp70s	0.07686575047971766	12	0	0.19863581109054085	
Mechanisms controlling RBP binding	0.07686575047971766	12	0	0.19863581109054085	
N-glycans biosynthesis	0.07686575047971766	12	0	0.19863581109054085	
Crosstalk between ubiquitination and SUMOylation	0.08300784627075408	13	0	0.19863581109054085	
Methyl lysine binding modules readers	0.08300784627075408	13	0	0.19863581109054085	
SRP independent translocation of GPI anchored proteins	0.08300784627075408	13	0	0.19863581109054085	
G6PD deficiency and malaria	0.08300784627075408	13	0	0.19863581109054085	
Pathway for Cytoplasmic 40S maturation	0.08300784627075408	13	0	0.19863581109054085	
Terpenoid metabolism	0.08300784627075408	13	0	0.19863581109054085	
Schematic depiction of pseudouridylation	0.08300784627075408	13	0	0.19863581109054085	
Subcellular location of exported proteins	0.08300784627075408	13	0	0.19863581109054085	
Double strand break repair and homologous recombination	0.08300784627075408	13	0	0.19863581109054085	
Genetic polymorphisms in target-genes at and surrounding resistant linked mutations	0.08300784627075408	13	0	0.19863581109054085	
Synergism between SWR1, HIRA and FACT in histone variant exchange	0.08300784627075408	13	0	0.19863581109054085	
Model for translesion DNA synthesis	0.08300784627075408	13	0	0.19863581109054085	
Thiamine metabolism	0.08300784627075408	13	0	0.19863581109054085	
Model of PfEMP1 export	0.08300784627075408	13	0	0.19863581109054085	
V-ATPase	0.08300784627075408	13	0	0.19863581109054085	
Protein phosphorylation	0.08352914899607167	73	1	0.19863581109054085	PBANKA_0616700
Histone lysine methylation	0.08911057937217959	14	0	0.19863581109054085	
The neddylation pathway	0.08911057937217959	14	0	0.19863581109054085	
Folate biosynthesis	0.08911057937217959	14	0	0.19863581109054085	
Organellar distribution of translation components	0.08911057937217959	14	0	0.19863581109054085	
The signalling pathway involved in gametogenesis	0.08911057937217959	14	0	0.19863581109054085	
Pathway for Cytoplasmic 60S maturation	0.08911057937217959	14	0	0.19863581109054085	
O-GlcNAcylated proteins identified by mass spectrometry	0.08911057937217959	14	0	0.19863581109054085	
Merozoite protein complexes	0.08911057937217959	14	0	0.19863581109054085	
Mitochondrial dynamics: overview of molecular mechanisms	0.08911057937217959	14	0	0.19863581109054085	
Stage-specific involvement of cyclic nucleotide signaling components and calcium-dependent protein kinases	0.08911057937217959	14	0	0.19863581109054085	
Domains of merozoite surface proteins	0.08911057937217959	14	0	0.19863581109054085	
Generation of polyphosphates	0.08911057937217959	14	0	0.19863581109054085	
Cdc48 is the driving force in the targeting of the ER-substrates to the 26S-proteasome	0.08911057937217959	14	0	0.19863581109054085	
Localization of the key cyclic nucleotide signaling components in a merozoite prior to egress	0.08911057937217959	14	0	0.19863581109054085	
GARP (Golgi-associated retrograde protein) complex	0.08911057937217959	14	0	0.19863581109054085	
Fatty acids elongation in the mitochondrion	0.08911057937217959	14	0	0.19863581109054085	
Isoprenoids metabolism	0.08911057937217959	14	0	0.19863581109054085	
Leucine, Isoleucine and Valine metabolism	0.08911057937217959	14	0	0.19863581109054085	
PfWDR genes	0.08950496574907829	76	1	0.19863581109054085	PBANKA_0929300
ADP ribosylation factors functions in the secretory pathway	0.0951741923725582	15	0	0.19863581109054085	
Vacuole biogenesis and ER proliferation	0.0951741923725582	15	0	0.19863581109054085	
Nuclear export of tRNA	0.0951741923725582	15	0	0.19863581109054085	
Palmitoylation�depalmitoylation cycle in eukaryotic cells	0.0951741923725582	15	0	0.19863581109054085	
O-fucosylation and C-mannosylation on TSR repeats	0.0951741923725582	15	0	0.19863581109054085	
Endosome maturation	0.0951741923725582	15	0	0.19863581109054085	
Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	0.0951741923725582	15	0	0.19863581109054085	
Glutamate metabolism	0.0951741923725582	15	0	0.19863581109054085	
Proteins with ER retention sequences	0.0951741923725582	15	0	0.19863581109054085	
Fumarate metabolism	0.0951741923725582	15	0	0.19863581109054085	
Rab proteins	0.0951741923725582	15	0	0.19863581109054085	
Signal recognition particle-mediated targeting of membrane and secretory proteins	0.0951741923725582	15	0	0.19863581109054085	
ER Sec61 translocon	0.0951741923725582	15	0	0.19863581109054085	
Processing or protecting stalled replication forks	0.0951741923725582	15	0	0.19863581109054085	
Oxidative protein folding in the endoplasmic reticulum	0.0951741923725582	15	0	0.19863581109054085	
Transporters of the plasma membrane	0.0956070238607829	79	1	0.19863581109054085	PBANKA_1422100
Models for ubiquitin (Ub) chain amputation and trimming in regulating proteasomal degradation	0.10119892648362783	16	0	0.19863581109054085	
Mitochondrial copper transport pathways to cytochrome C oxidase subunits	0.10119892648362783	16	0	0.19863581109054085	
The different RNA export pathways	0.10119892648362783	16	0	0.19863581109054085	
Chaperone-mediated modulation of nucleosome-histone interactions	0.10119892648362783	16	0	0.19863581109054085	
Activation of the calcium and cAMP signaling pathway by melatonin	0.10119892648362783	16	0	0.19863581109054085	
Pre-ribosomal particles along the 40S assembly pathway	0.10119892648362783	16	0	0.19863581109054085	
Autophagy and autophagy-related pathways	0.10119892648362783	16	0	0.19863581109054085	
Karyopherin/exportin-mediated nuclear export pathways	0.10119892648362783	16	0	0.19863581109054085	
Biogenesis and functions of mitochondrial cytochrome c	0.10119892648362783	16	0	0.19863581109054085	
Mechanism of ubiquitin transfer	0.10119892648362783	16	0	0.19863581109054085	
Glycosylphosphatidylinositol (GPI) anchor biosynthesis	0.10119892648362783	16	0	0.19863581109054085	
Maturation of cytosolic and nuclear Fe-S proteins	0.10119892648362783	16	0	0.19863581109054085	
Protein arginine methylation	0.10119892648362783	16	0	0.19863581109054085	
Domains binding modified histones	0.10119892648362783	16	0	0.19863581109054085	
Sugar nucleotide biosynthesis pathways	0.10119892648362783	16	0	0.19863581109054085	
Mechanisms of alternative splicing regulation at the transition from exon definition to intron definition	0.10119892648362783	16	0	0.19863581109054085	
Chloroquine - effect of drug on gene transcription	0.10603906106663541	84	1	0.20730289861417128	PBANKA_1024600
WD40 proteins as platforms of protein-protein interactions	0.10718502144255448	17	0	0.20730289861417128	
Molecular markers of resistance to antimalarial drugs	0.10718502144255448	17	0	0.20730289861417128	
Proteins of erythrocyte-derived microvesicles	0.10718502144255448	17	0	0.20730289861417128	
Translocon of exported proteins (PTEX)	0.11313271559901261	18	0	0.2133359779867095	
Porphyrin metabolism	0.11313271559901261	18	0	0.2133359779867095	
Import and export through the nuclear pore	0.11313271559901261	18	0	0.2133359779867095	
Potential models for lncRNA-TARE at chromosome ends	0.11313271559901261	18	0	0.2133359779867095	
SNAREs are traffic-specific	0.11313271559901261	18	0	0.2133359779867095	
A model for UbpX function in the regulation of PCNA deubiquitylation	0.11313271559901261	18	0	0.2133359779867095	
Molecular model of vesicle exocytosis	0.11313271559901261	18	0	0.2133359779867095	
Phosphatidylcholine metabolism	0.11904224588692325	19	0	0.2174889475027525	
Sphingomyelin and ceramide metabolism	0.11904224588692325	19	0	0.2174889475027525	
CCR4 � NOT complex	0.11904224588692325	19	0	0.2174889475027525	
Mitochondrial antioxidant system	0.11904224588692325	19	0	0.2174889475027525	
cGMP/PKG signalling in egress/invasion	0.11904224588692325	19	0	0.2174889475027525	
Exported proteins of Plasmodium falciparum with confirmed location	0.11904224588692325	19	0	0.2174889475027525	
Cleavage and polyadenylation of pre-mRNA	0.11904224588692325	19	0	0.2174889475027525	
Ribosome-associated protein quality control	0.11904224588692325	19	0	0.2174889475027525	
Temporal regulation of Rap	0.11904224588692325	19	0	0.2174889475027525	
Exon definition during the earliest stages of spliceosome assembly	0.12491384779439707	20	0	0.2213238645484619	
Proteins containing histone post translational modification-binding modules	0.12491384779439707	20	0	0.2213238645484619	
Merozoite ligands, their erythrocyte receptors	0.12491384779439707	20	0	0.2213238645484619	
Enzyme involved in protein degradation within mitochondria	0.12491384779439707	20	0	0.2213238645484619	
Pyruvate metabolism	0.12491384779439707	20	0	0.2213238645484619	
Shared themes in cascading Rab and phosphoinositide pathways	0.12491384779439707	20	0	0.2213238645484619	
Phosphoinositides and membrane traffic	0.12491384779439707	20	0	0.2213238645484619	
Calcium � calmodulin activation of protein kinases	0.12491384779439707	20	0	0.2213238645484619	
Glutathione metabolism	0.12491384779439707	20	0	0.2213238645484619	
Differentially expressed genes in 3D7 strain treated for 5h with melatonin	0.1255557486143628	93	1	0.22171717481064737	PBANKA_0929300
Distinct H3/H4 � histone chaperone complexes are marked by specific H3/H4 posttranslational modifications	0.1307477554774622	21	0	0.22560397023562104	
Co-translational capturing of selected ribosomal proteins by their dedicated chaperones	0.1307477554774622	21	0	0.22560397023562104	
Resistance to experimental antimalarials generated in vitro	0.1307477554774622	21	0	0.22560397023562104	
Rab and other proteins involved in intracellular traffic	0.1307477554774622	21	0	0.22560397023562104	
Histone mRNA degradation	0.1307477554774622	21	0	0.22560397023562104	
m6A Effectors: Writers, Erasers, and Readers	0.1307477554774622	21	0	0.22560397023562104	
Biosynthesis of Fe-S proteins in the apicoplast	0.1307477554774622	21	0	0.22560397023562104	
Isocryptolepine - effect of drug on gene transcription	0.13449916278283103	97	1	0.2267149008679145	PBANKA_1110500
In vitro resistance to experimental antimalarials	0.13654420165908487	22	0	0.2267149008679145	
Replication in prokaryotes � a model for apicoplast and mitochondion DNA replication	0.13654420165908487	22	0	0.2267149008679145	
SCF (Skp1-Cullin-F-box) ubiquitin-ligase	0.13654420165908487	22	0	0.2267149008679145	
Protein factors in pre-mRNA 3�-end processing	0.13654420165908487	22	0	0.2267149008679145	
Plasmodium falciparum chromatin landscape	0.13654420165908487	22	0	0.2267149008679145	
Methionine and Polyamine metabolism	0.13654420165908487	22	0	0.2267149008679145	
Chromatin-associated protein degradation (CAD) regulated by CDC48�Ufd1�Npl4	0.13654420165908487	22	0	0.2267149008679145	
Pyrimidine metabolism	0.13654420165908487	22	0	0.2267149008679145	
Candidate genes related to virulence	0.13654420165908487	22	0	0.2267149008679145	
Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle	0.13654420165908487	22	0	0.2267149008679145	
Classical COPII-mediated vesicular transport	0.13654420165908487	22	0	0.2267149008679145	
Genes for which expression is significantly correlated with coma score	0.13809056896666738	304	3	0.2285637003586219	PBANKA_0805900, PBANKA_0905100, PBANKA_1110500
Mechanisms of alternative splicing by splice site selection	0.1423034177103174	23	0	0.22907379436294997	
Pyridoxal phosphate (Vitamin B6) metabolism	0.1423034177103174	23	0	0.22907379436294997	
RNA polymerase III transcribes tRNA and 5S rRNA	0.1423034177103174	23	0	0.22907379436294997	
Architecture, Dynamic Formation, and Processing of the 90S Pre-ribosome during Early Ribosome Biogenesis	0.1423034177103174	23	0	0.22907379436294997	
