id	new_id	description	old_id	gene_name	transcript_length
73	PBANKA_0102600	NdP2 protein, putative	PBANKA_010260	CEP76	5565
74	PBANKA_0102700	conserved Plasmodium protein, unknown function	PBANKA_010270		1119
75	PBANKA_0102800	conserved Plasmodium protein, unknown function	PBANKA_010280		4530
76	PBANKA_0102900	AP2 domain transcription factor, putative	PBANKA_010290	SIP2	5787
77	PBANKA_0103000	ribosomal protein L41, mitochondrial, putative	PBANKA_010300		282
78	PBANKA_0103100	conserved Plasmodium protein, unknown function	PBANKA_010310		1992
79	PBANKA_0103200	conserved protein, unknown function	PBANKA_010320		582
80	PBANKA_0103300	GYF domain-containing protein, putative	PBANKA_010330		6102
81	PBANKA_0103400	glyoxalase I-like protein GILP, putative	PBANKA_010340	GILP	954
82	PBANKA_0103500	RAP protein, putative	PBANKA_010360;PBANKA_010350		4305
83	PBANKA_0103700	conserved Plasmodium protein, unknown function	PBANKA_010370		285
84	PBANKA_0103800	50S ribosomal protein L24, putative	PBANKA_010380		585
85	PBANKA_0103900	KH domain-containing protein, putative	PBANKA_010390		2208
86	PBANKA_0104000	acylphosphatase, putative	PBANKA_010400		636
87	PBANKA_0104100	serine/threonine protein kinase ARK1, putative	PBANKA_010410	ARK1	1062
88	PBANKA_0104200	calcium-binding protein, putative	PBANKA_010420		474
89	PBANKA_0104300	cyclin dependent kinase binding protein, putative	PBANKA_010430		1791
90	PBANKA_0104400	nucleoside diphosphate kinase, putative	PBANKA_010440		4974
91	PBANKA_0104500	conserved Plasmodium protein, unknown function	PBANKA_010450		780
92	PBANKA_0104600	DNA repair protein RAD50, putative	PBANKA_010460	RAD50	5598
93	PBANKA_0104700	elongation of fatty acids protein, putative	PBANKA_010470	ELO-B	867
94	PBANKA_0104800	protein KIC1, putative	PBANKA_010480		3003
95	PBANKA_0104900	RNA-binding protein, putative	PBANKA_010490		1701
96	PBANKA_0105000	ubiquitin-conjugating enzyme E2 PEX4, putative	PBANKA_010500	PEX4	450
97	PBANKA_0105100	conserved Plasmodium protein, unknown function	PBANKA_010510		375
98	PBANKA_0105200	polypyrimidine tract-binding protein, putative	PBANKA_010520	PTB	1965
99	PBANKA_0105300	conserved Plasmodium protein, unknown function	PBANKA_010530		5337
100	PBANKA_0105400	coatomer alpha subunit, putative	PBANKA_010540		4152
101	PBANKA_0105500	glutaredoxin-like protein	PBANKA_010550	GLP2	651
102	PBANKA_0105600	translation initiation factor IF-2, putative	PBANKA_010560		2802
103	PBANKA_0105700	MYND-type zinc finger protein, putative	PBANKA_010570		1407
104	PBANKA_0105800	RING zinc finger protein, putative	PBANKA_010580		1164
105	PBANKA_0105900	uroporphyrinogen III decarboxylase	PBANKA_010590	UROD	1260
106	PBANKA_0106000	G-protein associated signal transduction protein, putative	PBANKA_010600		1902
107	PBANKA_0106100	4-hydroxybenzoate polyprenyltransferase, putative	PBANKA_010610	COQ2	1383
108	PBANKA_0106200	spindle assembly abnormal protein 6	PBANKA_010620	SAS6	2259
109	PBANKA_0106300	conserved Plasmodium protein, unknown function	PBANKA_010630		6528
110	PBANKA_0106400	GTP-binding protein, putative	PBANKA_010640		1671
111	PBANKA_0106500	conserved Plasmodium protein, unknown function	PBANKA_010650		2364
112	PBANKA_0106600	diphthine methyltransferase, putative	PBANKA_010660	DPH7	1056
113	PBANKA_0106700	conserved Plasmodium protein, unknown function	PBANKA_010670		3534
114	PBANKA_0106800	conserved Plasmodium protein, unknown function	PBANKA_010680		477
115	PBANKA_0106900	heptatricopeptide repeat-containing protein, putative	PBANKA_010690		3252
116	PBANKA_0106950	sorting assembly machinery 50 kDa subunit, putative	PBANKA_010695	SAM50	1365
117	PBANKA_0107000	respiratory chain complex 4 associated protein 4, putative	PBANKA_010700		321
118	PBANKA_0107100	proteasome subunit alpha type-2, putative	PBANKA_010710		708
119	PBANKA_0107200	conserved Plasmodium protein, unknown function	PBANKA_010720		690
120	PBANKA_0107300	T-complex protein 1 subunit zeta, putative	PBANKA_010730	CCT6	1632
121	PBANKA_0107400	ornithine aminotransferase, putative	PBANKA_010740	OAT	1245
122	PBANKA_0107500	conserved Plasmodium protein, unknown function	PBANKA_010750		2616
123	PBANKA_0107600	nucleoporin NUP637, putative	PBANKA_010760	NUP637	16323
124	PBANKA_0107700	zinc transporter ZIP1	PBANKA_010770	ZIP1	1035
125	PBANKA_0107800	citrate synthase-like protein, putative	PBANKA_010780		1344
126	PBANKA_0107900	conserved Plasmodium protein, unknown function	PBANKA_010790		2322
127	PBANKA_0108000	mitochondrial cardiolipin synthase, putative	PBANKA_010800	CLS	1809
128	PBANKA_0108100	conserved Plasmodium protein, unknown function	PBANKA_010810		3330
129	PBANKA_0108200	protein KIC6, putative	PBANKA_010820		4734
130	PBANKA_0108300	palmitoyltransferase DHHC2	PBANKA_010830	DHHC2	855
131	PBANKA_0108400	conserved Plasmodium protein, unknown function	PBANKA_010840		5244
132	PBANKA_0108500	ribosomal protein L19, mitochondrial, putative	PBANKA_010850		954
133	PBANKA_0108600	pre-mRNA-splicing factor SLU7, putative	PBANKA_010860	SLU7	1290
134	PBANKA_0108700	RNA-binding protein 25, putative	PBANKA_010870	RBM25	2040
135	PBANKA_0108800	histone H3, putative	PBANKA_010880	H3	411
136	PBANKA_0108900	peptidyl-tRNA hydrolase PTRHD1, putative	PBANKA_010890		372
137	PBANKA_0109000	conserved Plasmodium protein, unknown function	PBANKA_010900		258
138	PBANKA_0109100	transketolase, putative	PBANKA_010910	TK	2013
139	PBANKA_0109200	transcription elongation factor SPT5, putative	PBANKA_010920	SPT5	3525
140	PBANKA_0109300	SNARE associated Golgi protein, putative	PBANKA_010930		870
141	PBANKA_0109400	succinate dehydrogenase subunit 3, putative	PBANKA_010940	SDH3	267
142	PBANKA_0109500	AP2 domain transcription factor, putative	PBANKA_010950	ApiAP2	840
143	PBANKA_0109600	ATP synthase-associated protein, putative	PBANKA_010960		843
144	PBANKA_0109700	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative	PBANKA_010970	SWIB	2409
145	PBANKA_0109800	conserved protein, unknown function	PBANKA_010980		1113
146	PBANKA_0109900	basal complex transmembrane protein 1, putative	PBANKA_010990	BTP1	1854
147	PBANKA_0110000	60S ribosomal protein L39, putative	PBANKA_011000		156
148	PBANKA_0110100	conserved Plasmodium protein, unknown function	PBANKA_011010		7836
149	PBANKA_0110200	lsm12, putative	PBANKA_011020		537
150	PBANKA_0110300	conserved Plasmodium protein, unknown function	PBANKA_011030		171
151	PBANKA_0110400	eukaryotic translation initiation factor 3 subunit L, putative	PBANKA_011040	EIF3L	1707
152	PBANKA_0110500	leucine-rich repeat protein	PBANKA_011050	LRR6	6105
153	PBANKA_0110600	transmembrane protein 234, putative	PBANKA_011060	TMEM234	354
154	PBANKA_0110700	conserved Plasmodium protein, unknown function	PBANKA_011070		705
155	PBANKA_0110800	conserved Plasmodium protein, unknown function	PBANKA_011080		360
156	PBANKA_0110900	cytoplasmic tRNA 2-thiolation protein 1, putative	PBANKA_011090	NCS6	1218
157	PBANKA_0111000	6-cysteine protein P12, putative	PBANKA_011100	P12	1005
158	PBANKA_0111100	6-cysteine protein P12p, putative	PBANKA_011110	P12p	984
159	PBANKA_0111200	nucleolar GTP-binding protein 1, putative	PBANKA_011120	NOG1	2034
160	PBANKA_0111300	conserved Plasmodium protein, unknown function	PBANKA_011130;PBANKA_0111300		345
161	PBANKA_0111300	conserved Plasmodium protein, unknown function	PBANKA_011130;PBANKA_0111300		354
162	PBANKA_0111400	conserved Plasmodium protein, unknown function	PBANKA_011140		231
163	PBANKA_0111500	conserved Plasmodium protein, unknown function	PBANKA_011150		192
164	PBANKA_0111600	rhoptry protein ROP14, putative	PBANKA_011160	ROP14	3267
165	PBANKA_0111700	50S ribosomal protein L18, apicoplast, putative	PBANKA_011170		639
166	PBANKA_0111800	AP-3 complex subunit beta, putative	PBANKA_011180		3003
167	PBANKA_0111900	conserved Plasmodium protein, unknown function	PBANKA_011190		2169
168	PBANKA_0112000	syntaxin-binding protein, putative	PBANKA_011200		1947
169	PBANKA_0112100	AP2 domain transcription factor, putative	PBANKA_011210	ApiAP2	7737
170	PBANKA_0112200	myosin E	PBANKA_011220	MyoE	5877
171	PBANKA_0112300	filamin domain-containing protein, putative	PBANKA_011230		2538
172	PBANKA_0112400	cytosolic Fe-S cluster assembly factor NAR1, putative	PBANKA_011240	NAR1	2436
173	PBANKA_0112500	major facilitator superfamily-related transporter, putative	PBANKA_011250	MFR1	1800
174	PBANKA_0112600	fam-b protein	PBANKA_011260		1329
175	PBANKA_0112621	PIR protein, pseudogene	PBANKA_124595		1470
176	PBANKA_0112641	fam-b protein	PBANKA_124600		693
177	PBANKA_0112661	fam-a protein	PBANKA_0112661;PBANKA_124610		798
178	PBANKA_0112661	fam-a protein	PBANKA_0112661;PBANKA_124610		489
179	PBANKA_0112681	PIR protein	PBANKA_110080		891
180	PBANKA_0112701	fam-a protein	PBANKA_120005		876
181	PBANKA_0112721	fam-a protein, pseudogene	NA		843
182	PBANKA_0200400	Plasmodium exported protein, unknown function	PBANKA_020040		981
183	PBANKA_0200500	PIR protein, pseudogene	PBANKA_020050		789
184	PBANKA_0200600	fam-a protein	PBANKA_020060		849
185	PBANKA_0200650	fam-a protein	PBANKA_020065		816
186	PBANKA_0200670	PIR protein, pseudogene	PBANKA_020067		894
187	PBANKA_0200700	fam-b protein	PBANKA_020070		741
188	PBANKA_0200751	PIR protein, pseudogene	PBANKA_000560		963
189	PBANKA_0201000	fam-b protein	PBANKA_020100		777
190	PBANKA_0201051	conserved rodent malaria protein, unknown function	PBANKA_000490;PBANKA_000370		5301
191	PBANKA_0201100	PIR protein, pseudogene	PBANKA_020110		891
192	PBANKA_0201200	fam-a protein, pseudogene	PBANKA_020120		672
193	PBANKA_0201250	PIR protein, pseudogene	PBANKA_020125		639
194	PBANKA_0201300	lysophospholipase, putative	PBANKA_020130		1371
195	PBANKA_0201340	fam-c protein	PBANKA_020134		330
196	PBANKA_0201360	PIR protein, pseudogene	PBANKA_020136		1473
197	PBANKA_0201400	fam-a protein, pseudogene	PBANKA_020140		858
198	PBANKA_0201450	PIR protein, pseudogene	PBANKA_020145		633
199	PBANKA_0201500	Plasmodium exported protein, unknown function	PBANKA_020150		687
200	PBANKA_0201600	early transcribed membrane protein	PBANKA_020160	ETRAMP	534
201	PBANKA_0201700	PIMMS1 protein	PBANKA_020170	PIMMS1	258
202	PBANKA_0201800	TatD-like deoxyribonuclease	PBANKA_020180	TatD	1323
203	PBANKA_0201900	conserved protein, unknown function	PBANKA_020190		240
204	PBANKA_0202000	eukaryotic translation initiation factor 4E, putative	PBANKA_020200		1632
205	PBANKA_0202100	conserved protein, unknown function	PBANKA_020210		351
206	PBANKA_0202200	conserved Plasmodium protein, unknown function	PBANKA_020220		804
207	PBANKA_0202300	UMP-CMP kinase, putative	PBANKA_020230		1086
208	PBANKA_0202400	conserved Plasmodium protein, unknown function	PBANKA_020240		1623
209	PBANKA_0202500	P-loop containing nucleoside triphosphate hydrolase, putative	PBANKA_020250		3132
210	PBANKA_0202600	conserved protein, unknown function	PBANKA_020260		294
211	PBANKA_0202700	kinesin-8B	PBANKA_020270		4383
212	PBANKA_0202800	adenylate kinase-like protein 1, putative	PBANKA_020280	AKLP1	606
213	PBANKA_0202900	transcription initiation factor TFIIB, putative	PBANKA_020290		1104
214	PBANKA_0203000	chromatin assembly factor 1 subunit C, putative	PBANKA_020300	CAF1C	1341
215	PBANKA_0203100	phosphatidylinositol-4-phosphate 5-kinase, putative	PBANKA_020310	PIP5K	3726
216	PBANKA_0203200	bromodomain protein 3, putative	PBANKA_020320	BDP3	3342
217	PBANKA_0203300	DNA-directed RNA polymerase II subunit RPB9, putative	PBANKA_020330	RPB9	681
218	PBANKA_0203400	FAD-linked sulfhydryl oxidase ERV1, putative	PBANKA_020340	ERV1	420
219	PBANKA_0203500	selenocysteine-specific elongation factor, putative	PBANKA_020350	SELB	2100
220	PBANKA_0203600	conserved Plasmodium protein, unknown function	PBANKA_020360		690
221	PBANKA_0203650	respiratory chain complex 2 associated protein 3, putative	PBANKA_020370;PBANKA_020365		501
222	PBANKA_0203750	phosphatidate cytidylyltransferase, putative	PBANKA_020370;PBANKA_020375		1758
223	PBANKA_0203800	phenylalanine--tRNA ligase alpha subunit, putative	PBANKA_020380		1668
224	PBANKA_0203900	rRNA biogenesis protein RRP36, putative	PBANKA_020390	RRP36	567
225	PBANKA_0204000	cold-shock protein, putative	PBANKA_020400	CoSP	435
226	PBANKA_0204100	N-acetyltransferase, GNAT family, putative	PBANKA_020410		459
227	PBANKA_0204200	tubulin-specific chaperone a, putative	PBANKA_020420		498
228	PBANKA_0204300	elongation of fatty acids protein, putative, pseudogene	PBANKA_020430	ELO-C	969
229	PBANKA_0204400	cleavage and polyadenylation specificity factor subunit 5, putative	PBANKA_020440		726
230	PBANKA_0204500	LCCL domain-containing protein, putative	PBANKA_020450	CCp5	3150
231	PBANKA_0204600	photosensitized INA-labeled protein PHIL1	PBANKA_020460	PHIL1	669
232	PBANKA_0204700	mitochondrial carrier protein, putative	PBANKA_020470		1083
233	PBANKA_0204800	secreted ookinete protein, putative	PBANKA_020480	PSOP24	2763
234	PBANKA_0204900	DnaJ domain-containing protein, putative	PBANKA_020490		906
235	PBANKA_0205000	ELM2 domain-containing protein, putative	PBANKA_020500		519
236	PBANKA_0205100	mitochondrial carrier protein, putative	PBANKA_020510		1005
237	PBANKA_0205200	conserved Plasmodium protein, unknown function	PBANKA_020520		5655
238	PBANKA_0205300	conserved protein, unknown function	PBANKA_020530		1989
239	PBANKA_0205400	proteasome subunit beta type-3, putative	PBANKA_020540		657
240	PBANKA_0205500	conserved Plasmodium protein, unknown function	PBANKA_020550		780
241	PBANKA_0205600	double-strand break repair protein MRE11	PBANKA_020560	MRE11	3153
242	PBANKA_0205700	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative	PBANKA_020570	Pb51	1263
243	PBANKA_0205800	eukaryotic translation initiation factor 2-alpha kinase 2	PBANKA_020580	eIK2	8175
244	PBANKA_0205900	Niemann-Pick type C1-related protein, putative	PBANKA_020590	NCR1	4074
245	PBANKA_0206000	ATP synthase-associated protein, putative	PBANKA_020600		510
246	PBANKA_0206100	CCR4 domain-containing protein 3, putative	PBANKA_020610	CCR4-3	1017
247	PBANKA_0206200	conserved protein, unknown function	PBANKA_020620		1434
248	PBANKA_0206300	centrin-1, putative	PBANKA_020630	CEN1	507
249	PBANKA_0206400	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	PBANKA_020640	IspD	1929
250	PBANKA_0206500	ras-related protein Rab-5C, putative	PBANKA_020650	RAB5c	645
251	PBANKA_0206600	asparagine and aspartate rich protein 2, putative	PBANKA_020660		3558
252	PBANKA_0206700	conserved Plasmodium protein, unknown function	PBANKA_020670		819
253	PBANKA_0206800	conserved Plasmodium protein, unknown function	PBANKA_020680		3939
254	PBANKA_0206900	pre-rRNA-processing protein TSR2, putative	PBANKA_020690		480
255	PBANKA_0207000	calcium-transporting ATPase, putative	PBANKA_020700	SERCA	3363
256	PBANKA_0207100	EF hand domain-containing protein, putative	PBANKA_020710		636
257	PBANKA_0207200	V-type proton ATPase subunit C, putative	PBANKA_020720		1152
258	PBANKA_0207300	conserved protein, unknown function	PBANKA_020730		2094
259	PBANKA_0207400	3'-5' exonuclease, putative	PBANKA_020740		1536
260	PBANKA_0207500	cyclin-dependent kinases regulatory subunit, putative	PBANKA_020750		2466
261	PBANKA_0207600	asparagine-rich antigen, putative	PBANKA_020760		6558
262	PBANKA_0207700	FtsJ-like methyltransferase, putative	PBANKA_020770		3540
263	PBANKA_0207800	conserved protein, unknown function	PBANKA_020780		990
264	PBANKA_0207900	conserved Plasmodium protein, unknown function	PBANKA_020790		423
265	PBANKA_0208000	cyclase-associated protein	PBANKA_020800	C-CAP	486
266	PBANKA_0208100	heptatricopeptide repeat and RAP domain-containing protein, putative	PBANKA_020810		1671
267	PBANKA_0208200	conserved Plasmodium protein, unknown function	PBANKA_020820		429
268	PBANKA_0208300	novel putative transporter 1	PBANKA_020830	NPT1	1521
269	PBANKA_0208400	major facilitator superfamily-related transporter, putative	PBANKA_020840	MFR2	1875
270	PBANKA_0208500	conserved Plasmodium protein, unknown function	PBANKA_020850		3798
271	PBANKA_0208600	conserved protein, unknown function	PBANKA_020860		822
272	PBANKA_0208700	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, putative	PBANKA_020870	LytB	1479
273	PBANKA_0208800	ubiquitin carboxyl-terminal hydrolase 1, putative	PBANKA_020880	UBP1	8838
274	PBANKA_0208900	StAR-related lipid transfer protein, putative	PBANKA_020890		1326
275	PBANKA_0209000	protein E140, putative	PBANKA_020900		2457
276	PBANKA_0209100	thrombospondin-related sporozoite protein	PBANKA_020910	TRSP	480
277	PBANKA_0209200	parasite-infected erythrocyte surface protein	PBANKA_020920	PIESP15	1518
278	PBANKA_0209300	actin-related protein ARP1	PBANKA_020930	ARP1	1140
279	PBANKA_0209400	L-seryl-tRNA(Sec) kinase, putative	PBANKA_020940	PSTK	1623
280	PBANKA_0209500	ATP-dependent DNA/RNA helicase PSH1, putative	PBANKA_020950	PSH1	3177
281	PBANKA_0209600	conserved Plasmodium protein, unknown function	PBANKA_020960		4680
282	PBANKA_0209700	zinc-carboxypeptidase, putative	PBANKA_020970		4614
283	PBANKA_0209800	conserved protein, unknown function	PBANKA_020980		2229
284	PBANKA_0209900	nucleoside transporter 4, putative	PBANKA_020990	NT4	1290
285	PBANKA_0210000	vacuolar protein sorting-associated protein 51, putative	PBANKA_021000	VPS51	3891
286	PBANKA_0210100	vacuolar protein sorting-associated protein VTA1, putative	PBANKA_021010		846
287	PBANKA_0210200	aspartate--tRNA ligase, putative	PBANKA_021020		2061
288	PBANKA_0210300	seipin domain-containing protein, putative	PBANKA_021030		1485
289	PBANKA_0210400	DNA mismatch repair protein PMS1, putative	PBANKA_021040	PMS1	3231
290	PBANKA_0210500	conserved Plasmodium protein, unknown function	PBANKA_021050		12615
291	PBANKA_0210600	ubiquitin carboxyl-terminal hydrolase, putative	PBANKA_021060		8367
292	PBANKA_0210700	conserved Plasmodium protein, unknown function	PBANKA_021070		2040
293	PBANKA_0210800	conserved Plasmodium protein, unknown function	PBANKA_021080		513
294	PBANKA_0210900	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2, putative	PBANKA_021090	OST2	318
295	PBANKA_0211000	mitochondrial import inner membrane translocase subunit TIM50, putative	PBANKA_021100	TIM50	1317
296	PBANKA_0211100	vacuolar protein sorting-associated protein 53, putative	PBANKA_021110	VPS53	2820
297	PBANKA_0211200	conserved protein, unknown function	PBANKA_021120		2652
298	PBANKA_0211300	cysteine desulfurase IscS, putative	PBANKA_021130	NFS1	1626
299	PBANKA_0211400	DNA (cytosine-5)-methyltransferase, putative	PBANKA_021140	DNMT	2322
300	PBANKA_0211500	proteasome subunit alpha type-5, putative	PBANKA_021150		771
301	PBANKA_0211600	mTERF domain-containing protein, putative	PBANKA_021160		2163
302	PBANKA_0211700	conserved Plasmodium protein, unknown function	PBANKA_021170		3069
303	PBANKA_0211800	conserved Plasmodium protein, unknown function	PBANKA_021180		2466
304	PBANKA_0211900	cation transporting ATPase, putative	PBANKA_021190		4953
305	PBANKA_0212000	conserved Plasmodium protein, unknown function	PBANKA_021200		5409
306	PBANKA_0212100	eukaryotic translation initiation factor 2 subunit alpha	PBANKA_021210	eIF2alpha	981
307	PBANKA_0212200	anaphase-promoting complex subunit 1, putative	PBANKA_021220		15459
308	PBANKA_0212300	actin-like protein, putative	PBANKA_021230	ALP3	1620
309	PBANKA_0212400	conserved protein, unknown function	PBANKA_021240		711
310	PBANKA_0212500	SDH5 domain-containing protein, putative	PBANKA_021250		381
311	PBANKA_0212600	conserved Plasmodium protein, unknown function	PBANKA_021260		396
312	PBANKA_0212700	RING zinc finger protein, putative	PBANKA_021270		5286
313	PBANKA_0212800	alpha/beta hydrolase, putative	PBANKA_021280		1686
314	PBANKA_0212800	alpha/beta hydrolase, putative	PBANKA_021280		933
315	PBANKA_0212900	conserved Plasmodium protein, unknown function	PBANKA_021290		1194
316	PBANKA_0213000	RNA-binding protein, putative	PBANKA_021300		1581
317	PBANKA_0213100	signal recognition particle subunit SRP9, putative	PBANKA_021310	SRP9	303
318	PBANKA_0213200	allantoicase, putative	PBANKA_021320		7044
319	PBANKA_0213300	1-cys peroxiredoxin, putative	PBANKA_021330	AOP	738
320	PBANKA_0213400	60S ribosomal export protein NMD3, putative	PBANKA_021340	NMD3	2472
321	PBANKA_0213500	ribosome biogenesis protein BRX1, putative	PBANKA_021350		1050
322	PBANKA_0213600	N6-adenosine-methyltransferase MT-A70, putative	PBANKA_021360	MT-A70	2436
323	PBANKA_0213700	COX assembly mitochondrial protein, putative	PBANKA_021370	CMC1	492
324	PBANKA_0213800	zinc finger protein, putative	PBANKA_021380		2319
325	PBANKA_0213900	dynein light chain, putative	PBANKA_021390		294
326	PBANKA_0214000	dynein heavy chain, putative	PBANKA_021400		15177
327	PBANKA_0214100	conserved protein, unknown function	PBANKA_021410		249
328	PBANKA_0214200	tRNA pseudouridine synthase D, putative	PBANKA_021420		2475
329	PBANKA_0214300	AP-4 complex subunit beta, putative	PBANKA_021430		2679
330	PBANKA_0214400	AP2 domain transcription factor AP2-L	PBANKA_021440	AP2-L	3819
331	PBANKA_0214500	IMP1-like protein, putative	PBANKA_021450	IMP2	477
332	PBANKA_0214521	tRNA Valine	NA		73
333	PBANKA_0214531	tRNA Threonine	NA		72
334	PBANKA_0214550	Plasmodium exported protein, unknown function, pseudogene	PBANKA_021455		732
335	PBANKA_0214600	Plasmodium exported protein, unknown function	PBANKA_021460		3066
336	PBANKA_0214700	Plasmodium exported protein, unknown function	PBANKA_021470		1347
337	PBANKA_0214800	heat shock protein, putative	PBANKA_021480		1206
338	PBANKA_0214900	fam-a protein	PBANKA_021490		849
339	PBANKA_0214951	conserved rodent malaria protein, unknown function	NA		432
340	PBANKA_0215550	erythrocyte membrane antigen 1, pseudogene	NA		444
341	PBANKA_0215700	PIR protein	PBANKA_021570		897
342	PBANKA_0215800	fam-b protein	PBANKA_021580		744
343	PBANKA_0215900	PIR protein, pseudogene	PBANKA_021590		1020
344	PBANKA_0216000	PIR protein	PBANKA_021600		1713
345	PBANKA_0216021	fam-b protein	PBANKA_094370		777
346	PBANKA_0216041	tryptophan-rich protein, pseudogene	PBANKA_090005;PBANKA_050025		969
347	PBANKA_0216061	PIR protein	PBANKA_000600		849
348	PBANKA_0216081	PIR protein, pseudogene	PBANKA_010005		879
349	PBANKA_0216701	fam-a protein	NA		795
350	PBANKA_0216721	Plasmodium exported protein, unknown function	NA		459
351	PBANKA_0216741	lysophospholipase, putative, pseudogene	NA		1308
352	PBANKA_0216761	reticulocyte binding protein, putative	NA	Pb235	1839
