pbanka_id	pel_vs_b1_RGR	pel_vs_b1_sd	pel_vs_b1_var	pel_vs_b1_diff_max	pel_vs_b1_diff_min	pel_vs_b1_pheno	sup_vs_b1_RGR	sup_vs_b1_sd	sup_vs_b1_var	sup_vs_b1_diff_max	sup_vs_b1_diff_min	sup_vs_b1_pheno	Gene symbol	Gene description
PBANKA_0416800	-0.9385714247867964	0.15903433690653004	0.025291920315299702	-0.6205027509737364	-1.2566400985998565	Not Reduced	-0.8915609970812866	0.0989251969020569	0.009786194582110727	-0.6937106032771727	-1.0894113908854004	Not Reduced	NA	ubiquitin specific protease, putative
PBANKA_0501200	0.010969941935817573	0.04821917885868099	0.0023250892098054675	0.10740829965317955	-0.0854684157815444	Not Reduced	0.05798036964132747	0.07000762176453225	0.0049010671051258085	0.19799561317039197	-0.08203487388773703	Not Reduced	UIS4	early transcribed membrane protein
PBANKA_0510600	-2.137288138813296	0.04487408304302936	0.002013683328952695	-2.047539972727237	-2.2270363048993547	Reduced	-2.090277711107786	0.20176243076177164	0.040708078466898695	-1.6867528495842428	-2.493802572631329	Reduced	CDC20	cell division cycle protein 20 homolog
PBANKA_0512800	-4.01090076152981	0.0835551443319667	0.006981462144335788	-3.843790472865877	-4.178011050193744	Reduced	-3.9638903338243003	1.0166440588315322	1.0335651423574517	-1.930602216161236	-5.997178451487365	Reduced	MTRAP	merozoite TRAP-like protein
PBANKA_0517700	-1.597064559005121	0.0663436450712045	0.004401479241333957	-1.464377268862712	-1.7297518491475299	Reduced	-1.550054131299611	0.13819910150238662	0.019098991656066964	-1.2736559282948376	-1.8264523343043844	Reduced	NA	ubiquitin-conjugating enzyme E2, putative
PBANKA_0604700	-0.4862212551464138	0.10746112676144264	0.011547893764838842	-0.2712990016235285	-0.7011435086692991	Not Reduced	-0.4392108274409039	0.14046621845373183	0.01973075852669151	-0.15827839053344023	-0.7201432643483676	Not Reduced	SHLP2	shewanella-like protein phosphatase 2, putative
PBANKA_0616700	-0.2940611558003896	0.10358715298106258	0.010730298262722062	-0.08688684983826445	-0.5012354617625148	Not Reduced	-0.2470507280948797	0.16028297217971973	0.025690631170764807	0.07351521626455976	-0.5676166724543192	Not Reduced	NEK4	NIMA related kinase 4
PBANKA_0618400	-1.1433311825683043	0.07186911017036	0.0051651689966793445	-0.9995929622275843	-1.2870694029090244	Not Reduced	-1.0963207548627945	0.18334052709015544	0.03361374887369602	-0.7296397006824835	-1.4630018090431054	Not Reduced	NA	tetratricopeptide repeat protein, putative
PBANKA_0622000	-1.5989900418221872	0.0766377568276415	0.0058733457715727105	-1.4457145281669042	-1.7522655554774702	Reduced	-1.5519796141166773	0.1292519107121262	0.01670605642273544	-1.293475792692425	-1.8104834355409296	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0702000	-2.014432204744658	0.056354580526702204	0.0031758387463405634	-1.9017230436912536	-2.1271413657980625	Reduced	-1.967421777039148	0.06552748104142832	0.0042938507716347475	-1.8363668149562913	-2.0984767391220047	Reduced	NA	conserved protein, unknown function
PBANKA_0708100	-1.466460084221449	0.08452302653750296	0.00714414201505943	-1.297414031146443	-1.635506137296455	Reduced	-1.4194496565159391	0.17801233776296563	0.03168839239583616	-1.0634249809900078	-1.7754743320418704	Reduced	DLC1	dynein light chain 1
PBANKA_0709900	-1.7401628903334574	0.07278569008096385	0.005297756680562119	-1.5945915101715298	-1.885734270495385	Reduced	-1.6931524626279475	0.19444959481266066	0.037810644922807904	-1.3042532730026262	-2.082051652253269	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0713500	-3.49642262575735	0.07343880135761416	0.005393257544843112	-3.3495450230421215	-3.643300228472578	Reduced	-3.44941219805184	0.12808785989038796	0.016406499851299654	-3.1932364782710643	-3.7055879178326157	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0716500	-1.5458780605512894	0.12133087814846981	0.014721181992278828	-1.3032163042543499	-1.788539816848229	Reduced	-1.4988676328457795	0.10733205251985081	0.011520169498124013	-1.284203527806078	-1.713531737885481	Reduced	NA	RNA-binding protein, putative
PBANKA_0722000	-2.543221804375519	0.32930448178699673	0.10844144172500246	-1.8846128408015255	-3.2018307679495126	Reduced	-2.496211376670009	0.2045158647002065	0.04182673891407317	-2.087179647269596	-2.9052431060704222	Reduced	NA	phosphatidylinositol 4-kinase, putative
PBANKA_0805500	-1.5827756601623477	0.08816008376139282	0.0077722003688158	-1.406455492639562	-1.7590958276851334	Reduced	-1.5357652324568378	0.16317537496322151	0.02662620299438794	-1.2094144825303947	-1.862115982383281	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0805900	-0.3324852907772886	0.06209002834382664	0.0038551716197371957	-0.20830523408963533	-0.4566653474649419	Not Reduced	-0.2854748630717787	0.0695419212813927	0.004836078815507417	-0.14639102050899333	-0.4245587056345641	Not Reduced	NA	kinesin-8X
PBANKA_0806000	-2.402752084176405	0.21406292458209605	0.045822935680640144	-1.9746262350122128	-2.830877933340597	Reduced	-2.355741656470895	0.7363660487930266	0.542234957815054	-0.8830095588848419	-3.8284737540569482	Not Reduced	NA	ubiquitin-conjugating enzyme E2, putative
PBANKA_0811100	-0.9264936370823404	0.1148885838193303	0.013199386692011286	-0.6967164694436798	-1.156270804721001	Not Reduced	-0.8794832093768306	0.24905363002106634	0.0620277106266702	-0.3813759493346979	-1.3775904694189633	Not Reduced	NA	helicase SKI2W, putative
PBANKA_0811800	-0.5152940829020283	0.049539806133171466	0.002454192391712213	-0.41621447063568534	-0.6143736951683711	Not Reduced	-0.4682836551965184	0.097098715515231	0.009428160554707762	-0.2740862241660564	-0.6624810862269803	Not Reduced	ALP5a	actin-like protein, putative
PBANKA_0819400	-1.9611423436453865	0.14000178531361457	0.019600499890999424	-1.6811387730181573	-2.241145914272616	Reduced	-1.9141319159398766	0.17732499074705838	0.03144415234344434	-1.5594819344457598	-2.2687818974339935	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0820300	-1.218468370879246	0.07980136528639652	0.0063682579015728906	-1.0588656403064531	-1.378071101452039	Reduced	-1.1714579431737362	0.33212442992912605	0.11030663695574697	-0.5072090833154841	-1.8357068030319883	Not Reduced	PDI-Trans	protein disulfide-isomerase PDI-Trans
PBANKA_0824400	-2.241463581003508	0.08239535537735235	0.006788994587760187	-2.076672870248803	-2.406254291758213	Reduced	-2.194453153297998	0.22856546290463103	0.052242170832808264	-1.737322227488736	-2.65158407910726	Reduced	NA	cyclin-dependent kinases regulatory subunit, putative
PBANKA_0824600	-1.2431357688009532	0.06860513732671907	0.004706664867617982	-1.1059254941475152	-1.3803460434543913	Reduced	-1.1961253410954433	0.07851274918990009	0.006164251785356156	-1.0390998427156433	-1.3531508394752434	Reduced	NA	conserved protein, unknown function
PBANKA_0826400	-1.3896446898469552	0.04921754326033647	0.0024223665645830917	-1.2912096033262823	-1.4880797763676281	Reduced	-1.3426342621414453	0.08297935030939654	0.006885572577769549	-1.1766755615226523	-1.5085929627602384	Reduced	NA	zinc binding protein (Yippee), putative
PBANKA_0828000	-2.0264879954811112	0.11955497747610826	0.014293392639312754	-1.7873780405288948	-2.2655979504333277	Reduced	-1.9794775677756014	0.4108365989428701	0.16878671103094472	-1.157804369889861	-2.8011507656613417	Reduced	NA	zinc finger protein, putative
PBANKA_0828200	-1.6516740823299179	0.06031839088936915	0.003638308279482731	-1.5310373005511795	-1.7723108641086562	Reduced	-1.604663654624408	0.1316425010177014	0.01732974807419551	-1.3413786525890052	-1.8679486566598107	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0831800	-1.7909772671537043	0.06579194815068547	0.004328580441462485	-1.6593933708523334	-1.9225611634550752	Reduced	-1.7439668394481944	0.2489305106368507	0.061966399125923236	-1.246105818174493	-2.2418278607218958	Reduced	NA	elongation factor Tu, putative
PBANKA_0832400	-1.089530174263607	0.09408581586342993	0.008852140746687243	-0.9013585425367472	-1.2777018059904668	Not Reduced	-1.042519746558097	0.1662470021352457	0.027638065718956387	-0.7100257422876057	-1.3750137508285885	Not Reduced	NA	conserved protein, unknown function
PBANKA_0832500	-1.4277560004114855	0.08611543611731819	0.007415868337675911	-1.2555251281768491	-1.599986872646122	Reduced	-1.3807455727059756	0.15310214513542175	0.023440266845067746	-1.0745412824351321	-1.6869498629768191	Reduced	NA	PIH1 domain-containing protein, putative
PBANKA_0834600	-1.6491175787172745	0.051165203653613274	0.002617878064915721	-1.5467871714100478	-1.7514479860245011	Reduced	-1.6021071510117646	0.06155518704331331	0.0037890410519372864	-1.478996776925138	-1.7252175250983912	Reduced	NA	tubulin delta chain, putative
PBANKA_0902600	-1.8501861268816402	0.0768001208699247	0.005898258565635043	-1.6965858851417908	-2.0037863686214896	Reduced	-1.8031756991761303	0.06584912654999389	0.004336107467397111	-1.6714774460761426	-1.934873952276118	Reduced	LRR10	leucine-rich repeat protein
PBANKA_0904600	-1.6979484825474689	0.07481187876995027	0.0055968172050897365	-1.5483247250075682	-1.8475722400873695	Reduced	-1.650938054841959	0.2565586372892621	0.06582233436772314	-1.1378207802634348	-2.164055329420483	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0905100	-0.17107187508788524	0.051769344352717475	0.002680065014710241	-0.06753318638245029	-0.27461056379332016	Not Reduced	-0.12406144738237534	0.09356406950893612	0.008754235103073028	0.06306669163549689	-0.3111895864002476	Not Reduced	NA	ATP-dependent (S)-NAD(P)H-hydrate dehydratase, putative
PBANKA_0908500	-0.7034775825250117	0.10207704205761943	0.010419722515233005	-0.49932349840977286	-0.9076316666402505	Not Reduced	-0.6564671548195018	0.3070563730282297	0.09428361621725134	-0.04235440876304242	-1.270579900875961	Not Reduced	MyoK	myosin K
PBANKA_0913000	-0.11450915617393864	0.13447378203826083	0.01808319805567368	0.154438407902583	-0.3834567202504603	Not Reduced	-0.06749872846842875	0.27983064940973995	0.07830519234907679	0.49216257035105115	-0.6271600272879087	Not Reduced	CAPD3	condensin-2 complex subunit D3, putative
PBANKA_0921600	-1.358413800832933	0.060409558193870116	0.00364931472117858	-1.2375946844451926	-1.4792329172206733	Reduced	-1.311403373127423	0.0984478759684105	0.009691984282691538	-1.114507621190602	-1.5082991250642441	Reduced	SR-MG	alternative splicing factor SR-MG
PBANKA_0929300	-0.5818101722521192	0.07030056972901193	0.004942170104223669	-0.4412090327940953	-0.7224113117101431	Not Reduced	-0.5347997445466093	0.15303726834681833	0.02342040550305608	-0.22872520785297262	-0.8408742812402459	Not Reduced	ARC40	actin-related protein 2/3 complex subunit 1, putative
PBANKA_0930800	-2.1621760850417324	0.06486799576015524	0.004207856873939519	-2.032440093521422	-2.291912076562043	Reduced	-2.1151656573362225	0.1646287753508937	0.027102633673535024	-1.785908106634435	-2.44442320803801	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0933600	-1.5012115212546675	0.06683571314968799	0.004467012552227375	-1.3675400949552916	-1.6348829475540434	Reduced	-1.4542010935491576	0.17634793514350278	0.03109859422937706	-1.101505223262152	-1.8068969638361632	Reduced	NA	dynein light chain Tctex-type, putative
PBANKA_0933700	-2.1601869973439687	0.05272625111223464	0.0027800575563504248	-2.0547344951194995	-2.265639499568438	Reduced	-2.113176569638459	0.07814587760495004	0.006106778186647831	-1.9568848144285587	-2.2694683248483587	Reduced	MAPK2	mitogen-activated protein kinase 2
PBANKA_0933800	-0.47545143551002056	0.054629271509840975	0.0029843573056959226	-0.3661928924903386	-0.5847099785297025	Not Reduced	-0.42844100780451067	0.13077012776887045	0.017100826316686704	-0.16690075226676976	-0.6899812633422515	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_0940100	-1.1540511216093492	0.08955955736478349	0.008020914315375945	-0.9749320068797822	-1.3331702363389162	Not Reduced	-1.1070406939038393	0.1873708783447376	0.03510784605167846	-0.7322989372143641	-1.4817824505933146	Not Reduced	pTKL	pseudo-tyrosine kinase-like protein
PBANKA_0940200	-1.141441524287722	0.13489528566022546	0.01819673809335383	-0.8716509529672711	-1.411232095608173	Not Reduced	-1.0944310965822122	0.20249017170569872	0.04100226963740335	-0.6894507531708147	-1.4994114399936096	Not Reduced	DNA2	DNA replication ATP-dependent helicase/nuclease DNA2, putative
PBANKA_0942300	-2.0493556497328536	0.06453045502036234	0.004164179625135008	-1.9202947396921288	-2.178416559773578	Reduced	-2.0023452220273437	0.30904682770842884	0.09550994171664329	-1.384251566610486	-2.6204388774442013	Reduced	NA	radial spoke head protein, putative
PBANKA_1018300	-2.1018459357085826	0.11520927027634033	0.013273175957606834	-1.871427395155902	-2.332264476261263	Reduced	-2.0548355080030727	0.16795604575612766	0.028209233306034448	-1.7189234164908174	-2.3907475995153282	Reduced	NA	dynein intermediate chain, putative
PBANKA_1019000	-2.0396780094447937	0.07066984016500705	0.004994226308947643	-1.8983383291147797	-2.1810176897748077	Reduced	-1.9926675817392838	0.11510963440215151	0.013250227932196981	-1.7624483129349808	-2.222886850543587	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1024600	0.06866341182634361	0.04917361831044233	0.0024180447377410686	0.16701064844722827	-0.02968382479454104	Not Reduced	0.1156738395318535	0.12545356027515006	0.015738595785710713	0.36658096008215363	-0.13523328101844662	Not Reduced	LISP1	liver specific protein 1
PBANKA_1030100	-2.3648079668202833	0.08387691644527824	0.007035337112368187	-2.197054133929727	-2.5325617997108396	Reduced	-2.3177975391147734	0.18692180077238282	0.03493975960399037	-1.9439539375700077	-2.691641140659539	Reduced	ACT2	actin II
PBANKA_1030400	-1.6408049963647198	0.045811583067234124	0.0020987011431260923	-1.5491818302302516	-1.732428162499188	Reduced	-1.5937945686592099	0.08788104708082883	0.0077230784360228545	-1.418032474497552	-1.7695566628208677	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1034800	-0.4065089674685405	0.14695497141021663	0.021595763622177588	-0.11259902464810723	-0.7004189102889737	Not Reduced	-0.3594985397630306	0.24817105639546788	0.061588873232442505	0.13684357302790517	-0.8558406525539664	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1038200	-0.904564181208781	0.05641130990186131	0.0031822358848438356	-0.7917415614050584	-1.0173868010125036	Not Reduced	-0.8575537535032711	0.24516280862728945	0.06010480273402095	-0.3672281362486922	-1.34787937075785	Not Reduced	MISFIT	nuclear formin-like protein MISFIT
PBANKA_1038700	-2.525360487867765	0.0879320600817432	0.007732047190219296	-2.3494963677042784	-2.7012246080312514	Reduced	-2.478350060162255	0.13719276459879956	0.01882185465826163	-2.203964530964656	-2.752735589359854	Reduced	NA	tetratricopeptide repeat protein, putative
PBANKA_1040000	-2.847341803860293	0.15766614488905137	0.024858613244175338	-2.5320095140821905	-3.1626740936383957	Reduced	-2.8003313761547832	0.2904615287755394	0.08436789969862349	-2.2194083186037044	-3.381254433705862	Reduced	NA	conserved protein, unknown function
PBANKA_1101500	-2.271285978091737	0.07730018594488387	0.005975318747113621	-2.1166856062019694	-2.425886349981505	Reduced	-2.2242755503862273	0.19381834512713894	0.037565550907822744	-1.8366388601319494	-2.611912240640505	Reduced	APC3	anaphase-promoting complex subunit 3
PBANKA_1102300	-1.2516278806240875	0.07942413419903505	0.006308193093266328	-1.0927796122260174	-1.4104761490221576	Reduced	-1.2046174529185776	0.183512912641948	0.03367698910633123	-0.8375916276346815	-1.5716432782024736	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1104800	-2.511857861007428	0.08946530103997491	0.008004040090173335	-2.3329272589274783	-2.6907884630873777	Reduced	-2.464847433301918	0.17611779684045345	0.031017478363935234	-2.112611839621011	-2.817083026982825	Reduced	ALP2b	actin-like protein, putative
PBANKA_1108200	-1.4849042399256005	0.08008747613749931	0.006414003834074521	-1.3247292876506018	-1.6450791922005992	Reduced	-1.4378938122200906	0.24594784137674233	0.06049034067787921	-0.945998129466606	-1.9297894949735752	Not Reduced	NA	conserved protein, unknown function
PBANKA_1108800	-1.542283585002152	0.10005227566798772	0.010010457866343008	-1.3421790336661765	-1.7423881363381273	Reduced	-1.495273157296642	0.08696818776777647	0.007563465683611225	-1.321336781761089	-1.669209532832195	Reduced	LRR2	leucine-rich repeat protein
PBANKA_1109600	-1.5536335238864414	0.07823294966541236	0.006120394413350945	-1.3971676245556166	-1.7100994232172662	Reduced	-1.5066230961809315	0.43301359730058064	0.18750077544718943	-0.6405959015797702	-2.3726502907820928	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1110500	-0.6208198481219851	0.11986575563257998	0.014367799373369378	-0.38108833685682514	-0.860551359387145	Not Reduced	-0.5738094204164752	0.11547867455166981	0.013335324276210472	-0.34285207131313555	-0.8047667695198149	Not Reduced	TCTP	translationally-controlled tumor protein homolog
PBANKA_1115100	-3.263715824685831	0.11578642025167549	0.013406495114697608	-3.0321429841824803	-3.495288665189182	Reduced	-3.216705396980321	0.5276514191487564	0.2784160201296966	-2.1614025586828083	-4.272008235277834	Reduced	GEP1	gametogenesis essential protein 1, putative
PBANKA_1115200	-2.1578821594927646	0.08377671652639386	0.007018538231943754	-1.990328726439977	-2.3254355925455523	Reduced	-2.1108717317872547	0.10310028285721848	0.01062966832523846	-1.9046711660728177	-2.3170722975016917	Reduced	GEP	gamete egress protein GEP
PBANKA_1132800	-2.7411677636255263	0.14547235707550477	0.021162206673103163	-2.4502230494745167	-3.032112477776536	Reduced	-2.6941573359200164	0.2383308396624562	0.056801589134211405	-2.217495656595104	-3.1708190152449287	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1135500	-0.8083782144069787	0.08515257339582794	0.007250960755931863	-0.6380730676153228	-0.9786833611986345	Not Reduced	-0.7613677867014688	0.13540984567874956	0.018335826306742773	-0.49054809534396965	-1.032187478058968	Not Reduced	HMGB4	high mobility group protein B4, putative
PBANKA_1139800	-0.5271916540574786	0.05689058206235743	0.0032365383273938245	-0.41341048993276375	-0.6409728181821934	Not Reduced	-0.4801812263519687	0.07511901070611324	0.005642865769465155	-0.3299432049397422	-0.6304192477641952	Not Reduced	GEX1	nuclear fusion protein
PBANKA_1143200	-2.574390184202307	0.16127395411773127	0.026009288276768093	-2.2518422759668444	-2.8969380924377695	Reduced	-2.527379756496797	0.13711638881069677	0.018800904080486167	-2.2531469788754035	-2.8016125341181906	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1202300	-1.4652831838255915	0.08298187551962674	0.006885991664754827	-1.299319432786338	-1.631246934864845	Reduced	-1.4182727561200816	0.07866960820132604	0.006188907254550145	-1.2609335397174295	-1.5756119725227338	Reduced	NA	dynein attachment factor-domain containing protein, putative
PBANKA_1205300	-1.8414816134991794	0.10835169565877598	0.011740089952132013	-1.6247782221816274	-2.0581850048167314	Reduced	-1.7944711857936695	0.17570860309710434	0.03087351320233575	-1.4430539795994608	-2.145888391987878	Reduced	NA	roadblock/LC7 domain-containing protein, putative
PBANKA_1210900	-1.0785993206914704	0.07286093691018547	0.005308716127430026	-0.9328774468710994	-1.2243211945118413	Not Reduced	-1.0315888929859605	0.12945689248854106	0.016759087012789678	-0.7726751080088783	-1.2905026779630426	Not Reduced	NA	phosphoglucomutase, putative
PBANKA_1212600	-0.47117468152348074	0.07111104605678331	0.005056780871289958	-0.3289525894099141	-0.6133967736370474	Not Reduced	-0.42416425381797085	0.07710245084059557	0.005944787925626456	-0.2699593521367797	-0.578369155499162	Not Reduced	HAP2	male gamete fusion factor HAP2
PBANKA_1213200	-1.039760414896441	0.05580378725063681	0.0031140626715143354	-0.9281528403951673	-1.1513679893977147	Not Reduced	-0.9927499871909311	0.13967212252231015	0.019508301809887215	-0.7134057421463108	-1.2720942322355513	Not Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1215900	-1.7209133235323746	0.09178471317472842	0.008424433572567164	-1.5373438971829176	-1.9044827498818315	Reduced	-1.6739028958268647	0.24636253129193503	0.06069449682456967	-1.1811778332429945	-2.166627958410735	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1216800	-2.11888095897475	0.06697420856375019	0.004485544612740709	-1.9849325418472499	-2.2528293761022504	Reduced	-2.0718705312692403	0.19253869523797978	0.037071149163943655	-1.6867931407932808	-2.4569479217451997	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1217700	-1.8643507673237973	0.16693619514793437	0.027867693250469228	-1.5304783770279287	-2.1982231576196662	Reduced	-1.8173403396182874	0.12961897523550195	0.01680107874110167	-1.5581023891472836	-2.0765782900892913	Reduced	DOZI	ATP-dependent RNA helicase DDX6
PBANKA_1233400	-1.3278870133558902	0.06358998806946849	0.004043686582675144	-1.2007070372169533	-1.4550669894948272	Reduced	-1.2808765856503803	0.09730114163506134	0.009467512163486267	-1.0862743023802577	-1.475478868920503	Reduced	WDR26	WD repeat-containing protein 26, putative
PBANKA_1235600	-1.3450000566137055	0.17263667288734222	0.029803420825611198	-0.9997267108390211	-1.6902734023883899	Not Reduced	-1.2979896289081956	0.1408313267002682	0.01983346258015768	-1.0163269755076592	-1.579652282308732	Reduced	SAHH	adenosylhomocysteinase, putative
PBANKA_1235900	-1.7218188687253067	0.11613404679931442	0.013487116825985352	-1.4895507751266779	-1.9540869623239354	Reduced	-1.6748084410197968	0.1554311838500238	0.024158852913019897	-1.3639460733197493	-1.9856708087198442	Reduced	NA	zinc finger protein, putative
PBANKA_1300500	-1.5498656727692994	0.05093631096177182	0.0025945077743943163	-1.4479930508457557	-1.6517382946928432	Reduced	-1.5028552450637895	0.07147482628908723	0.0051086507930551955	-1.3599055924856152	-1.645804897641964	Reduced	NA	tubulin epsilon chain, putative
PBANKA_1303100	-1.6496567106537192	0.067292363946424	0.004528262245497985	-1.5150719827608712	-1.7842414385465672	Reduced	-1.6026462829482093	0.235017695599962	0.055233317245116396	-1.1326108917482853	-2.072681674148133	Reduced	NA	conserved Plasmodium protein, unknown function
PBANKA_1304400	-1.0595305711067615	0.06663354565028673	0.004440029405928846	-0.9262634798061881	-1.1927976624073349	Not Reduced	-1.0125201434012516	0.07646395537174086	0.005846736471091578	-0.8595922326577699	-1.1654480541447334	Not Reduced	NA	allantoicase, putative
PBANKA_1304500	-0.8837230688631648	0.1026383426253131	0.010534629376871163	-0.6784463836125385	-1.088999754113791	Not Reduced	-0.8367126411576549	0.0859708521422108	0.007390987418057871	-0.6647709368732333	-1.0086543454420764	Not Reduced	SOC3	protein SOC3
PBANKA_1312000	-0.848719189445684	0.23325091688437957	0.05440599022740374	-0.3822173556769249	-1.3152210232144432	Not Reduced	-0.8017087617401741	0.24069813995186132	0.05793559457628582	-0.3203124818364515	-1.2831050416438967	Not Reduced	CAPG2	condensin-2 complex subunit G2, putative
