	pbanka_id	GCKO2_RGR	GCKO2_sd	GCKO2_var	GCKO2_diff_max	GCKO2_diff_min	GCKO2_pheno	GCKO2_relative_filter	GCKO2_feed	g145480_RGR	g145480_sd	g145480_var	g145480_diff_max	g145480_diff_min	g145480_pheno	g145480_relative_filter	g145480_feed	pool	Gene IDs	gene_product	gene_symbol
32	PBANKA_0612300	-5.379996575	0.172732684	0.02983658	-5.034531208	-5.725461942	No Power	applied	Both feed noisy	-8.730561214	0.135592008	0.018385193	-8.459377198	-9.00174523	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0612300_pool6	"conserved Plasmodium protein, unknown function"	NA
33	PBANKA_1202300	0.316220799	0.260798509	0.068015862	0.837817817	-0.205376219	Not Reduced	Not applied	Mf2	-8.679287457	0.528595033	0.279412709	-7.622097391	-9.736477523	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_1202300_pool4	"conserved Plasmodium protein, unknown function"	NA
34	PBANKA_0622000	-0.544227142	1.471396162	2.165006667	2.398565183	-3.487019467	No Power	applied	Both feed noisy	-8.628311438	0.225694313	0.050937923	-8.176922812	-9.079700063	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0622000_pool3	"conserved Plasmodium protein, unknown function"	NA
35	PBANKA_0828900	-0.024203241	0.113109903	0.01279385	0.202016565	-0.250423048	Not Reduced	Not applied	Mf1 and Mf2	-8.618902207	0.169214761	0.028633635	-8.280472686	-8.957331728	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0828900_pool3	"conserved Plasmodium protein, unknown function"	NA
36	PBANKA_1216800	0.593208405	0.2075411	0.043073308	1.008290604	0.178126206	Not Reduced	Not applied	Mf1 and Mf2	-8.555026586	0.243369357	0.059228644	-8.068287872	-9.041765301	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_1216800_pool2	"conserved Plasmodium protein, unknown function"	NA
37	PBANKA_1018300	0.771041316	0.47540872	0.226013451	1.721858756	-0.179776125	Not Reduced	Not applied	Mf1 and Mf2	-8.493909794	0.145780503	0.021251955	-8.202348789	-8.7854708	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1018300_pool1	"dynein intermediate chain, putative"	NA
38	PBANKA_1433200	-0.65342298	0.597740615	0.357293842	0.542058249	-1.848904209	No Power	Not applied	Mf1	-8.481876978	0.148111573	0.021937038	-8.185653832	-8.778100125	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1433200_pool3	"anaphase-promoting complex subunit 10, putative"	APC10
39	PBANKA_1437500	-12.40819785	1.180676971	1.39399811	-10.04684391	-14.76955179	Reduced	"Not applied,applied"	"Mf1 and Mf2,Both feed noisy"	-8.449146099	0.122967636	0.01512104	-8.203210827	-8.695081372	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool4"	"PBANKA_1437500_pilot,pool4"	AP2 domain transcription factor AP2-G	AP2-G
40	PBANKA_1015200	-9.172143186	0.210474759	0.044299624	-8.751193668	-9.593092705	Reduced	Not applied	Mf1 and Mf2	-8.448489031	0.17868556	0.031928529	-8.091117912	-8.805860151	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1015200_pool6	"diphthamide biosynthesis protein 2, putative"	DPH2
41	PBANKA_1235900	-7.241771442	0.317296725	0.100677211	-6.607177993	-7.876364891	Reduced	Not applied	Mf1 and Mf2	-8.378192616	1.32207943	1.747894018	-5.734033756	-11.02235147	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_1235900_pool2	"zinc finger protein, putative"	NA
42	PBANKA_0405600	0.480099461	0.235285235	0.055359142	0.95066993	0.009528991	Not Reduced	Not applied	Mf1 and Mf2	-8.298752516	0.295089902	0.08707805	-7.708572712	-8.888932321	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_0405600_pool4	"microtubule-associated protein RP/EB family, putative"	EB1
43	PBANKA_1104800	-0.991413475	0.326929306	0.106882771	-0.337554864	-1.645272086	No Power	Not applied	Mf1	-8.224928227	0.283842795	0.080566732	-7.657242637	-8.792613817	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1104800_pool3	"actin-like protein, putative"	ALP2b
44	PBANKA_0913000	0.204624857	0.222419012	0.049470217	0.649462882	-0.240213167	No Power	applied	Both feed noisy	-8.223384488	0.435887702	0.189998088	-7.351609085	-9.095159891	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_0913000_pool4	"condensin-2 complex subunit D3, putative"	NA
45	PBANKA_1349400	0.208302649	0.143303903	0.020536009	0.494910455	-0.078305158	Not Reduced	Not applied	Mf1 and Mf2	-8.190646797	1.702220563	2.897554846	-4.786205671	-11.59508792	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_1349400_pool2	"DNA replication complex GINS protein, putative"	NA
46	PBANKA_1037600	-5.633723623	0.137083515	0.01879189	-5.359556592	-5.907890654	Reduced	Not applied	Mf1 and Mf2	-8.188289164	0.24167031	0.058404539	-7.704948543	-8.671629785	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1037600_pool6	"rRNA biogenesis protein RRP5, putative"	RRP5
47	PBANKA_1312700	-5.324869365	0.430677731	0.185483308	-4.463513904	-6.186224826	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-8.186792055	0.162608761	0.026441609	-7.861574533	-8.512009577	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool3"	"PBANKA_1312700_pilot,pool3"	gamete egress and sporozoite traversal protein	GEST
48	PBANKA_0618400	-0.553750401	0.37032347	0.137139473	0.18689654	-1.294397341	No Power	Not applied	Mf1	-8.175914431	0.149293818	0.022288644	-7.877326795	-8.474502066	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0618400_pool3	"tetratricopeptide repeat protein, putative"	NA
49	PBANKA_1034800	0.639604431	0.988158389	0.976457002	2.61592121	-1.336712347	No Power	Not applied	Mf2	-8.123565039	1.977088845	3.9088803	-4.16938735	-12.07774273	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1034800_pool3	"conserved Plasmodium protein, unknown function"	NA
50	PBANKA_1212600	0.012458735	0.528190548	0.278985255	1.068839832	-1.043922362	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-8.097453768	0.561632069	0.315430581	-6.974189629	-9.220717906	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool2"	"PBANKA_1212600_pilot,pool2"	male gamete fusion factor HAP2	HAP2
51	PBANKA_1222000	-4.560115509	0.063914524	0.004085066	-4.432286462	-4.687944557	Reduced	Not applied	Mf1 and Mf2	-8.062768151	0.694069151	0.481731986	-6.67462985	-9.450906453	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1222000_pool6	"histone deacetylase complex subunit SAP18, putative"	SAP18
52	PBANKA_0401100	-1.179437119	0.090291197	0.0081525	-0.998854725	-1.360019514	No Power	applied	Both feed noisy	-8.050505538	0.156561211	0.024511413	-7.737383116	-8.363627959	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0401100_pool6	"serine/threonine protein kinase, putative"	SRPK1
53	PBANKA_0301400	0.760018341	0.156991686	0.02464639	1.074001713	0.446034968	Not Reduced	Not applied	Mf1 and Mf2	-8.026537373	0.215374689	0.046386257	-7.595787995	-8.457286752	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_0301400_pool4	"conserved Plasmodium protein, unknown function"	NA
54	PBANKA_1215900	0.146108432	0.318315727	0.101324902	0.782739887	-0.490523022	No Power	applied	Both feed noisy	-7.72680445	0.191924426	0.036834985	-7.342955598	-8.110653301	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_1215900_pool4	"conserved Plasmodium protein, unknown function"	NA
55	PBANKA_0820300	0.748319887	0.568924771	0.323675395	1.886169428	-0.389529655	Not Reduced	Not applied	Mf1 and Mf2	-7.69304693	0.568002253	0.322626559	-6.557042424	-8.829051436	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_0820300_pool2	"protein disulfide isomerase, putative"	NA
56	PBANKA_0819400	-8.44921583	1.028460601	1.057731208	-6.392294627	-10.50613703	Reduced	Not applied	Mf1 and Mf2	-7.686606223	1.302924601	1.697612515	-5.080757022	-10.29245542	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_0819400_pool2	"conserved Plasmodium protein, unknown function"	NA
57	PBANKA_1359600	-0.148154327	0.195938275	0.038391807	0.243722223	-0.540030876	Not Reduced	"Not applied,Not applied,Not applied,Not applied,Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf2,Mf1 and Mf2"	-7.604910968	0.950410579	0.903280268	-5.70408981	-9.505732126	Reduced	"Not applied,Not applied,Not applied,Not applied,Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1,pool2,pool3,pool4,pool6"	"PBANKA_1359600_pilot,pool1,pool2,pool3,pool4,pool6"	6-cysteine protein	P48/45
58	PBANKA_1038200	-0.72099712	0.606606529	0.367971481	0.492215938	-1.934210177	No Power	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-7.52364171	1.027562047	1.05588376	-5.468517616	-9.578765803	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1"	"PBANKA_1038200_pilot,pool1"	nuclear formin-like protein MISFIT	MISFIT
59	PBANKA_0708100	0.955509625	0.629080733	0.395742569	2.213671091	-0.302651842	Not Reduced	Not applied	Mf1 and Mf2	-7.51970359	1.047877723	1.098047723	-5.423948143	-9.615459036	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_0708100_pool4	dynein light chain 1	DLC1
60	PBANKA_0832400	-0.019723621	0.290054518	0.084131624	0.560385415	-0.599832658	Not Reduced	Not applied	Mf2	-7.45743645	0.635466594	0.403817793	-6.186503261	-8.728369639	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_0832400_pool3	"conserved protein, unknown function"	NA
61	PBANKA_1430900	-0.399357596	0.083356682	0.006948336	-0.232644232	-0.56607096	Not Reduced	Not applied	Mf1	-7.332958913	0.608469165	0.370234725	-6.116020582	-8.549897244	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1430900_pool3	"SUN domain-containing protein, putative"	NA
62	PBANKA_1304400	0.462163682	0.295285963	0.0871938	1.052735609	-0.128408245	Not Reduced	Not applied	Mf2	-7.246733774	0.324261379	0.105145442	-6.598211015	-7.895256532	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_1304400_pool4	"allantoicase, putative"	NA
63	PBANKA_1139800	-2.319027981	2.916063054	8.503423735	3.513098127	-8.151154089	No Power	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-7.185940774	3.004390233	9.026360672	-1.177160308	-13.19472124	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	"pilot,pool4"	"PBANKA_1139800_pilot,pool4"	nuclear fusion protein	GEX1
64	PBANKA_1431200	0.586836677	0.156628542	0.0245325	0.900093761	0.273579593	Not Reduced	Not applied	Mf1 and Mf2	-7.036432836	2.221570047	4.935373475	-2.593292741	-11.47957293	Reduced	Not applied	Mf1 and Mf2	pool4	PBANKA_1431200_pool4	"conserved Plasmodium protein, unknown function"	NA
65	PBANKA_1329600	0.736126875	0.400686282	0.160549496	1.537499438	-0.065245689	Not Reduced	Not applied	Mf1 and Mf2	-6.998360569	0.168492731	0.0283898	-6.661375107	-7.335346031	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1329600_pool1	"conserved Plasmodium protein, unknown function"	NA
66	PBANKA_1132800	-8.560740025	0.660653464	0.436463	-7.239433097	-9.882046954	Reduced	Not applied	Mf1 and Mf2	-6.919478792	0.374801699	0.140476313	-6.169875395	-7.66908219	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1132800_pool3	"conserved Plasmodium protein, unknown function"	NA
67	PBANKA_0805900	0.024150835	0.514456374	0.26466536	1.053063583	-1.004761912	Not Reduced	Not applied	Mf1 and Mf2	-6.909846857	0.347381417	0.120673849	-6.215084023	-7.60460969	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_0805900_pool2	"kinesin-8, putative"	NA
68	PBANKA_0102400	0.855833737	0.53319514	0.284297058	1.922224018	-0.210556544	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	-6.782137855	0.481454963	0.231798882	-5.819227928	-7.745047782	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1"	"PBANKA_0102400_pilot,pool1"	"conserved Plasmodium protein, unknown function"	NA
69	PBANKA_0519900	-4.645064968	1.561482903	2.438228856	-1.522099162	-7.768030773	Reduced	Not applied	Mf1 and Mf2	-6.745099911	0.146887455	0.021575924	-6.451325	-7.038874821	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_0519900_pool6	"conserved Plasmodium protein, unknown function"	NA
70	PBANKA_1102300	-0.571099336	0.303950144	0.09238569	0.036800952	-1.178999625	No Power	Not applied	Mf1	-6.733074464	0.21047563	0.044299991	-6.312123204	-7.154025725	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1102300_pool1	"conserved Plasmodium protein, unknown function"	NA
71	PBANKA_1034300	-8.856773588	1.41642932	2.006272019	-6.023914948	-11.68963223	Reduced	Not applied	Mf1 and Mf2	-6.651446536	0.277018108	0.076739032	-6.09741032	-7.205482751	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1034300_pool6	AP2 domain transcription factor AP2-G2	AP2-G2
72	PBANKA_0306100	0.834311151	0.153161824	0.023458544	1.140634799	0.527987502	Not Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf2"	-6.589515074	0.719023391	0.516994637	-5.151468292	-8.027561856	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1"	"pilot,pool2"	"PBANKA_0306100_pilot,pool2"	6-cysteine protein P230	P230
73	PBANKA_0828000	-7.401314399	0.624773182	0.390341529	-6.151768035	-8.650860764	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-6.491021294	1.22795545	1.507874586	-4.035110395	-8.946932194	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool1"	"PBANKA_0828000_pilot,pool1"	"zinc finger protein, putative"	NA
74	PBANKA_1441100	-1.65780582	0.17352953	0.030112498	-1.310746759	-2.00486488	Reduced	Not applied	Mf1 and Mf2	-6.444478522	1.394955455	1.945900722	-3.654567611	-9.234389432	Reduced	Not applied	Mf1 and Mf2	pool1	PBANKA_1441100_pool1	"haloacid dehalogenase-like hydrolase, putative"	HAD2
75	PBANKA_1401600	-3.149338136	0.223108696	0.04977749	-2.703120745	-3.595555527	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	-6.424534453	0.506428543	0.25646987	-5.411677366	-7.437391539	Reduced	"Not applied,Not applied"	"Mf1 and Mf2,Mf1 and Mf2"	"pilot,pool6"	"PBANKA_1401600_pilot,pool6"	"methyltransferase, putative"	NA
76	PBANKA_0826400	-4.222675634	0.129386858	0.016740959	-3.963901917	-4.48144935	Reduced	Not applied	Mf1 and Mf2	-6.320350795	0.335592584	0.112622382	-5.649165628	-6.991535963	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_0826400_pool2	"zinc binding protein (Yippee), putative"	NA
77	PBANKA_1340400	-1.005295995	0.272730902	0.074382145	-0.45983419	-1.5507578	No Power	applied	Both feed noisy	-6.211828546	0.507902674	0.257965127	-5.196023197	-7.227633895	Reduced	Not applied	Mf1 and Mf2	pool2	PBANKA_1340400_pool2	"lactate dehydrogenase, putative"	NA
78	PBANKA_1320900	-3.144135973	0.289973921	0.084084875	-2.56418813	-3.724083816	Reduced	Not applied	Mf1 and Mf2	-6.123508953	0.135663754	0.018404654	-5.852181445	-6.394836462	Reduced	Not applied	Mf1 and Mf2	pool6	PBANKA_1320900_pool6	"thioredoxin 1, putative"	TRX1
79	PBANKA_1108200	-1.790455109	0.791358704	0.626248598	-0.207737702	-3.373172516	No Power	Not applied	Mf1 and Mf2	-6.121850746	0.335921522	0.112843269	-5.450007702	-6.79369379	Reduced	Not applied	Mf1 and Mf2	pool3	PBANKA_1108200_pool3	"conserved protein, unknown function"	NA
