gene	Male gametcytes	difference.x	differencesd.x	p.x	diffmax.x	diffmin.x	phenotype.x	Condition.y	Female gametocytes	differencesd.y	p.y	diffmax.y	diffmin.y	power.y	minmax	classification												
PBANKA_050320	GFPsort	-1.820311551	0.449872217	2.60E-05	-0.920567117	-2.720055984	nopower	RFPsort	-2.406476461	0.646971998	9.98E-05	-1.112532464	-3.700420458	reduced	-1.112532464	None												
PBANKA_030890	GFPsort	-1.211743141	0.177447255	4.28E-12	-0.856848631	-1.566637651	nopower	RFPsort	-1.49044869	0.228811125	3.66E-11	-1.032826439	-1.948070941	reduced	-1.032826439	None												
PBANKA_070990	GFPsort	-0.965348358	0.247259468	4.73E-05	-0.470829421	-1.459867294	nopower	RFPsort	-1.91695127	0.320806843	1.15E-09	-1.275337584	-2.558564956	reduced	-1.275337584	None												
PBANKA_031190	GFPsort	-0.80719982	0.289244755	0.002629584	-0.228710309	-1.385689331	nopower	RFPsort	-3.418949379	0.852453302	3.03E-05	-1.714042775	-5.123855984	reduced	-1.714042775	None												
PBANKA_121470	GFPsort	-0.760623529	0.10024716	1.63E-14	-0.560129208	-0.961117849	notreduced	RFPsort	-1.295141899	0.122909702	2.91E-26	-1.049322495	-1.540961302	reduced	-1.049322495	None												
PBANKA_071230	GFPsort	-0.710324642	0.095162078	4.19E-14	-0.520000485	-0.900648798	notreduced	RFPsort	-2.518557805	0.190403779	3.05E-40	-2.137750247	-2.899365363	reduced	-2.137750247	None												
PBANKA_082800	GFPsort	-0.401339981	0.11163135	0.000162055	-0.178077282	-0.62460268	notreduced	RFPsort	-3.002562585	0.258910176	2.14E-31	-2.484742233	-3.520382937	reduced	-2.484742233	None												
PBANKA_134720	GFPsort	-0.218134227	0.148963218	0.071549227	0.079792208	-0.516060663	notreduced	RFPsort	-1.733169376	0.217249779	7.45E-16	-1.298669819	-2.167668934	reduced	-1.298669819	None												
PBANKA_123160	GFPsort	-0.098716036	0.260816709	0.352533995	0.422917382	-0.620349454	notreduced	RFPsort	-2.214160129	0.472628194	1.40E-06	-1.26890374	-3.159416517	reduced	-1.26890374	None												
PBANKA_141810	GFPsort	-0.02768734	0.109246603	0.39996453	0.190805866	-0.246180547	notreduced	RFPsort	-2.11071892	0.202796122	1.14E-25	-1.705126677	-2.516311163	reduced	-1.705126677	None												
PBANKA_041050	GFPsort	0.039564253	0.128074557	0.621307208	0.295713368	-0.216584862	notreduced	RFPsort	-2.246202976	0.224761739	8.12E-24	-1.796679498	-2.695726454	reduced	-1.796679498	None												
PBANKA_090240	GFPsort	0.217706558	0.061358458	0.999805997	0.340423474	0.094989643	notreduced	RFPsort	-2.999355317	0.169847251	4.33E-70	-2.659660814	-3.339049819	reduced	-2.659660814	None												
PBANKA_114480	GFPsort	0.230608145	0.191610309	0.88561374	0.613828764	-0.152612473	notreduced	RFPsort	-1.961876372	0.328337897	1.15E-09	-1.305200578	-2.618552167	reduced	-1.305200578	None												
PBANKA_144790	GFPsort	-3.625322419	0.371322031	8.09E-23	-2.882678358	-4.367966481	reduced	RFPsort	0.26249446	0.146086478	0.963819723	0.554667416	-0.029678496	notreduced	-2.882678358	None												
PBANKA_142590	GFPsort	-3.262373375	0.860629549	7.51E-05	-1.541114276	-4.983632473	reduced	RFPsort	-2.35195707	0.69884958	0.000382067	-0.954257909	-3.749656231	nopower	-1.541114276	None												
PBANKA_071350	GFPsort	-2.787893277	0.369927627	2.42E-14	-2.048038023	-3.527748532	reduced	RFPsort	0.790702839	0.175261672	0.999996782	1.141226182	0.440179496	notreduced	-2.048038023	None												
PBANKA_010240	GFPsort	-2.556926464	0.404731345	1.33E-10	-1.747463773	-3.366389154	reduced	RFPsort	0.396047691	0.245178804	0.946881705	0.886405298	-0.094309917	notreduced	-1.747463773	None												
PBANKA_112690	GFPsort	-2.339237855	0.331342517	8.33E-13	-1.676552821	-3.001922889	reduced	RFPsort	0.282144345	0.211952445	0.908433156	0.706049235	-0.141760546	notreduced	-1.676552821	None												
PBANKA_080600	GFPsort	-2.300719192	0.488511652	1.24E-06	-1.323695889	-3.277742496	reduced	RFPsort	-2.017579722	0.603324843	0.000412747	-0.810930036	-3.224229408	nopower	-1.323695889	None												
PBANKA_041340	GFPsort	-2.226937403	0.319072505	1.48E-12	-1.588792393	-2.865082413	reduced	RFPsort	0.69458178	0.17710992	0.999956047	1.04880162	0.34036194	notreduced	-1.588792393	None												
PBANKA_010220	GFPsort	-2.200758837	0.49845798	5.05E-06	-1.203842877	-3.197674798	reduced	RFPsort	-1.616908276	0.483222103	0.000409788	-0.650464071	-2.583352482	nopower	-1.203842877	None												
PBANKA_146460	GFPsort	-2.093539253	0.204302562	6.09E-25	-1.684934128	-2.502144378	reduced	RFPsort	-1.122596769	0.168482696	1.34E-11	-0.785631378	-1.45956216	nopower	-1.684934128	None												
PBANKA_040110	GFPsort	-2.056594153	0.197422825	1.03E-25	-1.661748502	-2.451439803	reduced	RFPsort	-0.665236056	0.146867583	2.96E-06	-0.371500889	-0.958971222	notreduced	-1.661748502	None												
PBANKA_123590	GFPsort	-1.749114085	0.254532455	3.17E-12	-1.240049175	-2.258178996	reduced	RFPsort	-0.754946105	0.218939218	0.000282168	-0.31706767	-1.192824541	nopower	-1.240049175	None												
PBANKA_041830	GFPsort	-1.643257156	0.177980905	1.32E-20	-1.287295345	-1.999218966	reduced	RFPsort	0.205448402	0.117339094	0.960017978	0.44012659	-0.029229786	notreduced	-1.287295345	None												
PBANKA_135940	GFPsort	-2.690176846	1.230641437	0.014407961	-0.228893973	-5.15145972	nopower	RFPsort	-2.423620642	1.16033503	0.018366248	-0.102950581	-4.744290703	nopower	-0.228893973	None												
PBANKA_040930	GFPsort	-2.531752911	0.824141011	0.001063184	-0.88347089	-4.180034932	nopower	RFPsort	-2.738723583	0.914966511	0.001380117	-0.908790562	-4.568656605	nopower	-0.908790562	None												
PBANKA_131670	GFPsort	-2.221211703	0.646104176	0.000293172	-0.92900335	-3.513420056	nopower	RFPsort	-2.948197733	1.00699234	0.001707254	-0.934213053	-4.962182413	nopower	-0.934213053	None												
PBANKA_040940	GFPsort	-2.053727104	0.542836299	7.74E-05	-0.968054507	-3.139399702	nopower	RFPsort	0.671445074	0.40742095	0.95032753	1.486286974	-0.143396826	notreduced	-0.968054507	None												
PBANKA_101810	GFPsort	-1.915059287	1.316774738	0.072923811	0.718490188	-4.548608762	nopower	RFPsort	-1.421121495	1.220605813	0.122156182	1.020090131	-3.862333121	nopower	0.718490188	None												
PBANKA_020830	GFPsort	-1.817166275	0.413860215	5.65E-06	-0.989445845	-2.644886705	nopower	RFPsort	-1.765843728	0.408755491	7.80E-06	-0.948332747	-2.58335471	nopower	-0.989445845	None												
PBANKA_120850	GFPsort	-1.810036049	1.124593012	0.053753178	0.439149975	-4.059222074	nopower	RFPsort	-0.297644583	0.721818698	0.340040111	1.145992814	-1.741281979	nopower	0.439149975	None												
PBANKA_122200	GFPsort	-1.770358992	1.752740418	0.156235185	1.735121844	-5.275839828	nopower	RFPsort	0.266258165	0.91608129	0.614340132	2.098420744	-1.565904414	nopower	1.735121844	None												
PBANKA_112780	GFPsort	-1.729867963	0.929672918	0.031391334	0.129477874	-3.5892138	nopower	RFPsort	-0.366967845	0.656462196	0.288078013	0.945956547	-1.679892236	nopower	0.129477874	None												
PBANKA_061230	GFPsort	-1.695167402	0.462985867	0.00012543	-0.769195668	-2.621139136	nopower	RFPsort	-0.127190945	0.339599405	0.354004167	0.552007866	-0.806389755	notreduced	-0.769195668	None												
PBANKA_114430	GFPsort	-1.583725707	0.88283927	0.036414535	0.181952832	-3.349404246	nopower	RFPsort	0.013273359	0.540644357	0.509793448	1.094562073	-1.068015354	nopower	0.181952832	None												
PBANKA_080040	GFPsort	-1.528499977	0.510165957	0.001367356	-0.508168063	-2.54883189	nopower	RFPsort	-0.855568211	0.400998575	0.016438009	-0.05357106	-1.657565362	nopower	-0.508168063	None												
PBANKA_031000	GFPsort	-1.497913774	0.460933239	0.00057755	-0.576047296	-2.419780252	nopower	RFPsort	-1.188601049	0.420323511	0.002343276	-0.347954028	-2.029248071	nopower	-0.576047296	None												
PBANKA_050630	GFPsort	-1.478249666	0.342860837	8.11E-06	-0.792527992	-2.16397134	nopower	RFPsort	-0.759891906	0.321977321	0.009135522	-0.115937264	-1.403846548	nopower	-0.792527992	None												
PBANKA_123150	GFPsort	-1.463090396	1.10933121	0.093602258	0.755572023	-3.681752816	nopower	RFPsort	0.03638729	0.759324361	0.519110245	1.555036013	-1.482261433	nopower	0.755572023	None												
PBANKA_031220	GFPsort	-1.456831771	0.315835604	1.99E-06	-0.825160562	-2.08850298	nopower	RFPsort	-0.984821094	0.279660465	0.000214566	-0.425500163	-1.544142025	nopower	-0.825160562	None												
PBANKA_132960	GFPsort	-1.378290364	0.291889583	1.17E-06	-0.794511198	-1.96206953	nopower	RFPsort	0.142461087	0.219561373	0.741780403	0.581583834	-0.29666166	notreduced	-0.794511198	None												
PBANKA_102620	GFPsort	-1.378283557	0.329157537	1.41E-05	-0.719968483	-2.036598631	nopower	RFPsort	-0.397583591	0.287557379	0.08339017	0.177531168	-0.972698349	notreduced	-0.719968483	None												
PBANKA_133180	GFPsort	-1.368250722	0.228711857	1.10E-09	-0.910827007	-1.825674437	nopower	RFPsort	-1.113647648	0.220501008	2.20E-07	-0.672645632	-1.554649664	nopower	-0.910827007	None												
PBANKA_051390	GFPsort	-1.362001605	0.451201852	0.001269694	-0.4595979	-2.264405309	nopower	RFPsort	-0.094881497	0.390635957	0.404045376	0.686390417	-0.876153412	notreduced	-0.4595979	None												
PBANKA_102410	GFPsort	-1.361469791	0.311586596	6.23E-06	-0.738296599	-1.984642984	nopower	RFPsort	-0.630063632	0.277168816	0.011506687	-0.075725999	-1.184401264	nopower	-0.738296599	None												
PBANKA_082300	GFPsort	-1.353545336	0.452743494	0.001396479	-0.448058348	-2.259032324	nopower	RFPsort	-0.820088532	0.434173721	0.029456043	0.04825891	-1.688435974	nopower	-0.448058348	None												
PBANKA_100610	GFPsort	-1.314239943	1.412950541	0.176149645	1.511661139	-4.140141026	nopower	RFPsort	-1.234327453	1.473117149	0.20104294	1.711906844	-4.180561751	nopower	1.511661139	None												
PBANKA_123560	GFPsort	-1.311052048	0.16687943	1.98E-15	-0.977293189	-1.644810908	nopower	RFPsort	-0.510718441	0.146785033	0.000251303	-0.217148375	-0.804288507	notreduced	-0.977293189	None												
PBANKA_070220	GFPsort	-1.260403705	1.409846324	0.185660738	1.559288943	-4.080096352	nopower	RFPsort	-0.508230802	1.047987661	0.313852798	1.58774452	-2.604206123	nopower	1.559288943	None												
PBANKA_114590	GFPsort	-1.257286724	0.312003085	2.79E-05	-0.633280554	-1.881292894	nopower	RFPsort	-1.226023333	0.346860264	0.000204172	-0.532302806	-1.919743861	nopower	-0.633280554	None												
PBANKA_070070	GFPsort	-1.239662084	0.648529349	0.027970353	0.057396614	-2.536720783	nopower	RFPsort	-2.451622998	1.303901043	0.030038937	0.156179088	-5.059425085	nopower	0.057396614	None												
PBANKA_091140	GFPsort	-1.19715666	0.440027469	0.003257776	-0.317101722	-2.077211597	nopower	RFPsort	0.123426818	0.300929197	0.659152905	0.725285212	-0.478431576	notreduced	-0.317101722	None												
PBANKA_104000	GFPsort	-1.188650262	0.856527212	0.08260577	0.524404163	-2.901704687	nopower	RFPsort	-0.933750402	1.187999273	0.215937942	1.442248144	-3.309748948	nopower	0.524404163	None												
PBANKA_132330	GFPsort	-1.175499014	0.420596576	0.002596292	-0.334305862	-2.016692167	nopower	RFPsort	-0.018990101	0.402525752	0.481185937	0.786061403	-0.824041605	notreduced	-0.334305862	None												
PBANKA_071650	GFPsort	-1.16233152	0.18203952	8.57E-11	-0.79825248	-1.526410561	nopower	RFPsort	0.12278928	0.132451641	0.823049685	0.387692563	-0.142114003	notreduced	-0.79825248	None												
PBANKA_090260	GFPsort	-1.151665461	0.188234756	4.73E-10	-0.775195948	-1.528134973	nopower	RFPsort	-1.181540315	0.219748706	3.79E-08	-0.742042902	-1.621037727	nopower	-0.775195948	None												
PBANKA_041170	GFPsort	-1.024172442	0.26246095	4.77E-05	-0.499250542	-1.549094343	nopower	RFPsort	-0.098312636	0.237801276	0.339648179	0.377289916	-0.573915188	notreduced	-0.499250542	None												
PBANKA_094020	GFPsort	-1.018558879	0.3056266	0.000430053	-0.407305679	-1.629812079	nopower	RFPsort	-0.468000838	0.358236702	0.095708088	0.248472566	-1.184474243	nopower	-0.407305679	None												
PBANKA_081970	GFPsort	-1.017199737	1.846196916	0.290827005	2.675194095	-4.709593569	nopower	RFPsort	-0.306311324	1.901747495	0.436019785	3.497183666	-4.109806314	nopower	2.675194095	None												
PBANKA_143120	GFPsort	-1.016204835	0.234105936	7.10E-06	-0.547992964	-1.484416707	nopower	RFPsort	0.191556547	0.204469116	0.825581706	0.60049478	-0.217381685	notreduced	-0.547992964	None												
PBANKA_103210	GFPsort	-0.997832994	0.205275307	5.84E-07	-0.587282381	-1.408383608	nopower	RFPsort	-0.672805119	0.197768525	0.000334494	-0.277268069	-1.068342169	nopower	-0.587282381	None												
PBANKA_101520	GFPsort	-0.973674407	0.35612696	0.003127881	-0.261420487	-1.685928326	nopower	RFPsort	-0.225731079	0.308297807	0.232027781	0.390864536	-0.842326693	notreduced	-0.261420487	None												
PBANKA_083550	GFPsort	-0.960443061	0.402440023	0.008503657	-0.155563014	-1.765323108	nopower	RFPsort	-0.122719799	0.388350762	0.376000317	0.653981725	-0.899421324	notreduced	-0.155563014	None												
PBANKA_130620	GFPsort	-0.959479316	0.549480828	0.040391913	0.139482339	-2.058440972	nopower	RFPsort	-0.879595521	0.535187762	0.050136975	0.190780003	-1.949971046	nopower	0.139482339	None												
PBANKA_031380	GFPsort	-0.947330251	0.438029347	0.015281763	-0.071271556	-1.823388946	nopower	RFPsort	-1.137489294	0.441572231	0.004997558	-0.254344833	-2.020633755	nopower	-0.254344833	None												
PBANKA_140440	GFPsort	-0.935164711	0.213949312	6.18E-06	-0.507266086	-1.363063335	nopower	RFPsort	-0.439431826	0.210763408	0.018536778	-0.01790501	-0.860958643	notreduced	-0.507266086	None												
PBANKA_101080	GFPsort	-0.902829496	0.818076132	0.134883166	0.733322769	-2.538981761	nopower	RFPsort	-0.693596228	0.764727139	0.182207301	0.835858051	-2.223050506	nopower	0.733322769	None												
PBANKA_091230	GFPsort	-0.879253281	0.10515945	3.11E-17	-0.668934381	-1.08957218	nopower	RFPsort	0.097158867	0.086334859	0.869784367	0.269828585	-0.075510851	notreduced	-0.668934381	None												
PBANKA_041160	GFPsort	-0.864448408	0.530269961	0.051529155	0.196091515	-1.924988331	nopower	RFPsort	-0.255848423	0.482524025	0.297976446	0.709199627	-1.220896473	nopower	0.196091515	None												
PBANKA_140920	GFPsort	-0.856860727	0.170123813	2.37E-07	-0.516613101	-1.197108352	nopower	RFPsort	-0.481038776	0.173315249	0.002755732	-0.134408278	-0.827669275	notreduced	-0.516613101	None												
PBANKA_080030	GFPsort	-0.856097317	0.315023557	0.003288202	-0.226050203	-1.486144432	nopower	RFPsort	-0.834822803	0.314620812	0.003983971	-0.20558118	-1.464064427	nopower	-0.226050203	None												
PBANKA_111330	GFPsort	-0.852524827	0.810302422	0.146375237	0.768080017	-2.473129671	nopower	RFPsort	-1.169704203	1.390640763	0.200138655	1.611577324	-3.95098573	nopower	0.768080017	None												
PBANKA_082930	GFPsort	-0.844958216	0.492092412	0.042982987	0.139226607	-1.82914304	nopower	RFPsort	0.23752602	0.489049596	0.686406165	1.215625212	-0.740573173	notreduced	0.139226607	None												
PBANKA_082030	GFPsort	-0.812258447	0.190190694	9.74E-06	-0.43187706	-1.192639834	nopower	RFPsort	0.290825972	0.156527346	0.96841466	0.603880664	-0.02222872	notreduced	-0.43187706	None												
PBANKA_112230	GFPsort	-0.81173405	0.083189105	8.55E-23	-0.64535584	-0.97811226	notreduced	RFPsort	-0.688768077	0.093091694	6.87E-14	-0.502584689	-0.874951465	notreduced	-0.64535584	None												
PBANKA_134580	GFPsort	-0.795977352	0.384992477	0.019342871	-0.025992397	-1.565962307	nopower	RFPsort	-0.199985902	0.357873341	0.288143123	0.51576078	-0.915732585	notreduced	-0.025992397	None												
PBANKA_121060	GFPsort	-0.777722256	0.368187795	0.017330459	-0.041346665	-1.514097847	nopower	RFPsort	-0.291389907	0.366765998	0.213456709	0.442142089	-1.024921902	nopower	-0.041346665	None												
PBANKA_091710	GFPsort	-0.774526459	0.549210135	0.079232168	0.32389381	-1.872946729	nopower	RFPsort	-1.524900354	0.704650521	0.01523018	-0.115599312	-2.934201396	nopower	-0.115599312	None												
PBANKA_122480	GFPsort	-0.749417903	0.196149787	6.66E-05	-0.35711833	-1.141717477	nopower	RFPsort	-0.534530768	0.203678198	0.004340233	-0.127174371	-0.941887164	notreduced	-0.35711833	None												
PBANKA_100630	GFPsort	-0.739918351	0.269635858	0.00303349	-0.200646634	-1.279190068	nopower	RFPsort	-0.393293163	0.24699999	0.055660894	0.100706817	-0.887293143	notreduced	-0.200646634	None												
PBANKA_090040	GFPsort	-0.736756415	1.287833897	0.283630628	1.838911379	-3.312424208	nopower	RFPsort	-0.184595288	1.516842718	0.451569474	2.849090149	-3.218280724	nopower	1.838911379	None												
PBANKA_083290	GFPsort	-0.73563033	0.50312976	0.071855732	0.270629191	-1.74188985	nopower	RFPsort	-1.532584773	0.638464844	0.0081881	-0.255655084	-2.809514461	nopower	-0.255655084	None												
PBANKA_070590	GFPsort	-0.730289328	0.190391661	6.26E-05	-0.349506007	-1.111072649	nopower	RFPsort	-1.270738988	0.237483954	4.38E-08	-0.79577108	-1.745706896	nopower	-0.79577108	None												
PBANKA_052430	GFPsort	-0.721667566	0.310655183	0.010088229	-0.100357201	-1.342977932	nopower	RFPsort	-0.816856266	0.326141061	0.006129319	-0.164574143	-1.469138388	nopower	-0.164574143	None												
PBANKA_100530	GFPsort	-0.719449786	0.781464715	0.1786185	0.843479644	-2.282379216	nopower	RFPsort	-0.550015564	0.801204243	0.246203318	1.052392921	-2.152424049	nopower	0.843479644	None												
PBANKA_061960	GFPsort	-0.713152237	0.266194938	0.003691457	-0.18076236	-1.245542114	nopower	RFPsort	-0.548627278	0.282092126	0.02589643	0.015556974	-1.11281153	nopower	-0.18076236	None												
PBANKA_111050	GFPsort	-0.705922854	0.324582286	0.014820094	-0.056758282	-1.355087427	nopower	RFPsort	-0.666158469	0.329168228	0.021497273	-0.007822014	-1.324494925	nopower	-0.056758282	None												
PBANKA_130340	GFPsort	-0.687461317	0.22911667	0.001347747	-0.229227977	-1.145694656	nopower	RFPsort	-0.556070218	0.243958315	0.011322668	-0.068153587	-1.043986849	nopower	-0.229227977	None												
PBANKA_121040	GFPsort	-0.685310469	0.145187326	1.18E-06	-0.394935817	-0.975685121	notreduced	RFPsort	-0.471631341	0.141479297	0.000428693	-0.188672748	-0.754589935	notreduced	-0.394935817	None												
PBANKA_140900	GFPsort	-0.684355514	0.28030512	0.007313876	-0.123745275	-1.244965753	nopower	RFPsort	-0.23012762	0.259216424	0.187329071	0.288305228	-0.748560467	notreduced	-0.123745275	None												
PBANKA_113870	GFPsort	-0.683942612	0.400901625	0.044003009	0.117860638	-1.485745862	nopower	RFPsort	-0.430722282	0.39824842	0.139728106	0.365774558	-1.227219122	nopower	0.117860638	None												
PBANKA_124400	GFPsort	-0.679240351	0.342397074	0.023640204	0.005553796	-1.364034499	nopower	RFPsort	-0.672982728	0.350681975	0.027487833	0.028381222	-1.374346678	nopower	0.005553796	None												
PBANKA_143890	GFPsort	-0.66974955	0.432666566	0.060816238	0.195583582	-1.535082682	nopower	RFPsort	-0.399079627	0.534477256	0.227630548	0.669874885	-1.468034139	nopower	0.195583582	None												
PBANKA_071220	GFPsort	-0.656348861	0.130096653	2.27E-07	-0.396155555	-0.916542166	notreduced	RFPsort	-0.659105082	0.133509928	3.97E-07	-0.392085227	-0.926124937	notreduced	-0.396155555	None												
PBANKA_082090	GFPsort	-0.653028967	0.334324856	0.025393406	0.015620745	-1.321678679	nopower	RFPsort	-0.905964723	0.348426044	0.004658966	-0.209112636	-1.60281681	nopower	-0.209112636	None												
PBANKA_142810	GFPsort	-0.637791235	0.257962354	0.006710091	-0.121866528	-1.153715942	nopower	RFPsort	-0.361875286	0.257356255	0.079843377	0.152837224	-0.876587796	notreduced	-0.121866528	None												
PBANKA_121090	GFPsort	-0.633047117	0.143896574	5.43E-06	-0.34525397	-0.920840264	notreduced	RFPsort	-0.052620778	0.126819281	0.339097574	0.201017784	-0.306259339	notreduced	-0.34525397	None												
PBANKA_041680	GFPsort	-0.632994459	0.130933717	6.68E-07	-0.371127025	-0.894861894	notreduced	RFPsort	-0.550881506	0.134923456	2.22E-05	-0.281034595	-0.820728418	notreduced	-0.371127025	None												
PBANKA_020270	GFPsort	-0.632955362	0.167681227	8.01E-05	-0.297592908	-0.968317815	notreduced	RFPsort	0.265769488	0.15088077	0.960919176	0.567531029	-0.035992053	notreduced	-0.297592908	None												
PBANKA_092690	GFPsort	-0.630459161	0.126013601	2.82E-07	-0.378431959	-0.882486364	notreduced	RFPsort	-0.601932454	0.142362669	1.18E-05	-0.317207116	-0.886657791	notreduced	-0.378431959	None												
PBANKA_083260	GFPsort	-0.615453396	0.300607943	0.020311258	-0.014237511	-1.216669281	nopower	RFPsort	-0.698666033	0.295732826	0.0090763	-0.10720038	-1.290131686	nopower	-0.10720038	None												
PBANKA_092180	GFPsort	-0.613123836	0.177531605	0.000276575	-0.258060627	-0.968187045	notreduced	RFPsort	-0.492676777	0.187317909	0.004267187	-0.118040959	-0.867312594	notreduced	-0.258060627	None												
PBANKA_031490	GFPsort	-0.604325741	0.242920257	0.006427638	-0.118485227	-1.090166254	nopower	RFPsort	-0.475868612	0.263239188	0.03532331	0.050609764	-1.002346988	nopower	-0.118485227	None												
PBANKA_040780	GFPsort	-0.594471643	0.147343916	2.73E-05	-0.299783811	-0.889159474	notreduced	RFPsort	0.18690321	0.125717771	0.931451497	0.438338751	-0.064532332	notreduced	-0.299783811	None												
PBANKA_141050	GFPsort	-0.576439709	0.291424215	0.023963848	0.006408721	-1.159288139	nopower	RFPsort	-0.160020345	0.269549873	0.276370556	0.379079401	-0.699120091	notreduced	0.006408721	None												
PBANKA_070620	GFPsort	-0.561350646	0.074990545	3.56E-14	-0.411369556	-0.711331736	notreduced	RFPsort	-0.383423501	0.067740626	7.56E-09	-0.247942249	-0.518904753	notreduced	-0.411369556	None												
PBANKA_131600	GFPsort	-0.555311581	0.59765302	0.17640469	0.639994458	-1.750617621	nopower	RFPsort	-0.563829831	0.793088092	0.238563919	1.022346353	-2.150006016	nopower	0.639994458	None												
PBANKA_111340	GFPsort	-0.543967927	0.32640729	0.047803831	0.108846653	-1.196782507	nopower	RFPsort	-0.735427611	0.395304926	0.031414061	0.055182241	-1.526037463	nopower	0.055182241	None												
PBANKA_101935	GFPsort	-0.534751948	0.172212386	0.000950788	-0.190327176	-0.879176719	notreduced	RFPsort	-0.298007941	0.172221181	0.041781278	0.046434422	-0.642450304	notreduced	-0.190327176	None												
PBANKA_092840	GFPsort	-0.53055763	0.14336264	0.000107457	-0.24383235	-0.81728291	notreduced	RFPsort	-0.590490287	0.1556006	7.38E-05	-0.279289087	-0.901691487	notreduced	-0.279289087	None												
PBANKA_121370	GFPsort	-0.512939586	0.150339315	0.000322583	-0.212260956	-0.813618216	notreduced	RFPsort	-0.01289241	0.148657186	0.465444743	0.284421962	-0.310206782	notreduced	-0.212260956	None												
PBANKA_133560	GFPsort	-0.512057474	0.243263594	0.017647871	-0.025530287	-0.998584661	notreduced	RFPsort	0.025272476	0.240029823	0.541926715	0.505332122	-0.45478717	notreduced	-0.025530287	None												
PBANKA_112900	GFPsort	-0.50361731	0.230719094	0.014524685	-0.042179121	-0.965055499	notreduced	RFPsort	-0.287878694	0.250836279	0.12555124	0.213793864	-0.789551251	notreduced	-0.042179121	None												
PBANKA_140400	GFPsort	-0.501548114	0.133951248	9.05E-05	-0.233645619	-0.769450609	notreduced	RFPsort	-0.384197201	0.13839299	0.002750494	-0.107411221	-0.660983182	notreduced	-0.233645619	None												
PBANKA_090210	GFPsort	-0.500903088	0.221912919	0.011997615	-0.05707725	-0.944728927	notreduced	RFPsort	-0.002367761	0.23994774	0.496063373	0.477527718	-0.48226324	notreduced	-0.05707725	None												
PBANKA_081680	GFPsort	-0.499891557	0.204827756	0.007332539	-0.090236046	-0.909547068	notreduced	RFPsort	-0.459118945	0.217605228	0.017434738	-0.023908488	-0.894329402	notreduced	-0.090236046	None												
