Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Putative Golgi disassembly and reassembly mechanisms	0.023078858673794445	18	1	0.2913815473786497	PBANKA_0417400
Cleavage and polyadenylation of pre-mRNA	0.025577410970234915	19	1	0.2913815473786497	PBANKA_1119700
Temporal regulation of Rap	0.025577410970234915	19	1	0.2913815473786497	PBANKA_0417400
CCR4 � NOT complex	0.025577410970234915	19	1	0.2913815473786497	PBANKA_1217700
Exported proteins of Plasmodium falciparum with confirmed location	0.025577410970234915	19	1	0.2913815473786497	PBANKA_0102200
cGMP/PKG signalling in egress/invasion	0.025577410970234915	19	1	0.2913815473786497	PBANKA_1345800
Rosette formation between normal and infected RBC	0.02636280910768718	2	0	0.2913815473786497	
cAMP-mediated regulation of NPP activity in gametocytes	0.02636280910768718	2	0	0.2913815473786497	
Possible trafficking pathways for STEVOR and RIFIN proteins	0.02636280910768718	2	0	0.2913815473786497	
Model for ubiquitin-mediated regulation of Ras	0.027903519223428153	50	2	0.2913815473786497	PBANKA_0417400, PBANKA_0806000
Shared themes in cascading Rab and phosphoinositide pathways	0.028180917663608085	20	1	0.2913815473786497	PBANKA_0417400
Glutathione metabolism	0.028180917663608085	20	1	0.2913815473786497	PBANKA_1320900
Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle	0.03369039644004301	22	1	0.2913815473786497	PBANKA_0712300
Protein factors in pre-mRNA 3�-end processing	0.03369039644004301	22	1	0.2913815473786497	PBANKA_1119700
Methionine and Polyamine metabolism	0.03369039644004301	22	1	0.2913815473786497	PBANKA_1401600
Centriole proteins	0.0365903222919266	23	1	0.2913815473786497	PBANKA_1363200
Genes encoding ubiquitin-related reactions	0.03744345773296953	96	3	0.2913815473786497	PBANKA_0102200, PBANKA_1363200, PBANKA_0806000
Functional orthologs of known cell cycle proteins in E. coli	0.039284375279177164	408	9	0.2913815473786497	PBANKA_0102200, PBANKA_1320900, PBANKA_1345800, PBANKA_1014400, PBANKA_1002400, PBANKA_0417400, PBANKA_0407500, PBANKA_1360300, PBANKA_0806000
Model of reaction schemes showing possible ADP-ribosylation and deacetylation outcomes of the sirtuin reaction	0.03928719660780822	3	0	0.2913815473786497	
14-3-3 protein	0.03928719660780822	3	0	0.2913815473786497	
eIF5A Functions globally in translation elongation and termination	0.03928719660780822	3	0	0.2913815473786497	
Structure of telomere and sub-telomeric regions	0.03928719660780822	3	0	0.2913815473786497	
Mechanisms of artemisinin activation and resistance	0.03928719660780822	3	0	0.2913815473786497	
The basal complex	0.03928719660780822	3	0	0.2913815473786497	
Models for selenocysteine incorporation	0.03928719660780822	3	0	0.2913815473786497	
Different kinesins with different roles	0.03928719660780822	3	0	0.2913815473786497	
Model for the regulation of commitment and gametocytogenesis	0.03928719660780822	3	0	0.2913815473786497	
Phosphatidylinositol 3-kinase (PI3K)-controlled endocytosis of host cell hemoglobin	0.03928719660780822	3	0	0.2913815473786497	
Activation of eiF5A	0.03928719660780822	3	0	0.2913815473786497	
Function of Sortilin in the regulated secretory pathway	0.03928719660780822	3	0	0.2913815473786497	
Model for import of lumenal apicoplast proteins via the secretory system	0.03958310804380838	24	1	0.2913815473786497	PBANKA_0516300
Putative SUMO substrates	0.042665878690499426	25	1	0.2913815473786497	PBANKA_1345800
Thioredoxin, Glutaredoxin and Peroxiredoxin	0.042665878690499426	25	1	0.2913815473786497	PBANKA_1320900
Carbonylated proteins at erythrocytic stages	0.04583581668803316	26	1	0.2913815473786497	PBANKA_1360300
Redox-proteome changes induced by chloroquine across the intraerythrocytic stages of�P. falciparum�Dd2	0.04583581668803316	26	1	0.2913815473786497	PBANKA_1360300
ERAD pathway in yeast	0.04583581668803316	26	1	0.2913815473786497	PBANKA_0516300
Compartmentation of redox metabolism	0.04909016094605134	27	1	0.2913815473786497	PBANKA_1320900
Exported parasite proteins associated with Maurer�s clefts	0.05204315710855245	4	0	0.2913815473786497	
Lysine metabolism	0.05204315710855245	4	0	0.2913815473786497	
CLAG3 contribution to increased permeability of infected erythrocytes	0.05204315710855245	4	0	0.2913815473786497	
Evolution of parasite resistance to antifolates	0.05204315710855245	4	0	0.2913815473786497	
Role of the PfRh5/PfRipr/CyRPA Complex during Invasion of Erythrocytes	0.05204315710855245	4	0	0.2913815473786497	
Transcription in prokaryotes	0.05204315710855245	4	0	0.2913815473786497	
The Clp complex is a master regulator of apicoplast biology	0.05204315710855245	4	0	0.2913815473786497	
Oxysterol binding protein (OSBP) structure and function	0.05204315710855245	4	0	0.2913815473786497	
KEOPS complex	0.05204315710855245	4	0	0.2913815473786497	
Genes of the apicoplast genome	0.05204315710855245	4	0	0.2913815473786497	
Shikimate biosynthesis	0.05204315710855245	4	0	0.2913815473786497	
MSP1 as an anchor in merozoite invasion	0.05204315710855245	4	0	0.2913815473786497	
Epigenetic regulation of specific genes and gene families in Plasmodium falciparum	0.05204315710855245	4	0	0.2913815473786497	
Roles of rhoptry neck proteins during invasion	0.05204315710855245	4	0	0.2913815473786497	
Involvement of GTP-binding proteins and ribosomes in amino acid shortage	0.05204315710855245	4	0	0.2913815473786497	
Hypothetical routes to sexual differentiation	0.05204315710855245	4	0	0.2913815473786497	
Assembly of the retromer complex	0.05204315710855245	4	0	0.2913815473786497	
Assembly factors and their roles in quality control during ribosome maturation	0.052426205896883515	28	1	0.2913815473786497	PBANKA_0407200
Rab cycle	0.052426205896883515	28	1	0.2913815473786497	PBANKA_0417400
Parasite proteins that form complexes with natural products	0.05584130057136727	29	1	0.2913815473786497	PBANKA_1320900
Phosphatome - Phosphatases of Plasmodium falciparum	0.0583315392157282	67	2	0.2913815473786497	PBANKA_1014400, PBANKA_0407200
Mitochondrial TCA cycle	0.05933284763848179	30	1	0.2913815473786497	PBANKA_1115100
Flavin-dependent and - containing enzymes	0.06289830248670492	31	1	0.2913815473786497	PBANKA_1363200
P. falciparum genes harboring G-quadruplexes	0.06375895591743719	270	6	0.2913815473786497	PBANKA_0102200, PBANKA_1233400, PBANKA_1222000, PBANKA_0702200, PBANKA_1018400, PBANKA_0407500
Location and function of the six HSP70s in infected erythrocytes	0.06463284464315944	5	0	0.2913815473786497	
Apicoplast Kae1api-protein interactions	0.06463284464315944	5	0	0.2913815473786497	
Plasmodium falciparum R2TP complex	0.06463284464315944	5	0	0.2913815473786497	
Pathways of peptide export from the mitochondrion	0.06463284464315944	5	0	0.2913815473786497	
Proteins associated with detergent-resistant membrane (DRM)	0.06463284464315944	5	0	0.2913815473786497	
Compartmentalization of transcription site in the nucleus	0.06463284464315944	5	0	0.2913815473786497	
Proteolytic processing of the MSP1/6/7 complex	0.06463284464315944	5	0	0.2913815473786497	
Role of perforin 1 in merozoite egress	0.06463284464315944	5	0	0.2913815473786497	
Heterochromatin structure of the telomeric and subtelomeric regions	0.06463284464315944	5	0	0.2913815473786497	
Modification of the wobble position uridine (U34) in Lys, Glu, Gln, Leu and Arg tRNAs	0.06463284464315944	5	0	0.2913815473786497	
Roles of carbon metabolism proteins in the apicoplast	0.06463284464315944	5	0	0.2913815473786497	
Apicoplast DNA	0.06463284464315944	5	0	0.2913815473786497	
Hemozoin and b-hematin formation	0.06463284464315944	5	0	0.2913815473786497	
Alternative splicing events confirmed by RNA-Seq	0.07643136796814431	75	2	0.2913815473786497	PBANKA_1331800, PBANKA_0719600
Histone modification cross-talk	0.07705838618781458	6	0	0.2913815473786497	
Catabolism of polyphosphates	0.07705838618781458	6	0	0.2913815473786497	
Model for merozoite invasion	0.07705838618781458	6	0	0.2913815473786497	
Bulk mRNA transport through the nuclear pore	0.07705838618781458	6	0	0.2913815473786497	
Subunit composition of the yeast OST (oligosaccharyltransferase) complex	0.07705838618781458	6	0	0.2913815473786497	
Putative regulatory functions of nascent ncRNAs	0.07705838618781458	6	0	0.2913815473786497	
Putative role of PfSR25 in activation of Ca2+ signaling and stress survival	0.07705838618781458	6	0	0.2913815473786497	
ER protein VAP establish membrane contact sites	0.07705838618781458	6	0	0.2913815473786497	
a-Linolenic acid (ALA) pathway	0.07705838618781458	6	0	0.2913815473786497	
tRNA-wybutosine biosynthesis	0.07705838618781458	6	0	0.2913815473786497	
RNA exosome-mediated ns-ncRNAs degradation	0.07705838618781458	6	0	0.2913815473786497	
Model for assembly of a signaling complex during RBC invasion	0.07705838618781458	6	0	0.2913815473786497	
Clp proteases and the translocon of exported proteins	0.07705838618781458	6	0	0.2913815473786497	
Redox Metabolism	0.07785010358986133	35	1	0.2913815473786497	PBANKA_1320900
Pre-ribosomal particles along the 60S assembly pathway	0.07785010358986133	35	1	0.2913815473786497	PBANKA_1345800
PfWDR genes	0.0788512363320385	76	2	0.2913815473786497	PBANKA_1233400, PBANKA_1119700
Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	0.08212237013834511	176	4	0.2913815473786497	PBANKA_0102200, PBANKA_1306200, PBANKA_1217700, PBANKA_1401600
Proteins with conserved phosphatase related superfamily domains	0.0857070185214166	37	1	0.2913815473786497	PBANKA_1014400
Peptidases and proteases	0.08847965581284534	128	3	0.2913815473786497	PBANKA_0516300, PBANKA_1002400, PBANKA_1331800
Phenylalanine and Tyrosine metabolism	0.08932188203932612	7	0	0.2913815473786497	
Plasmodium falciparum histone acetylation and methylation	0.08932188203932612	7	0	0.2913815473786497	
Acetyl-CoA production in the mitochondrion	0.08932188203932612	7	0	0.2913815473786497	
Clp chaperones and proteases	0.08932188203932612	7	0	0.2913815473786497	
DNA�protein crosslink repair	0.08932188203932612	7	0	0.2913815473786497	
Sterol transport and phosphatidylinositol 4-phosphate transfer between endoplasmic reticulum and Golgi membranes	0.08932188203932612	7	0	0.2913815473786497	
Mechanism of resistance to artemisinin	0.08932188203932612	7	0	0.2913815473786497	
Various features of C/D and H/ACA snoRNAs	0.08932188203932612	7	0	0.2913815473786497	
The SNARE conformational cycle during vesicle docking and fusion	0.08932188203932612	7	0	0.2913815473786497	
tRNA thiolation	0.08932188203932612	7	0	0.2913815473786497	
Exported proteins containing a PHIST domain	0.08932188203932612	7	0	0.2913815473786497	
SR (Ser�Arg) proteins	0.08932188203932612	7	0	0.2913815473786497	
Endocytosis	0.08932188203932612	7	0	0.2913815473786497	
Regulation microneme secretion and invasion	0.08932188203932612	7	0	0.2913815473786497	
Protein-lysine methylation and demethylation	0.08932188203932612	7	0	0.2913815473786497	
The HSP70 chaperone cycle	0.08932188203932612	7	0	0.2913815473786497	
Apicoplast putative membrane proteins	0.08932188203932612	7	0	0.2913815473786497	
DNA binding proteins with AP2 domain(s)	0.08932188203932612	7	0	0.2913815473786497	
Possible reasons for increased permeability of host cell membrane	0.08932188203932612	7	0	0.2913815473786497	
U5 snRNP biogenesis	0.08932188203932612	7	0	0.2913815473786497	
Cellular responses to endoplasmic reticulum stress	0.08932188203932612	7	0	0.2913815473786497	
The Atg8 and Atg12 ubiquitin-like conjugation systems	0.08932188203932612	7	0	0.2913815473786497	
Reduced Kelch13 activity leads to ART resistance	0.08932188203932612	7	0	0.2913815473786497	
Components of translation machinery in apicoplast	0.08932188203932612	7	0	0.2913815473786497	
The ubiquitylation machineries of the ER for misfolded secretory proteins	0.089722823441027	38	1	0.2913815473786497	PBANKA_0516300
Genes coding for apicoplast ribosome subunits	0.09379397272397605	39	1	0.2913815473786497	PBANKA_1037600
Transfer of polyubiquinated proteins to the 26S proteasome	0.09379397272397605	39	1	0.2913815473786497	PBANKA_0806000
Potential PKG substrates in  schizonts	0.09379397272397605	39	1	0.2913815473786497	PBANKA_1345800
Proteasome-mediated proteolysis of ubiquinated proteins	0.09670946780226597	83	2	0.2913815473786497	PBANKA_0806000, PBANKA_0712300
Initiation of translation	0.09791835754237788	40	1	0.2913815473786497	PBANKA_0702200
mRNA-binding proteins in trophozoite and schizonts	0.09791835754237788	40	1	0.2913815473786497	PBANKA_1360300
Geldanamycin - effect of drug on gene transcription	0.09791835754237788	40	1	0.2913815473786497	PBANKA_0702200
Ribosome recycling and mRNA surveillance	0.10142540613624007	8	0	0.2913815473786497	
MSPDBL and MSP1 mediate merozoite invasion	0.10142540613624007	8	0	0.2913815473786497	
Model for signal processing in the ER	0.10142540613624007	8	0	0.2913815473786497	
Events in merozoite egress	0.10142540613624007	8	0	0.2913815473786497	
Lipoic acid metabolism	0.10142540613624007	8	0	0.2913815473786497	
Asparagine and Aspartate metabolism	0.10142540613624007	8	0	0.2913815473786497	
The chaperone cycle of Hsp90	0.10142540613624007	8	0	0.2913815473786497	
Reactions and transformations of the superoxide anion	0.10142540613624007	8	0	0.2913815473786497	
CoA biosynthesis	0.10142540613624007	8	0	0.2913815473786497	
Postulated artemisinins� modes of action	0.10142540613624007	8	0	0.2913815473786497	
Lysine Methylation Regulators	0.10142540613624007	8	0	0.2913815473786497	
mRNA 5' capping	0.10142540613624007	8	0	0.2913815473786497	
Nucleosome occupancy and gametocyte commitment	0.10142540613624007	8	0	0.2913815473786497	
Histone post-translational modifications landscape	0.10142540613624007	8	0	0.2913815473786497	
Chromatin dynamics controlling temporal regulation of var gene expression	0.10142540613624007	8	0	0.2913815473786497	
Post-translational modifications identified of histones	0.10142540613624007	8	0	0.2913815473786497	
Lysine 2-hydroxyisobutyrylation and crotonylation	0.10142540613624007	8	0	0.2913815473786497	
Nicotinate and nicotinamide metabolism	0.10142540613624007	8	0	0.2913815473786497	
Mannose and Fructose metabolism	0.10142540613624007	8	0	0.2913815473786497	
Glyoxalase metabolism	0.10142540613624007	8	0	0.2913815473786497	
RNA Degradation Factors	0.10209391338077689	41	1	0.2913815473786497	PBANKA_1347200
Doxycycline - effect of drug on gene transcription	0.10209391338077689	41	1	0.2913815473786497	PBANKA_1131800
Interactome of the Ser/Thr Protein Phosphatase type 1	0.1048316156068041	86	2	0.29758652172254063	PBANKA_1002400, PBANKA_0417400
Transporters of the mitochondrial and apicoplast membranes	0.10631861932231512	42	1	0.3001937486747721	PBANKA_1115100
Glycine and Serine metabolism	0.1133710063410659	9	0	0.3008034741109688	
Mitochondria copper homeostasis	0.1133710063410659	9	0	0.3008034741109688	
Post-translational modification �SUMOylation	0.1133710063410659	9	0	0.3008034741109688	
Properties of�proteins exported to erythrocyte	0.1133710063410659	9	0	0.3008034741109688	
Protein N-terminal acetylation	0.1133710063410659	9	0	0.3008034741109688	
Parasite invasion ligands and human erythrocyte receptors	0.1133710063410659	9	0	0.3008034741109688	
Translation in mitochondrion	0.1133710063410659	9	0	0.3008034741109688	
Telomerase and some telomerase associated proteins	0.1133710063410659	9	0	0.3008034741109688	
Nitrogen metabolism	0.1133710063410659	9	0	0.3008034741109688	
HSP90-R2TP complex (yeast)	0.1133710063410659	9	0	0.3008034741109688	
Enhanced protein degradation by branched ubiquitin chains	0.1133710063410659	9	0	0.3008034741109688	
Subcellular localization of exported proteins	0.1133710063410659	9	0	0.3008034741109688	
Parasite encoded proteins associated with the membrane of infected erythrocytes	0.11490761108066816	44	1	0.3017573158162816	PBANKA_1360300
Proteasome-mediated degradation of non-native ER proteins	0.11490761108066816	44	1	0.3017573158162816	PBANKA_1331800
Differentially expressed genes in 3D7 strain treated for 5h with melatonin	0.12478701396933145	93	2	0.3017573158162816	PBANKA_1002400, PBANKA_1464600
Ubiquinone metabolism	0.1251607048556168	10	0	0.3017573158162816	
Model for metabolic compartmentalization of PI biosynthesis	0.1251607048556168	10	0	0.3017573158162816	
Packaging of remodeled GPI-anchored proteins into COPII coated transport vesicles	0.1251607048556168	10	0	0.3017573158162816	
Proteins of the parasitophorous vacuolar membrane	0.1251607048556168	10	0	0.3017573158162816	
Aminosugars metabolism	0.1251607048556168	10	0	0.3017573158162816	
Topogenesis of the Rieske FeS protein	0.1251607048556168	10	0	0.3017573158162816	
Pentose Phosphate Cycle	0.1251607048556168	10	0	0.3017573158162816	
Interactions between modified host cell membrane and endothelial cell	0.1251607048556168	10	0	0.3017573158162816	
Mechanisms of crosstalk between autophagy and double-strand break repair	0.1251607048556168	10	0	0.3017573158162816	
RNA polymerase I transcribes rRNA	0.1251607048556168	10	0	0.3017573158162816	
Lsm proteins and RNA processing	0.1251607048556168	10	0	0.3017573158162816	
Protein acetylation and lysine aminoacylation	0.1251607048556168	10	0	0.3017573158162816	
Structure and organization of centromeric chromatin	0.1251607048556168	10	0	0.3017573158162816	
Dolichol metabolism	0.1251607048556168	10	0	0.3017573158162816	
K13-mediated resistance to artemisinins in mutated K13	0.1251607048556168	10	0	0.3017573158162816	
Parasitophorous vacuole proteins	0.1251607048556168	10	0	0.3017573158162816	
Crosstalk  between  metabolic  intermediates,  epigenetic  regulators  and transcriptional  induction	0.1251607048556168	10	0	0.3017573158162816	
A Model for Hrd1-Mediated Retrotranslocation in ERAD	0.1367964984303205	11	0	0.3054531479465872	
Rab GTPase regulation of membrane identity	0.1367964984303205	11	0	0.3054531479465872	
Working model for recognition of a stalled ribosome by recycling factors	0.1367964984303205	11	0	0.3054531479465872	
Arginine and proline metabolism	0.1367964984303205	11	0	0.3054531479465872	
CUL3 ubiquitin ligase is regulated by a calcium-dependent co-adaptor	0.1367964984303205	11	0	0.3054531479465872	
Binding modes of methyllysine readers	0.1367964984303205	11	0	0.3054531479465872	
Assisted assembly of Sm-class snRNPs	0.1367964984303205	11	0	0.3054531479465872	
Schematic representations of protein S-acyl transferases and their salient protein features	0.1367964984303205	11	0	0.3054531479465872	
Anaphase promoting complex ubiquitin-ligase	0.1367964984303205	11	0	0.3054531479465872	
Molecular targets of and mechanisms of resistance to major antimalarial drugs	0.1367964984303205	11	0	0.3054531479465872	
Intracellular distribution of phosphoinositides and small GTPases involved in membrane traffic	0.1367964984303205	11	0	0.3054531479465872	
Essential plastid biogenesis genes	0.1367964984303205	11	0	0.3054531479465872	
The structure of translation initiation factor 3	0.1367964984303205	11	0	0.3054531479465872	
Acetylation recognition by the bromodomain and other modules	0.1367964984303205	11	0	0.3054531479465872	
4-hydroxynonenal-modified proteins	0.1367964984303205	11	0	0.3054531479465872	
Cotranslational cleavage of N-terminal methionine residues and N-terminal acetylation	0.1367964984303205	11	0	0.3054531479465872	
One-carbon enzyme systems serine hydroxymethyltransferase and glycine-cleavage complex	0.1367964984303205	11	0	0.3054531479465872	
Myristoylated proteins	0.13710681072602493	49	1	0.3054531479465872	PBANKA_0716600
Genes coding for components involved in ribosome assembly	0.13878549903948978	151	3	0.3078938802220614	PBANKA_1345800, PBANKA_1015200, PBANKA_1037600
Genes coding for components of the proteasome degradation machinery & their timed transcription	0.14601705961604394	100	2	0.315693667052613	PBANKA_1363200, PBANKA_0806000
Lipolytic enzymes	0.1482803587671364	12	0	0.315693667052613	
Domain structures of the putative lipolytic enzymes	0.1482803587671364	12	0	0.315693667052613	
RNA Channeling in the Exosome-Ski Assembly during mRNA degradation	0.1482803587671364	12	0	0.315693667052613	
Recruitment of the exosome to mRNA substrates	0.1482803587671364	12	0	0.315693667052613	
N-glycans biosynthesis	0.1482803587671364	12	0	0.315693667052613	
Microtubule organization at the centrosome	0.1482803587671364	12	0	0.315693667052613	
Localization and function of some Hsp40s and Hsp70s	0.1482803587671364	12	0	0.315693667052613	
Selenocysteine biosynthesis	0.1482803587671364	12	0	0.315693667052613	
Mechanisms controlling RBP binding	0.1482803587671364	12	0	0.315693667052613	
Protein kinase G-dependent phosphorylation in schizonts	0.15085400100944923	52	1	0.31802382978034427	PBANKA_1345800
Important interacting proteins	0.15351418294999386	157	3	0.31802382978034427	PBANKA_1002400, PBANKA_1345800, PBANKA_1222000
Splicing of pre-mRNA	0.15865767573129208	104	2	0.31802382978034427	PBANKA_1447100, PBANKA_1217700
Genetic polymorphisms in target-genes at and surrounding resistant linked mutations	0.15961423274960462	13	0	0.31802382978034427	
Structure of the nuclear pore	0.15961423274960462	13	0	0.31802382978034427	
Methyl lysine binding modules readers	0.15961423274960462	13	0	0.31802382978034427	
Double strand break repair and homologous recombination	0.15961423274960462	13	0	0.31802382978034427	
Model of PfEMP1 export	0.15961423274960462	13	0	0.31802382978034427	
Crosstalk between ubiquitination and SUMOylation	0.15961423274960462	13	0	0.31802382978034427	
SRP independent translocation of GPI anchored proteins	0.15961423274960462	13	0	0.31802382978034427	
Thiamine metabolism	0.15961423274960462	13	0	0.31802382978034427	
Pathway for Cytoplasmic 40S maturation	0.15961423274960462	13	0	0.31802382978034427	
V-ATPase	0.15961423274960462	13	0	0.31802382978034427	
Synergism between SWR1, HIRA and FACT in histone variant exchange	0.15961423274960462	13	0	0.31802382978034427	
Schematic depiction of pseudouridylation	0.15961423274960462	13	0	0.31802382978034427	
Subcellular location of exported proteins	0.15961423274960462	13	0	0.31802382978034427	
Terpenoid metabolism	0.15961423274960462	13	0	0.31802382978034427	
Non-redundant malarial structures in the Protein Data Bank (PDB)	0.1648676873329763	55	1	0.3209338882884242	PBANKA_1320900
The rab switch and its circuitry	0.1648676873329763	55	1	0.3209338882884242	PBANKA_0417400
Leucine, Isoleucine and Valine metabolism	0.17080004282016514	14	0	0.3209338882884242	
The neddylation pathway	0.17080004282016514	14	0	0.3209338882884242	
Isoprenoids metabolism	0.17080004282016514	14	0	0.3209338882884242	
Fatty acids elongation in the mitochondrion	0.17080004282016514	14	0	0.3209338882884242	
Folate biosynthesis	0.17080004282016514	14	0	0.3209338882884242	
Stage-specific involvement of cyclic nucleotide signaling components and calcium-dependent protein kinases	0.17080004282016514	14	0	0.3209338882884242	
Generation of polyphosphates	0.17080004282016514	14	0	0.3209338882884242	
Localization of the key cyclic nucleotide signaling components in a merozoite prior to egress	0.17080004282016514	14	0	0.3209338882884242	
Organellar distribution of translation components	0.17080004282016514	14	0	0.3209338882884242	
Cdc48 is the driving force in the targeting of the ER-substrates to the 26S-proteasome	0.17080004282016514	14	0	0.3209338882884242	
GARP (Golgi-associated retrograde protein) complex	0.17080004282016514	14	0	0.3209338882884242	
Merozoite protein complexes	0.17080004282016514	14	0	0.3209338882884242	
O-GlcNAcylated proteins identified by mass spectrometry	0.17080004282016514	14	0	0.3209338882884242	
Domains of merozoite surface proteins	0.17080004282016514	14	0	0.3209338882884242	
ER Sec61 translocon	0.18183968721420607	15	0	0.3221857545271839	
Nuclear export of tRNA	0.18183968721420607	15	0	0.3221857545271839	
Palmitoylation�depalmitoylation cycle in eukaryotic cells	0.18183968721420607	15	0	0.3221857545271839	
Glutamate metabolism	0.18183968721420607	15	0	0.3221857545271839	
Vacuole biogenesis and ER proliferation	0.18183968721420607	15	0	0.3221857545271839	
Gametocyte development	0.18183968721420607	15	0	0.3221857545271839	
ADP ribosylation factors functions in the secretory pathway	0.18183968721420607	15	0	0.3221857545271839	
O-fucosylation and C-mannosylation on TSR repeats	0.18183968721420607	15	0	0.3221857545271839	
Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	0.18183968721420607	15	0	0.3221857545271839	
Fumarate metabolism	0.18183968721420607	15	0	0.3221857545271839	
Rab proteins	0.18183968721420607	15	0	0.3221857545271839	
Processing or protecting stalled replication forks	0.18183968721420607	15	0	0.3221857545271839	
Oxidative protein folding in the endoplasmic reticulum	0.18183968721420607	15	0	0.3221857545271839	
Kinetochore�microtubule attachment and kinetochore oscillations	0.18183968721420607	15	0	0.3221857545271839	
Signal recognition particle-mediated targeting of membrane and secretory proteins	0.18183968721420607	15	0	0.3221857545271839	
Endosome maturation	0.18183968721420607	15	0	0.3221857545271839	
Proteins with ER retention sequences	0.18183968721420607	15	0	0.3221857545271839	
The molecular machinery of translational regulation	0.18870581424856425	60	1	0.3231168718118237	PBANKA_0702200
Subcellular localization of proteins involved in invasion	0.18870581424856425	60	1	0.3231168718118237	PBANKA_0716600
Karyopherin/exportin-mediated nuclear export pathways	0.19273504034262368	16	0	0.3231168718118237	
Mechanism of ubiquitin transfer	0.19273504034262368	16	0	0.3231168718118237	
Mitochondrial copper transport pathways to cytochrome C oxidase subunits	0.19273504034262368	16	0	0.3231168718118237	
